Time,J06_10011_1,J06_10011_1,J06_10011_1,J06_9079_1,J06_9079_1,J06_9079_1,DAIRYFORK_MOULTON,DAIRYFORK_MOULTON
and,236.34,231,262,236.34,231,262,232.37,262
Date,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
12/24/2021 0:00,72.8,13.7,2.71,,,,1.24,13.1
12/25/2021 0:00,,,,,,,0.832,3.49
12/26/2021 0:00,,,,,,,1.02,9.28
12/27/2021 0:00,,,,,,,0.849,4.34
12/28/2021 0:00,,,,,,,0.674,1.42
12/29/2021 0:00,,,,,,,1.01,6.6
12/30/2021 0:00,,,,,,,1.15,8.83
12/31/2021 0:00,,,,,,,0.746,2.02
1/1/2022 0:00,77.3,9.15,0.001,,,,0.671,1.38
1/2/2022 0:00,77.4,9.08,0,,,,0.638,1.14
1/3/2022 0:00,77.4,9.12,0.001,,,,0.632,1.1
1/4/2022 0:00,77.4,9.1,0,68.2,0.58,0.032,0.627,1.07
1/5/2022 0:00,77.4,9.11,0.001,,,,0.616,0.998
1/6/2022 0:00,77.3,9.13,0.001,,,,0.609,0.951
1/7/2022 0:00,77.3,9.18,0.001,,,,0.595,0.865
1/8/2022 0:00,77.3,9.2,0.002,,,,0.62,1.02
1/9/2022 0:00,77.5,9.02,0,,,,0.569,0.721
1/10/2022 0:00,77.4,9.07,0.002,,,,0.562,0.682
1/11/2022 0:00,77.4,9.06,0,,,,0.56,0.67
1/12/2022 0:00,77.4,9.08,0,,,,0.55,0.622
1/13/2022 0:00,77.4,9.12,0.001,,,,0.555,0.646
1/14/2022 0:00,77.4,9.11,0.001,,,,0.556,0.649
1/15/2022 0:00,77.2,9.23,0.006,,,,0.627,1.17
1/16/2022 0:00,,,,,,,0.566,0.701
1/17/2022 0:00,77.3,9.2,0.001,,,,0.562,0.682
1/18/2022 0:00,77.3,9.21,0.001,,,,0.557,0.656
1/19/2022 0:00,77.4,9.1,0.001,,,,0.548,0.61
1/20/2022 0:00,77.4,9.03,0,,,,0.523,0.494
1/21/2022 0:00,77.4,9.13,0.001,,,,0.535,0.55
1/22/2022 0:00,77.3,9.17,0.002,,,,0.535,0.546
1/23/2022 0:00,77.4,9.05,0.001,,,,0.52,0.478
1/24/2022 0:00,77.3,9.15,0.001,,,,0.521,0.486
1/25/2022 0:00,77.3,9.13,0.001,,,,0.516,0.462
1/26/2022 0:00,77.3,9.14,0.001,,,,0.514,0.453
1/27/2022 0:00,77.3,9.15,0.001,,,,0.511,0.442
1/28/2022 0:00,77.3,9.14,0.001,,,,0.509,0.432
1/29/2022 0:00,77.3,9.17,0.001,,,,0.495,0.379
1/30/2022 0:00,77.3,9.15,0.001,,,,0.495,0.379
1/31/2022 0:00,77.3,9.19,0.001,,,,0.497,0.387
2/1/2022 0:00,77.2,9.26,0.003,,,,0.522,0.49
2/2/2022 0:00,77.3,9.19,0.001,,,,0.485,0.34
2/3/2022 0:00,77.2,9.27,0.003,,,,0.486,0.346
2/4/2022 0:00,77.2,9.26,0.004,68.2,0.53,0.026,0.49,0.359
2/5/2022 0:00,77.3,9.2,0.002,68.2,0.5,0.024,0.479,0.32
2/6/2022 0:00,77.3,9.22,0.002,68.2,0.55,0.029,0.483,0.334
2/7/2022 0:00,77.3,9.21,0.002,68.2,0.56,0.029,0.505,0.416
2/8/2022 0:00,77.2,9.29,0.004,68.1,0.58,0.032,0.501,0.4
2/9/2022 0:00,77.2,9.32,0.004,68.1,0.61,0.034,0.512,0.447
2/10/2022 0:00,77.2,9.32,0.005,68,0.7,0.048,0.517,0.469
2/11/2022 0:00,77.3,9.18,0.002,68.1,0.64,0.039,0.539,0.567
2/12/2022 0:00,77.4,9.12,0.001,68.2,0.56,0.031,0.51,0.438
2/13/2022 0:00,77.4,9.11,0.001,68.2,0.55,0.028,0.492,0.366
2/14/2022 0:00,77.4,9.09,0.001,68.2,0.55,0.029,0.491,0.362
2/15/2022 0:00,77,9.49,0.045,67.8,0.88,0.129,0.631,1.62
2/16/2022 0:00,77.4,9.07,0,68.1,0.58,0.032,0.59,0.872
2/17/2022 0:00,77.4,9.1,0.005,68.2,0.54,0.027,0.549,0.614
2/18/2022 0:00,77.4,9.03,0.001,68.2,0.57,0.033,0.577,0.765
2/19/2022 0:00,77.5,8.94,0,68.1,0.6,0.034,0.573,0.741
2/20/2022 0:00,77.4,9.03,0,68.2,0.54,0.027,0.572,0.734
2/21/2022 0:00,77.5,9,0,68.2,0.58,0.031,0.582,0.789
2/22/2022 0:00,76.5,9.97,0.275,67.7,1.01,0.232,0.754,3.02
2/23/2022 0:00,75.9,10.6,0.43,67.8,0.96,0.187,0.937,4.81
2/24/2022 0:00,77.5,8.97,0,68.2,0.53,0.026,0.65,1.22
2/25/2022 0:00,77.5,8.95,0,68.2,0.49,0.022,0.677,1.42
2/26/2022 0:00,77.5,8.94,0,68.2,0.49,0.023,0.706,1.66
2/27/2022 0:00,77.6,8.92,0,68.2,0.52,0.025,0.712,1.71
2/28/2022 0:00,77.5,8.95,0,68.1,0.58,0.031,0.72,1.77
3/1/2022 0:00,77.4,9.03,0.001,68.2,0.56,0.031,0.737,1.92
3/2/2022 0:00,77.5,9.02,0,68.2,0.56,0.029,0.728,1.84
3/3/2022 0:00,77.4,9.08,0,68.1,0.6,0.033,0.7,1.61
3/4/2022 0:00,77.4,9.08,0.001,68.1,0.58,0.032,0.706,1.65
3/5/2022 0:00,77.5,9.01,0,68.1,0.59,0.031,0.688,1.51
3/6/2022 0:00,77.5,8.96,0,68.2,0.53,0.026,0.666,1.34
3/7/2022 0:00,77.6,8.9,0,68.2,0.57,0.031,0.688,1.51
3/8/2022 0:00,77.6,8.87,0,68.2,0.5,0.024,0.676,1.42
3/9/2022 0:00,77.4,9.03,0.001,68.2,0.56,0.03,0.687,1.5
3/10/2022 0:00,77.4,9.05,0,68.2,0.52,0.027,0.695,1.57
3/11/2022 0:00,77.6,8.92,0,68.2,0.54,0.027,0.674,1.4
3/12/2022 0:00,77.5,8.93,0,68.2,0.55,0.028,0.669,1.36
3/13/2022 0:00,77.4,9.03,0,68.3,0.48,0.022,0.658,1.28
3/14/2022 0:00,77.5,9.01,0,68.2,0.55,0.029,0.667,1.35
3/15/2022 0:00,77.5,9.02,0.001,68.1,0.58,0.032,0.671,1.38
3/16/2022 0:00,77.4,9.03,0,68.2,0.55,0.029,0.668,1.36
3/17/2022 0:00,77.5,8.94,0,68.1,0.59,0.033,0.649,1.22
3/18/2022 0:00,77.5,8.94,0,68.1,0.58,0.032,0.647,1.21
3/19/2022 0:00,76.8,9.66,0.354,67.9,0.84,0.272,0.701,2.39
3/20/2022 0:00,77,9.49,0.043,68,0.69,0.065,0.79,2.7
3/21/2022 0:00,77.5,8.99,0,68.2,0.56,0.03,0.71,1.69
3/22/2022 0:00,77.6,8.88,0,68.1,0.59,0.032,0.713,1.71
3/23/2022 0:00,77.6,8.92,0,68.1,0.62,0.035,0.702,1.63
3/24/2022 0:00,77.4,9.07,0.001,68.1,0.63,0.036,0.69,1.53
3/25/2022 0:00,77.4,9.08,0.001,68.1,0.63,0.038,0.68,1.45
3/26/2022 0:00,77.4,9.07,0,68,0.71,0.049,0.688,1.51
3/27/2022 0:00,77.4,9.04,0,68.2,0.54,0.027,0.646,1.2
3/28/2022 0:00,73.1,13.4,3.97,66.1,2.63,2.45,1.3,19.8
3/29/2022 0:00,76.8,9.64,0.026,67.9,0.79,0.065,0.659,1.38
3/30/2022 0:00,77.3,9.22,0.004,68.2,0.53,0.027,0.547,0.615
3/31/2022 0:00,77.3,9.13,0.003,68.2,0.55,0.029,0.534,0.553
4/1/2022 0:00,77.5,9.02,0,68.2,0.51,0.026,0.531,0.529
4/2/2022 0:00,77.5,9,0,68.2,0.56,0.029,0.521,0.485
4/3/2022 0:00,77.5,9.02,0.001,68.1,0.59,0.033,0.527,0.512
4/4/2022 0:00,77.5,9.02,0,68.2,0.53,0.026,0.546,0.599
4/5/2022 0:00,77.4,9.04,0.001,68.2,0.5,0.024,0.562,0.685
4/6/2022 0:00,77.4,9.03,0.001,68.2,0.57,0.03,0.562,0.683
4/7/2022 0:00,77.4,9.08,0.005,68.1,0.66,0.041,0.537,0.556
4/8/2022 0:00,77.4,9.12,0.004,68.1,0.62,0.036,0.555,0.649
4/9/2022 0:00,77.4,9.05,0.001,68.2,0.54,0.027,0.53,0.524
4/10/2022 0:00,77.4,9.06,0.001,68.2,0.55,0.029,0.516,0.462
4/11/2022 0:00,77.4,9.07,0.002,68.1,0.59,0.033,0.521,0.484
4/12/2022 0:00,77.5,8.97,0.001,68.2,0.51,0.024,0.486,0.345
4/13/2022 0:00,77.4,9.07,0,68.2,0.57,0.032,0.504,0.415
4/14/2022 0:00,77.4,9.07,0.001,68.2,0.51,0.025,0.528,0.519
4/15/2022 0:00,77.4,9.1,0.009,68.2,0.52,0.026,0.565,0.701
4/16/2022 0:00,77.4,9.04,0,68.2,0.55,0.029,0.514,0.455
4/17/2022 0:00,77.5,9.01,0,68.3,0.44,0.018,0.487,0.348
4/18/2022 0:00,77.4,9.06,0,68.2,0.53,0.027,0.504,0.414
4/19/2022 0:00,77.3,9.16,0.002,68.2,0.5,0.024,0.501,0.403
4/20/2022 0:00,77.4,9.03,0.001,68.2,0.53,0.027,0.516,0.466
4/21/2022 0:00,77.5,9.02,0.007,68.2,0.55,0.03,0.503,0.411
4/22/2022 0:00,76.3,10.2,0.662,67.6,1.15,0.55,0.712,3.93
4/23/2022 0:00,77.6,8.9,0,68.3,0.47,0.021,0.487,0.348
4/24/2022 0:00,77.6,8.89,0,68.2,0.53,0.026,0.492,0.367
4/25/2022 0:00,77.6,8.91,0.002,68.1,0.58,0.031,0.493,0.371
4/26/2022 0:00,77.5,8.97,0.002,68.2,0.53,0.027,0.478,0.317
4/27/2022 0:00,77.5,9.01,0,68.2,0.55,0.029,0.484,0.34
4/28/2022 0:00,77.5,8.98,0,68.2,0.55,0.028,0.462,0.263
4/29/2022 0:00,77.4,9.08,0.003,68.2,0.52,0.028,0.472,0.299
4/30/2022 0:00,77.4,9.07,0.001,68.2,0.48,0.022,0.446,0.215
5/1/2022 0:00,77.5,9.03,0,68.3,0.47,0.022,0.429,0.169
5/2/2022 0:00,77.4,9.08,0.002,68.2,0.55,0.03,0.434,0.183
5/3/2022 0:00,77.4,9.05,0.006,68.2,0.51,0.025,0.422,0.152
5/4/2022 0:00,77.3,9.14,0.011,68.2,0.54,0.027,0.42,0.149
5/5/2022 0:00,77.3,9.15,0.002,68.2,0.55,0.029,0.436,0.187
5/6/2022 0:00,77.4,9.12,0.002,68.2,0.51,0.027,0.433,0.18
5/7/2022 0:00,77.4,9.09,0.001,68.3,0.46,0.022,0.428,0.167
5/8/2022 0:00,77.4,9.09,0.004,68.3,0.42,0.016,0.399,0.104
5/9/2022 0:00,77.5,9.02,0.001,68.2,0.54,0.031,0.395,0.097
5/10/2022 0:00,77.4,9.03,0.001,68.2,0.54,0.03,0.391,0.091
5/11/2022 0:00,77.5,8.97,0,68.2,0.55,0.028,0.382,0.073
5/12/2022 0:00,77.5,8.99,0.002,68.2,0.54,0.028,0.398,0.101
5/13/2022 0:00,77.4,9.11,0.001,68.1,0.61,0.034,0.426,0.163
5/14/2022 0:00,77.4,9.11,0.002,68.1,0.59,0.033,0.431,0.176
5/15/2022 0:00,77.4,9.03,0.006,68.2,0.5,0.023,0.402,0.109
5/16/2022 0:00,77.5,9.01,0,68.2,0.54,0.031,0.422,0.152
5/17/2022 0:00,77.5,8.99,0,68.2,0.49,0.026,0.415,0.139
5/18/2022 0:00,77.5,9.01,0.003,68.3,0.44,0.022,0.413,0.131
5/19/2022 0:00,77.5,9.01,0.003,68.2,0.54,0.028,0.413,0.133
5/20/2022 0:00,77.4,9.06,0.001,68,0.77,0.068,0.488,0.401
5/21/2022 0:00,77.5,8.95,0,68.2,0.54,0.027,0.416,0.14
5/22/2022 0:00,77.5,8.94,0.002,68.2,0.55,0.028,0.414,0.135
5/23/2022 0:00,77.5,8.93,0,68.2,0.54,0.029,0.414,0.134
5/24/2022 0:00,77.5,9,0.002,68.3,0.43,0.02,0.413,0.131
5/25/2022 0:00,77.5,8.93,0.002,68.3,0.47,0.024,0.416,0.14
5/26/2022 0:00,77.5,8.96,0.003,68.2,0.51,0.025,0.416,0.139
5/27/2022 0:00,77.6,8.86,0.002,68.3,0.48,0.023,0.424,0.157
5/28/2022 0:00,77.7,8.78,0.001,68.2,0.51,0.025,0.413,0.133
5/29/2022 0:00,77.7,8.78,0,68.3,0.44,0.019,0.415,0.136
5/30/2022 0:00,77.7,8.76,0.001,68.3,0.47,0.023,0.411,0.127
5/31/2022 0:00,77.6,8.85,0,68.3,0.46,0.022,0.414,0.135
6/1/2022 0:00,77.5,8.93,0,68.2,0.5,0.025,0.42,0.148
6/2/2022 0:00,77.6,8.84,0,68.2,0.52,0.028,0.421,0.151
6/3/2022 0:00,77.6,8.83,0,68.2,0.51,0.026,0.419,0.145
6/4/2022 0:00,77.6,8.91,0.002,68.2,0.52,0.027,0.417,0.142
6/5/2022 0:00,77.5,8.93,0.005,68.2,0.48,0.024,0.432,0.179
6/6/2022 0:00,77.6,8.85,0.001,68.2,0.5,0.025,0.426,0.163
6/7/2022 0:00,77.6,8.88,0,68.2,0.52,0.026,0.429,0.169
6/8/2022 0:00,77.6,8.84,0,68.2,0.5,0.024,0.425,0.16
6/9/2022 0:00,77.7,8.8,0,68.3,0.48,0.023,0.418,0.144
6/10/2022 0:00,77.7,8.79,0.001,68.2,0.48,0.023,0.419,0.146
