Time,J01_9144_4,J01_9144_4,J01_9144_4,J01_9224_2,J01_9224_2,J01_9224_2,J01_9224_1,J01_9224_1,J01_9224_1
and,236.34,231,262,236.34,231,262,236.34,231,262
Date,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
10/1/2021 0:00,67.5,1.82,0.236,,,,44.4,0.43,0.001
10/2/2021 0:00,68,1.34,0.094,,,,44.4,0.47,0.002
10/3/2021 0:00,62,7.32,3.12,,,,44.4,0.47,0.001
10/4/2021 0:00,67.2,2.15,0.364,,,,44.2,0.61,0.005
10/5/2021 0:00,63.2,6.12,1.8,,,,44.1,0.69,0.016
10/6/2021 0:00,63.2,6.15,1.82,,,,44.3,0.49,0.001
10/7/2021 0:00,63.1,6.18,1.84,,,,44.3,0.52,0.002
10/8/2021 0:00,63.5,5.78,1.69,,,,43.9,0.92,0.035
10/9/2021 0:00,63.3,6.04,2.84,,,,44.4,0.43,0.001
10/10/2021 0:00,63.6,5.77,1.58,,,,44.4,0.42,0.001
10/11/2021 0:00,63.5,5.81,1.62,,,,44.4,0.42,0
10/12/2021 0:00,63.2,6.17,1.83,,,,44.4,0.4,0.001
10/13/2021 0:00,63.2,6.14,1.81,,,,44.4,0.42,0.001
10/14/2021 0:00,63.2,6.09,1.78,,,,44.4,0.44,0.001
10/15/2021 0:00,63.3,6,1.72,,,,44.4,0.41,0.001
10/16/2021 0:00,63.3,6.03,1.74,,,,44.4,0.42,0.001
10/17/2021 0:00,63.2,6.11,1.79,,,,44.4,0.48,0.001
10/18/2021 0:00,62.4,6.92,2.52,,,,44.3,0.54,0.001
10/19/2021 0:00,59.5,9.8,5.14,,,,44.3,0.57,0.002
10/20/2021 0:00,60.3,9.01,4.29,,,,44.2,0.61,0.003
10/21/2021 0:00,59.9,9.45,4.73,,,,44.2,0.61,0.003
10/22/2021 0:00,59.7,9.6,4.89,,,,44.2,0.67,0.004
10/23/2021 0:00,,,,,,,44.2,0.68,0.004
10/24/2021 0:00,81.3,-11.9,2.79,,,,44.2,0.63,0.003
10/25/2021 0:00,,,,,,,43.7,1.17,0.075
10/26/2021 0:00,,,,,,,44.4,0.44,0.001
10/27/2021 0:00,59.7,9.61,4.92,,,,44.4,0.42,0.001
10/28/2021 0:00,48,21.3,40,,,,44.5,0.37,0.001
10/29/2021 0:00,60,9.35,4.65,,,,44.4,0.45,0.001
10/30/2021 0:00,,,,,,,44.3,0.49,0.001
10/31/2021 0:00,,,,,,,44.4,0.45,0.001
11/1/2021 0:00,,,,,,,44.3,0.49,0.001
11/2/2021 0:00,,,,,,,44.4,0.46,0.001
11/3/2021 0:00,,,,,,,44.3,0.58,0.002
11/4/2021 0:00,,,,,,,44.3,0.55,0.002
11/5/2021 0:00,,,,,,,44.2,0.59,0.002
11/6/2021 0:00,,,,,,,,,
11/7/2021 0:00,,,,,,,44.2,0.63,0.003
11/8/2021 0:00,,,,,,,44.2,0.65,0.003
11/9/2021 0:00,,,,,,,44.2,0.68,0.004
11/10/2021 0:00,,,,,,,44.1,0.7,0.004
11/11/2021 0:00,68.4,0.88,0.012,,,,44.2,0.62,0.003
11/12/2021 0:00,,,,,,,44.2,0.61,0.003
11/13/2021 0:00,68.6,0.77,0.008,,,,44.2,0.66,0.004
11/14/2021 0:00,,,,,,,44.2,0.65,0.004
11/15/2021 0:00,,,,,,,44.1,0.71,0.005
11/16/2021 0:00,,,,,,,44.1,0.77,0.006
11/17/2021 0:00,,,,,,,44,0.82,0.007
11/18/2021 0:00,,,,,,,44,0.84,0.008
11/19/2021 0:00,,,,,,,44,0.82,0.007
11/20/2021 0:00,,,,,,,44,0.81,0.007
11/21/2021 0:00,,,,,,,44.1,0.73,0.005
11/22/2021 0:00,,,,,,,44.1,0.7,0.005
11/23/2021 0:00,68.2,1.12,0.024,,,,44.1,0.78,0.006
11/24/2021 0:00,,,,,,,44,0.81,0.007
11/25/2021 0:00,,,,,,,43.9,0.9,0.01
11/26/2021 0:00,,,,,,,44,0.84,0.008
11/27/2021 0:00,,,,,,,44,0.84,0.008
11/28/2021 0:00,,,,,,,44,0.83,0.008
11/29/2021 0:00,,,,,,,44,0.87,0.009
11/30/2021 0:00,,,,,,,43.9,0.92,0.011
12/1/2021 0:00,,,,,,,43.9,0.89,0.01
12/2/2021 0:00,,,,,,,44,0.79,0.006
12/3/2021 0:00,,,,,,,44,0.84,0.008
12/4/2021 0:00,,,,,,,44,0.81,0.007
12/5/2021 0:00,,,,,,,44.1,0.78,0.006
12/6/2021 0:00,,,,,,,44,0.83,0.008
12/7/2021 0:00,,,,,,,43.9,0.96,0.012
12/8/2021 0:00,,,,,,,43.9,0.94,0.011
12/9/2021 0:00,,,,,,,43.9,0.93,0.012
12/10/2021 0:00,,,,,,,44.3,0.49,0.001
12/11/2021 0:00,,,,,,,44.4,0.47,0.001
12/12/2021 0:00,,,,,,,44.4,0.47,0.001
12/13/2021 0:00,,,,,,,44.3,0.57,0.002
12/14/2021 0:00,,,,,,,41.4,3.47,0.969
12/15/2021 0:00,,,,,,,44.3,0.51,0.001
12/16/2021 0:00,,,,,,,44.3,0.52,0.001
12/17/2021 0:00,,,,,,,44.4,0.48,0.001
12/18/2021 0:00,,,,,,,44.4,0.45,0.001
12/19/2021 0:00,,,,,,,44.4,0.47,0.001
12/20/2021 0:00,,,,,,,44.3,0.51,0.001
12/21/2021 0:00,,,,,,,44.3,0.51,0.001
12/22/2021 0:00,,,,,,,44.3,0.55,0.003
12/23/2021 0:00,,,,,,,42.9,1.93,0.258
12/24/2021 0:00,,,,,,,43.3,1.5,0.156
12/25/2021 0:00,,,,,,,43.8,1,0.032
12/26/2021 0:00,,,,,,,44,0.86,0.043
12/27/2021 0:00,,,,,,,44,0.79,0.023
12/28/2021 0:00,,,,,,,44.3,0.54,0.002
12/29/2021 0:00,,,,,,,43.5,1.33,0.087
12/30/2021 0:00,,,,,,,43.4,1.48,0.094
12/31/2021 0:00,,,,,,,44.3,0.53,0.001
1/1/2022 0:00,,,,,,,44.3,0.51,0.001
1/2/2022 0:00,,,,,,,44.3,0.51,0.001
1/3/2022 0:00,,,,,,,44.3,0.53,0.001
1/4/2022 0:00,,,,,,,44.3,0.56,0.002
1/5/2022 0:00,,,,,,,44.3,0.56,0.002
1/6/2022 0:00,,,,,,,44.3,0.57,0.002
1/7/2022 0:00,,,,,,,44.2,0.62,0.003
1/8/2022 0:00,,,,,,,44.2,0.6,0.002
1/9/2022 0:00,,,,,,,44.3,0.56,0.002
1/10/2022 0:00,,,,,,,44.2,0.59,0.002
1/11/2022 0:00,,,,,,,44.3,0.57,0.002
1/12/2022 0:00,,,,,,,44.2,0.61,0.003
1/13/2022 0:00,,,,,,,44.1,0.69,0.004
1/14/2022 0:00,,,,,,,44.2,0.66,0.004
1/15/2022 0:00,,,,,,,44.2,0.65,0.005
1/16/2022 0:00,,,,,,,44.3,0.55,0.002
1/17/2022 0:00,,,,,,,44.2,0.63,0.003
1/18/2022 0:00,,,,,,,44.2,0.61,0.003
1/19/2022 0:00,,,,,,,44.2,0.62,0.003
1/20/2022 0:00,,,,,,,44.3,0.56,0.002
1/21/2022 0:00,,,,,,,44.2,0.64,0.003
1/22/2022 0:00,,,,,,,44.2,0.61,0.003
1/23/2022 0:00,68.9,0.45,0.001,,,,44.3,0.55,0.002
1/24/2022 0:00,68.7,0.67,0.005,,,,44.2,0.6,0.002
1/25/2022 0:00,,,,,,,44.2,0.63,0.003
1/26/2022 0:00,,,,,,,44.2,0.66,0.003
1/27/2022 0:00,68.4,0.91,0.012,,,,44.2,0.68,0.004
1/28/2022 0:00,,,,,,,44.2,0.64,0.003
1/29/2022 0:00,,,,,,,44.2,0.67,0.003
1/30/2022 0:00,68.6,0.76,0.008,,,,44.2,0.63,0.003
1/31/2022 0:00,,,,,,,44.2,0.67,0.004
2/1/2022 0:00,,,,,,,44,0.79,0.006
2/2/2022 0:00,,,,,,,44,0.79,0.007
2/3/2022 0:00,68.2,1.09,0.021,,,,44,0.81,0.007
2/4/2022 0:00,68.2,1.15,0.028,,,,44,0.81,0.007
2/5/2022 0:00,68.4,0.89,0.011,,,,44.1,0.77,0.006
2/6/2022 0:00,68.3,1,0.017,,,,44.1,0.76,0.006
2/7/2022 0:00,68.2,1.09,0.026,,,,44.1,0.74,0.006
2/8/2022 0:00,68.5,0.8,0.008,,,,44.1,0.79,0.007
2/9/2022 0:00,68.5,0.82,0.008,,,,44.1,0.76,0.007
2/10/2022 0:00,68.4,0.94,0.013,,,,44.1,0.76,0.007
2/11/2022 0:00,68.4,0.92,0.013,,,,44.1,0.77,0.007
