Time,J01_9005_3,J01_9005_3,J01_9005_3,NARCO_LAPAZ,NARCO_LAPAZ,J01_9364_3,J01_9364_3,J01_9364_3
and,236.34,231,262,232.37,262,236.34,231,262
Date,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
9/21/2022 0:00,52.9,10.6,16.1,3.09,16.5,32,20.4,0
9/22/2022 0:00,53,10.5,15.7,3.1,17.8,32.1,20.3,0
9/23/2022 0:00,52.9,10.5,15.9,3.01,16.7,31.6,20.8,0
9/24/2022 0:00,52.8,10.6,16.2,3,15.6,32.2,20.2,0
9/25/2022 0:00,53,10.5,15.6,2.99,15.4,32.5,19.9,0
9/26/2022 0:00,52.8,10.7,16.5,2.94,14.8,32.1,20.3,0
9/27/2022 0:00,52.9,10.6,16.1,2.92,14.7,32.5,19.9,0
9/28/2022 0:00,52.9,10.6,16.1,3.06,16.6,32.9,19.5,0
9/29/2022 0:00,52.9,10.6,16.1,3.06,14.9,32.5,19.9,0
9/30/2022 0:00,52.8,10.6,16.2,3.3,16.5,32.5,19.9,0
10/1/2022 0:00,52.9,10.6,16,3.01,13.4,32.6,19.8,0
