Time,J01_9992_1,J01_9992_1,J01_9992_1,J01_10017_1,J01_10017_1,J01_10017_1,J01_10019_1,J01_10019_1,J01_10019_1
and,236.34,231,262,236.34,231,262,236.34,231,262
Date,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
10/1/2021 0:00,86.7,0.44,0.002,50.1,-11,4.96,39.2,0.28,0.009
10/2/2021 0:00,86.7,0.46,0,49.7,-10.6,0,39.2,0.29,0.01
10/3/2021 0:00,86.7,0.51,0.001,65.9,-26.8,0,39.2,0.3,0.021
10/4/2021 0:00,86.2,1.02,0.229,89.7,-50.6,,39.1,0.35,0.018
10/5/2021 0:00,86,1.17,0.501,,,,39,0.44,0.052
10/6/2021 0:00,86.4,0.75,0.006,,,,39.1,0.39,0.018
10/7/2021 0:00,86.2,0.95,0.053,,,,39.1,0.41,0.025
10/8/2021 0:00,84.9,2.25,1.95,,,,38.9,0.59,0.134
10/9/2021 0:00,86.7,0.49,0.001,,,,39.1,0.37,0.016
10/10/2021 0:00,86.6,0.59,0.001,,,,39.2,0.31,0.01
10/11/2021 0:00,86.5,0.7,0.002,,,,39.1,0.38,0.017
10/12/2021 0:00,86.6,0.62,0.004,,,,39.1,0.35,0.014
10/13/2021 0:00,86.5,0.66,0.006,,,,39.1,0.35,0.014
10/14/2021 0:00,86.4,0.79,0.012,,,,39.2,0.33,0.013
10/15/2021 0:00,86.5,0.67,0.008,,,,39.1,0.35,0.018
10/16/2021 0:00,86.2,0.96,0.022,,,,39.1,0.35,0.017
10/17/2021 0:00,86.4,0.77,0.013,,,,39.1,0.4,0.023
10/18/2021 0:00,86.3,0.89,0.025,,,,39,0.44,0.027
10/19/2021 0:00,86.3,0.84,0.017,,,,39.1,0.42,0.025
10/20/2021 0:00,86.3,0.89,0.023,,,,39.1,0.41,0.022
10/21/2021 0:00,86.2,0.96,0.038,,,,39.1,0.38,0.018
10/22/2021 0:00,86.1,1.09,0.046,,,,39,0.44,0.026
10/23/2021 0:00,86.1,1.12,0.05,,,,39.1,0.42,0.024
10/24/2021 0:00,86.3,0.92,0.012,,,,39.1,0.38,0.017
10/25/2021 0:00,84.6,2.62,3.58,,,,38.8,0.64,0.282
10/26/2021 0:00,86.5,0.66,0.003,,,,39.1,0.4,0.02
10/27/2021 0:00,86.6,0.58,0.001,,,,39.2,0.33,0.013
10/28/2021 0:00,86.4,0.74,0.005,,,,39.1,0.36,0.017
10/29/2021 0:00,86.4,0.8,0.008,,,,39.1,0.34,0.013
10/30/2021 0:00,86.2,0.98,0.015,,,,39.1,0.38,0.017
10/31/2021 0:00,86.2,1.03,0.022,,,,39.1,0.38,0.017
11/1/2021 0:00,86.1,1.05,0.023,,,,39.1,0.41,0.022
11/2/2021 0:00,86.1,1.05,0.028,,,,39.1,0.43,0.026
11/3/2021 0:00,86.1,1.13,0.037,,,,39.1,0.4,0.022
11/4/2021 0:00,86,1.17,0.046,,,,39.1,0.39,0.019
11/5/2021 0:00,86,1.16,0.042,,,,39.1,0.4,0.02
11/6/2021 0:00,,,,,,,,,
11/7/2021 0:00,86,1.22,0.043,,,,39.1,0.4,0.019
11/8/2021 0:00,85.9,1.31,0.058,,,,39.1,0.41,0.021
11/9/2021 0:00,85.9,1.26,0.054,,,,39.1,0.43,0.025
11/10/2021 0:00,85.9,1.25,0.054,,,,39.1,0.4,0.019
11/11/2021 0:00,85.7,1.45,0.09,,,,39.1,0.38,0.019
11/12/2021 0:00,85.9,1.3,0.061,,,,39.1,0.39,0.02
11/13/2021 0:00,85.9,1.28,0.058,,,,39.1,0.35,0.014
11/14/2021 0:00,85.9,1.24,0.051,,,,39.1,0.38,0.017
11/15/2021 0:00,85.8,1.35,0.068,,,,39.1,0.39,0.021
11/16/2021 0:00,85.3,1.86,0.184,,,,39,0.44,0.026
11/17/2021 0:00,85.6,1.61,0.126,,,,39.1,0.4,0.021
11/18/2021 0:00,85.8,1.37,0.067,,,,39,0.44,0.026
11/19/2021 0:00,85.8,1.34,0.072,,,,39.1,0.43,0.025
11/20/2021 0:00,86,1.22,0.047,,,,39.1,0.42,0.023
11/21/2021 0:00,86.1,1.14,0.04,,,,39.1,0.39,0.019
11/22/2021 0:00,85.9,1.3,0.06,,,,39.1,0.39,0.021
11/23/2021 0:00,86,1.2,0.047,,,,39.1,0.38,0.019
11/24/2021 0:00,85.9,1.26,0.055,,,,39.1,0.39,0.021
11/25/2021 0:00,86,1.2,0.057,,,,39.1,0.35,0.02
11/26/2021 0:00,86,1.22,0.048,,,,39.1,0.37,0.018
11/27/2021 0:00,86.1,1.13,0.034,,,,39.1,0.37,0.017
11/28/2021 0:00,86,1.15,0.037,,,,39.1,0.4,0.02
11/29/2021 0:00,86,1.21,0.044,,,,39.1,0.42,0.025
11/30/2021 0:00,86,1.24,0.046,,,,39.1,0.39,0.022
12/1/2021 0:00,85.8,1.34,0.064,,,,39,0.44,0.028
12/2/2021 0:00,85.7,1.46,0.089,,,,39,0.45,0.029
12/3/2021 0:00,85.7,1.54,0.126,,,,39.1,0.43,0.026
12/4/2021 0:00,85.9,1.33,0.065,,,,39.1,0.42,0.023
12/5/2021 0:00,85.8,1.35,0.066,,,,39.1,0.4,0.022
12/6/2021 0:00,85.7,1.48,0.085,,,,39.1,0.43,0.024
12/7/2021 0:00,85.7,1.47,0.087,,,,39.1,0.39,0.018
12/8/2021 0:00,86,1.18,0.037,,,,39.1,0.42,0.023
12/9/2021 0:00,85.5,1.74,0.423,,,,39,0.51,0.05
12/10/2021 0:00,86.5,0.69,0.003,,,,39,0.44,0.026
12/11/2021 0:00,86.6,0.59,0.001,,,,39.1,0.42,0.023
12/12/2021 0:00,86.6,0.57,0.001,,,,39.1,0.43,0.025
12/13/2021 0:00,86.2,0.95,0.039,,,,39,0.47,0.033
12/14/2021 0:00,79.9,7.26,19.4,,,,37.1,2.35,7.44
12/15/2021 0:00,86.8,0.42,0,,,,,,
12/16/2021 0:00,86.8,0.43,0,,,,39,0.53,0.073
12/17/2021 0:00,86.7,0.46,0.006,,,,39,0.44,0.028
12/18/2021 0:00,86.9,0.32,0,,,,39.1,0.4,0.022
12/19/2021 0:00,86.9,0.3,0,,,,39.1,0.41,0.022
12/20/2021 0:00,86.8,0.43,0,,,,39,0.44,0.029
12/21/2021 0:00,86.5,0.69,0.002,,,,39.1,0.43,0.026
12/22/2021 0:00,86.4,0.78,0.004,,,,39.1,0.42,0.026
12/23/2021 0:00,82.6,4.55,7.58,,,,38.4,1.08,0.807
12/24/2021 0:00,83.6,3.62,4.77,,,,,,
12/25/2021 0:00,84.9,2.29,1.35,,,,38.8,0.7,0.151
12/26/2021 0:00,85.2,1.96,2.81,,,,38.8,0.67,0.227
12/27/2021 0:00,85.8,1.43,1.02,,,,,,
12/28/2021 0:00,86.7,0.46,0,,,,39,0.5,0.039
12/29/2021 0:00,84.3,2.91,3.33,,,,,,
12/30/2021 0:00,83.8,3.38,2.57,,,,,,
12/31/2021 0:00,86.3,0.88,0.022,,,,,,
1/1/2022 0:00,86.9,0.25,0,,,,39,0.45,0.028
1/2/2022 0:00,86.9,0.24,0,,,,39.1,0.42,0.024
1/3/2022 0:00,86.9,0.31,0,,,,39,0.45,0.028
1/4/2022 0:00,86.9,0.31,0,,,,39,0.44,0.028
1/5/2022 0:00,86.8,0.41,0,,,,39.1,0.41,0.024
1/6/2022 0:00,86.8,0.42,0,,,,39.1,0.43,0.026
1/7/2022 0:00,86.7,0.47,0,,,,39,0.47,0.033
1/8/2022 0:00,86.9,0.32,0,,,,39.1,0.41,0.022
1/9/2022 0:00,86.9,0.3,0,,,,39.1,0.41,0.022
1/10/2022 0:00,86.8,0.43,0,,,,39.1,0.43,0.026
1/11/2022 0:00,86.8,0.42,0,,,,39,0.44,0.029
1/12/2022 0:00,86.7,0.46,0,,,,39,0.44,0.027
1/13/2022 0:00,86.6,0.62,0.001,,,,39.1,0.41,0.022
1/14/2022 0:00,86.6,0.59,0.001,,,,39.1,0.39,0.018
1/15/2022 0:00,86.5,0.7,0.093,,,,39.1,0.42,0.027
1/16/2022 0:00,86.8,0.4,0,,,,39.1,0.39,0.02
1/17/2022 0:00,86.8,0.42,0,,,,39.1,0.4,0.021
1/18/2022 0:00,86.8,0.42,0,,,,39.1,0.44,0.026
1/19/2022 0:00,86.9,0.32,0,,,,39.1,0.4,0.021
1/20/2022 0:00,86.8,0.34,0,,,,39.1,0.34,0.015
1/21/2022 0:00,86.7,0.47,0,38.8,0.25,0,39.1,0.38,0.019
1/22/2022 0:00,86.8,0.36,0,,,,39.1,0.36,0.018
