Time,J01_9066_2,J01_9066_2,J01_9066_2,J01_9066_1,J01_9066_1,J01_9066_1,J01_9273_1,J01_9273_1,J01_9273_1
and,236.34,231,262,236.34,231,262,232.37,231,262
Date,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
10/1/2021 0:00,72.6,0.06,0.31,,,,0.13,,0
10/2/2021 0:00,72.5,0.12,0.043,,,,0.132,,0
10/3/2021 0:00,72.5,0.12,0.264,,,,0.134,,0
10/4/2021 0:00,72,0.6,353,,,,0.154,,0.001
10/5/2021 0:00,72,0.6,82.1,,,,0.17,,0.001
10/6/2021 0:00,72.4,0.21,0.003,,,,0.155,,0
10/7/2021 0:00,72.3,0.36,4.11,,,,0.154,,0
10/8/2021 0:00,71.6,1.04,252,,,,0.197,,0.016
10/9/2021 0:00,72.5,0.16,0.004,,,,0.13,,0
10/10/2021 0:00,72.5,0.1,0.03,,,,0.132,,0
10/11/2021 0:00,72.5,0.19,0,,,,0.132,,0
10/12/2021 0:00,72.5,0.14,1.2,,,,0.133,,0
10/13/2021 0:00,72.5,0.13,0.035,,,,0.136,,0
10/14/2021 0:00,72.5,0.12,0.038,,,,0.138,,0
10/15/2021 0:00,72.5,0.1,0.4,,,,0.14,,0
10/16/2021 0:00,72.6,0.09,0.181,,,,0.142,,0
10/17/2021 0:00,72.5,0.14,0.02,,,,0.138,,0
10/18/2021 0:00,72.5,0.17,0,,,,0.136,,0
10/19/2021 0:00,72.5,0.12,0,,,,0.133,,0
10/20/2021 0:00,72.5,0.16,0.002,,,,0.131,,0
10/21/2021 0:00,72.5,0.14,0.076,,,,0.132,,0
10/22/2021 0:00,72.4,0.2,0.018,,,,0.133,,0
10/23/2021 0:00,72.4,0.27,0.266,,,,0.133,,0
10/24/2021 0:00,72.4,0.2,0.004,,,,0.128,,0
10/25/2021 0:00,71.5,1.14,585,,,,0.193,,0.039
10/26/2021 0:00,72.4,0.22,0.021,,,,0.131,,0
10/27/2021 0:00,72.5,0.12,0.056,,,,0.131,,0
10/28/2021 0:00,72.5,0.16,0.007,,,,0.131,,0
10/29/2021 0:00,72.4,0.2,0.197,,,,0.132,,0
10/30/2021 0:00,72.4,0.21,0.006,,,,0.13,,0
10/31/2021 0:00,72.5,0.16,0,,,,0.124,,0
11/1/2021 0:00,72.4,0.21,0.003,,,,0.127,,0
11/2/2021 0:00,72.4,0.2,0.003,,,,0.128,,0
11/3/2021 0:00,72.4,0.22,0.053,,,,0.135,,0
11/4/2021 0:00,72.4,0.2,0.012,,,,0.126,,0
11/5/2021 0:00,72.4,0.22,0.035,32.7,0,0,0.128,,0
11/6/2021 0:00,,,,,,,,,
11/7/2021 0:00,72.4,0.23,0.005,32.7,0,0,0.124,,0
11/8/2021 0:00,72.3,0.3,0.062,32.7,-0.02,0,0.127,,0
11/9/2021 0:00,72.4,0.27,0.123,32.7,-0.03,0,0.125,,0
11/10/2021 0:00,72.4,0.2,0.017,32.8,-0.06,0,0.13,,0
11/11/2021 0:00,72.5,0.15,0.146,32.7,-0.04,0.001,0.123,,0
11/12/2021 0:00,72.4,0.2,0.318,32.7,-0.05,0.001,0.126,,0
11/13/2021 0:00,72.5,0.11,0.068,32.8,-0.1,0,0.13,,0
11/14/2021 0:00,72.5,0.15,0.008,32.8,-0.11,0,0.123,,0
11/15/2021 0:00,72.5,0.16,0.012,32.7,-0.03,0,0.119,,0
11/16/2021 0:00,72.4,0.27,0.021,32.6,0.06,0.003,0.132,,0
11/17/2021 0:00,72.4,0.2,0.004,31.8,0.88,0.082,0.131,,0
11/18/2021 0:00,72.4,0.21,0.01,30.8,1.92,0.413,0.123,,0
11/19/2021 0:00,72.4,0.26,0.016,30.7,2.01,0.448,0.126,,0
11/20/2021 0:00,72.4,0.2,0,32.6,0.09,0.021,0.116,,0
