jurisdicti,acres_juris_soc
ALISO VIEJO,4298.475848550746
DANA POINT,4071.5603518392577
IRVINE,96.05123754093846
LAGUNA BEACH,5632.041056195566
LAGUNA HILLS,3498.3869598294223
LAGUNA NIGUEL,9463.77397689814
LAGUNA WOODS,756.0075788948667
LAKE FOREST,3303.943394927112
MISSION VIEJO,11525.934391435894
NEWPORT BEACH,130.0087677517211
ORANGE CO,94761.16101626148
RANCHO SANTA MARGARITA,8280.210526037783
SAN CLEMENTE,11739.016173821115
SAN JUAN CAPISTRANO,9220.309393249185
