AREA,EMC_Group,Station,RC_M,RC,LSPC_LU_CODE,RC_Model_Outfall,SUM_Area,Constituent,Fraction,Units,EMC,EMC_Model_LU,EMC_Model_LU_divisor,EMC_CF,EMC_Adj
6.224789473560227,business,I01-11021-1,0.46548409472929275,0.486,10,0.486,6.224789473560227,Fecal coliforms,Total,CFU/100 mL,11600,2974.8864240119283,3.02524768415027,0.08477181142936996,983.3530125806915
6.224789473560227,business,I01-11021-1,0.46548409472929275,0.486,10,0.486,6.224789473560227,TN,Total,mg/L,2.71,6.84580538745724,3.02524768415027,0.8350150840478212,2.2628908777695953
6.224789473560227,business,I01-11021-1,0.46548409472929275,0.486,10,0.486,6.224789473560227,TP,Total,mg/L,0.34,1.0864815897436886,3.02524768415027,1.0562884170520395,0.3591380617976934
6.224789473560227,business,I01-11021-1,0.46548409472929275,0.486,10,0.486,6.224789473560227,TSS,Total,mg/L,79.9,26.92310964534249,3.02524768415027,0.1113826389886966,8.899472855196858
6.224789473560227,business,I01-11021-1,0.46548409472929275,0.486,10,0.486,6.224789473560227,"Copper, Total",Total,mg/L,0.0254,0.07360625776144107,3.02524768415027,0.9578998040453733,0.02433065502275248
6.224789473560227,business,I01-11021-1,0.46548409472929275,0.486,10,0.486,6.224789473560227,"Lead, Total",Total,mg/L,0.0021000000000000003,0.0022894296622839017,3.02524768415027,0.3603687085851908,7.567742880289008e-4
6.224789473560227,business,I01-11021-1,0.46548409472929275,0.486,10,0.486,6.224789473560227,"Zinc, Total",Total,mg/L,0.1569,0.20476499814893329,3.02524768415027,0.431391755672044,0.0676853664649437
6.224789473560227,business,I01-11021-1,0.46548409472929275,0.486,10,0.486,6.224789473560227,"Copper, Total",Dissolved,mg/L,0.013699999999999999,0.060074864192676165,3.02524768415027,1.4494768829609679,0.019857833296565257
6.224789473560227,business,I01-11021-1,0.46548409472929275,0.486,10,0.486,6.224789473560227,"Zinc, Total",Dissolved,mg/L,0.0932,0.1460734515446543,3.02524768415027,0.5180771544967696,0.04828479079909893
2.942449315296471,single family,I01-11021-1,0.46548409472929275,0.405,50,0.405,2.942449315296471,Fecal coliforms,Total,CFU/100 mL,11600,1171.853891417925,1.1916919726950708,0.08477181142936996,983.3530125806915
2.942449315296471,single family,I01-11021-1,0.46548409472929275,0.405,50,0.405,2.942449315296471,TN,Total,mg/L,4.12,4.099732783685044,1.1916919726950708,0.8350150840478212,3.4402621462770235
2.942449315296471,single family,I01-11021-1,0.46548409472929275,0.405,50,0.405,2.942449315296471,TP,Total,mg/L,0.45,0.5664466923532644,1.1916919726950708,1.0562884170520395,0.47532978767341777
2.942449315296471,single family,I01-11021-1,0.46548409472929275,0.405,50,0.405,2.942449315296471,TSS,Total,mg/L,104.2,13.830861624520052,1.1916919726950708,0.1113826389886966,11.606070982622187
2.942449315296471,single family,I01-11021-1,0.46548409472929275,0.405,50,0.405,2.942449315296471,"Copper, Total",Total,mg/L,0.0268,0.030592776391005015,1.1916919726950708,0.9578998040453733,0.025671714748416008
2.942449315296471,single family,I01-11021-1,0.46548409472929275,0.405,50,0.405,2.942449315296471,"Lead, Total",Total,mg/L,0.0021000000000000003,9.018418441860685e-4,1.1916919726950708,0.3603687085851908,7.567742880289008e-4
2.942449315296471,single family,I01-11021-1,0.46548409472929275,0.405,50,0.405,2.942449315296471,"Zinc, Total",Total,mg/L,0.1021,0.05248819002599535,1.1916919726950708,0.431391755672044,0.04404509825411569
2.942449315296471,single family,I01-11021-1,0.46548409472929275,0.405,50,0.405,2.942449315296471,"Copper, Total",Dissolved,mg/L,0.0148,0.02556448349726854,1.1916919726950708,1.4494768829609679,0.021452257867822327
2.942449315296471,single family,I01-11021-1,0.46548409472929275,0.405,50,0.405,2.942449315296471,"Zinc, Total",Dissolved,mg/L,0.041299999999999996,0.025498140352145825,1.1916919726950708,0.5180771544967696,0.021396586480716583
1.2826440934655408,multi-family,I01-11021-1,0.46548409472929275,0.485,52,0.485,1.2826440934655408,Fecal coliforms,Total,CFU/100 mL,11600,611.7265876884122,0.6220823853307873,0.08477181142936996,983.3530125806915
1.2826440934655408,multi-family,I01-11021-1,0.46548409472929275,0.485,52,0.485,1.2826440934655408,TN,Total,mg/L,3.95,2.0518202923230433,0.6220823853307873,0.8350150840478212,3.298309581988894
1.2826440934655408,multi-family,I01-11021-1,0.46548409472929275,0.485,52,0.485,1.2826440934655408,TP,Total,mg/L,0.37,0.24312641468849525,0.6220823853307873,1.0562884170520395,0.3908267143092546
1.2826440934655408,multi-family,I01-11021-1,0.46548409472929275,0.485,52,0.485,1.2826440934655408,TSS,Total,mg/L,66.7,4.621588155693306,0.6220823853307873,0.1113826389886966,7.429222020546064
1.2826440934655408,multi-family,I01-11021-1,0.46548409472929275,0.485,52,0.485,1.2826440934655408,"Copper, Total",Total,mg/L,0.024300000000000002,0.014480190058705085,0.6220823853307873,0.9578998040453733,0.023276965238302576
1.2826440934655408,multi-family,I01-11021-1,0.46548409472929275,0.485,52,0.485,1.2826440934655408,"Lead, Total",Total,mg/L,0.0021000000000000003,4.707759542540269e-4,0.6220823853307873,0.3603687085851908,7.567742880289008e-4
1.2826440934655408,multi-family,I01-11021-1,0.46548409472929275,0.485,52,0.485,1.2826440934655408,"Zinc, Total",Total,mg/L,0.11320000000000001,0.030378489241472753,0.6220823853307873,0.431391755672044,0.048833546742075386
