AREA,EMC_Group,Station,RC_M,RC,LSPC_LU_CODE,RC_Model_Outfall,SUM_Area,Constituent,Fraction,Units,EMC,EMC_Model_LU,EMC_Model_LU_divisor
6.224789473560227,business,I01-11021-1,0.46548409472929275,0.486,10,0.486,6.224789473560227,Fecal coliforms,Total,CFU/100 mL,11600,35092.873136143135,3.02524768415027
6.224789473560227,business,I01-11021-1,0.46548409472929275,0.486,10,0.486,6.224789473560227,TN,Total,mg/L,2.71,8.198421224047232,3.02524768415027
6.224789473560227,business,I01-11021-1,0.46548409472929275,0.486,10,0.486,6.224789473560227,TP,Total,mg/L,0.34,1.0285842126110918,3.02524768415027
6.224789473560227,business,I01-11021-1,0.46548409472929275,0.486,10,0.486,6.224789473560227,TSS,Total,mg/L,79.9,241.7172899636066,3.02524768415027
6.224789473560227,business,I01-11021-1,0.46548409472929275,0.486,10,0.486,6.224789473560227,"Copper, Total",Total,mg/L,0.0254,0.07684129117741685,3.02524768415027
6.224789473560227,business,I01-11021-1,0.46548409472929275,0.486,10,0.486,6.224789473560227,"Lead, Total",Total,mg/L,0.0021000000000000003,0.006353020136715568,3.02524768415027
6.224789473560227,business,I01-11021-1,0.46548409472929275,0.486,10,0.486,6.224789473560227,"Zinc, Total",Total,mg/L,0.1569,0.4746613616431774,3.02524768415027
6.224789473560227,business,I01-11021-1,0.46548409472929275,0.486,10,0.486,6.224789473560227,"Copper, Total",Dissolved,mg/L,0.013699999999999999,0.0414458932728587,3.02524768415027
6.224789473560227,business,I01-11021-1,0.46548409472929275,0.486,10,0.486,6.224789473560227,"Zinc, Total",Dissolved,mg/L,0.0932,0.2819530841628052,3.02524768415027
2.942449315296471,single family,I01-11021-1,0.46548409472929275,0.405,50,0.405,2.942449315296471,Fecal coliforms,Total,CFU/100 mL,11600,13823.626883262821,1.1916919726950708
2.942449315296471,single family,I01-11021-1,0.46548409472929275,0.405,50,0.405,2.942449315296471,TN,Total,mg/L,4.12,4.909770927503692,1.1916919726950708
2.942449315296471,single family,I01-11021-1,0.46548409472929275,0.405,50,0.405,2.942449315296471,TP,Total,mg/L,0.45,0.5362613877127819,1.1916919726950708
2.942449315296471,single family,I01-11021-1,0.46548409472929275,0.405,50,0.405,2.942449315296471,TSS,Total,mg/L,104.2,124.17430355482638,1.1916919726950708
2.942449315296471,single family,I01-11021-1,0.46548409472929275,0.405,50,0.405,2.942449315296471,"Copper, Total",Total,mg/L,0.0268,0.0319373448682279,1.1916919726950708
2.942449315296471,single family,I01-11021-1,0.46548409472929275,0.405,50,0.405,2.942449315296471,"Lead, Total",Total,mg/L,0.0021000000000000003,0.002502553142659649,1.1916919726950708
2.942449315296471,single family,I01-11021-1,0.46548409472929275,0.405,50,0.405,2.942449315296471,"Zinc, Total",Total,mg/L,0.1021,0.12167175041216673,1.1916919726950708
2.942449315296471,single family,I01-11021-1,0.46548409472929275,0.405,50,0.405,2.942449315296471,"Copper, Total",Dissolved,mg/L,0.0148,0.01763704119588705,1.1916919726950708
2.942449315296471,single family,I01-11021-1,0.46548409472929275,0.405,50,0.405,2.942449315296471,"Zinc, Total",Dissolved,mg/L,0.041299999999999996,0.04921687847230642,1.1916919726950708
1.2826440934655408,multi-family,I01-11021-1,0.46548409472929275,0.485,52,0.485,1.2826440934655408,Fecal coliforms,Total,CFU/100 mL,11600,7216.155669837132,0.6220823853307873
1.2826440934655408,multi-family,I01-11021-1,0.46548409472929275,0.485,52,0.485,1.2826440934655408,TN,Total,mg/L,3.95,2.45722542205661,0.6220823853307873
1.2826440934655408,multi-family,I01-11021-1,0.46548409472929275,0.485,52,0.485,1.2826440934655408,TP,Total,mg/L,0.37,0.2301704825723913,0.6220823853307873
1.2826440934655408,multi-family,I01-11021-1,0.46548409472929275,0.485,52,0.485,1.2826440934655408,TSS,Total,mg/L,66.7,41.49289510156351,0.6220823853307873
1.2826440934655408,multi-family,I01-11021-1,0.46548409472929275,0.485,52,0.485,1.2826440934655408,"Copper, Total",Total,mg/L,0.024300000000000002,0.015116601963538133,0.6220823853307873
1.2826440934655408,multi-family,I01-11021-1,0.46548409472929275,0.485,52,0.485,1.2826440934655408,"Lead, Total",Total,mg/L,0.0021000000000000003,0.0013063730091946535,0.6220823853307873
1.2826440934655408,multi-family,I01-11021-1,0.46548409472929275,0.485,52,0.485,1.2826440934655408,"Zinc, Total",Total,mg/L,0.11320000000000001,0.07041972601944513,0.6220823853307873
1.2826440934655408,multi-family,I01-11021-1,0.46548409472929275,0.485,52,0.485,1.2826440934655408,"Copper, Total",Dissolved,mg/L,0.0147,0.009144611064362573,0.6220823853307873
1.2826440934655408,multi-family,I01-11021-1,0.46548409472929275,0.485,52,0.485,1.2826440934655408,"Zinc, Total",Dissolved,mg/L,0.0596,0.03707611016571492,0.6220823853307873
4.574449721384716,surface street,I01-11021-1,0.46548409472929275,0.471,60,0.471,4.574449721384716,Fecal coliforms,Total,CFU/100 mL,9940,21416.384238595678,2.154565818772201
4.574449721384716,surface street,I01-11021-1,0.46548409472929275,0.471,60,0.471,4.574449721384716,TN,Total,mg/L,3.66,7.885710896706256,2.154565818772201
4.574449721384716,surface street,I01-11021-1,0.46548409472929275,0.471,60,0.471,4.574449721384716,TP,Total,mg/L,0.47,1.0126459348229344,2.154565818772201
4.574449721384716,surface street,I01-11021-1,0.46548409472929275,0.471,60,0.471,4.574449721384716,TSS,Total,mg/L,93.6,201.667360637078,2.154565818772201
