FACILITYID,EMC_Group,RC,EMC_Group_Area,Area_Rainfall,Trib_LU_Volume,"Copper, Total - Dissolved - mg/L","Copper, Total - Total - mg/L",Fecal coliforms - Total - CFU/100 mL,"Lead, Total - Total - mg/L",TN - Total - mg/L,TP - Total - mg/L,TSS - Total - mg/L,"Zinc, Total - Dissolved - mg/L","Zinc, Total - Total - mg/L",RC_Group,RC_M,LSPC_LU_DESC,RC_WMA
DP02-12131-1,developed open space,0.217,0.935226112586903,6.7,0.11331043709084153,1.35841850709372e-4,0.00278140211094989,27247975588.2016,5.839563514885078e-4,1.6870018990991873,0.19917767131551095,24.072302764817,0.003233761035659851,0.005530094796350368,Developed Open Space,0.3977525572812228,OSDEV,0.217
DP02-12131-1,open space,0.078,0.2756776994239221,6.7,0.012005763809911809,1.4816939257972699e-5,2.2100200261135428e-4,161965950.1565256,4.652221138691917e-5,0.07903930412870008,0.006071524360622906,3.3774826608731505,3.385396963453837e-4,3.875314925625985e-4,Open Space,0.3977525572812228,OSLOW,0.078
DP02-12131-1,single family,0.405,6.221590363952311,6.7,1.4068571210487164,0.04007449957000993,0.09907389156028862,341415269994.15735,0.00960617425828628,22.313099640466334,2.4382173230672377,356.69608078274183,0.05722504228985668,0.30705178264053645,Single Family Residential,0.3977525572812228,RESSFH,0.405
DP02-12131-1,surface street,0.471,2.895698924184405,6.7,0.7614964245873939,0.0268146998627497,0.06045875319384277,157959516261.16022,0.008005766901349723,11.400090326784897,1.4353985434955743,157.95191825196753,0.06382693246725878,0.23226745903997617,Streets and Roads,0.3977525572812228,TRANS,0.471
DP04-12015-1,agriculture,0.222,12.149132120499766,6.7,1.5058849263359462,0.029465011343124688,0.17920102320609602,4755587948.123762,0.00875672138927076,100.54569991609515,11.771048021556853,3030.9132109673023,0.025411266300497323,0.4110391243666603,Agriculture,0.18097054271416224,OSAGIR,0.222
DP04-12015-1,business,0.422,2.041358587641067,6.7,0.4809781058913628,0.01312187895677142,0.038446502780288806,114670125691.36032,0.005120063761152421,6.784617724425815,0.653112379824369,101.60656443604528,0.05676008814424679,0.20934789070783724,Education,0.18097054271416224,EDU,0.422
DP04-12015-1,developed open space,0.217,20.415277859008583,6.7,2.4734810399343816,0.0029653247378249353,0.06071590192836776,594802674178.891,0.01274732496529067,36.82597401340714,4.347897742043204,525.4801411506288,0.07059055471624964,0.12071778186546249,Developed Open Space,0.18097054271416224,OSDEV,0.21699999999999997
DP04-12015-1,multi-family,0.485,13.723907487392538,6.7,3.7163197816901707,0.12063911840324625,0.2339008917356872,983863937982.5232,0.023019611693244776,64.1669211803664,5.871320918670343,492.1986673174818,0.28704660413025235,0.9202425324891713,Multi-family Residential,0.18097054271416224,RESMF,0.485
DP04-12015-1,open space,0.078,108.01239432126137,6.7,4.703939772690933,0.005805377399443896,0.08659008509476343,63459358923.41652,0.018227718279431288,30.968135987304432,2.3788644665170846,1323.3206376206329,0.13264215151051348,0.151837469893461,Open Space,0.18097054271416224,OSFOR,0.078
DP04-12015-1,open space,0.078,108.01239432126137,6.7,4.703939772690933,0.005805377399443896,0.08659008509476343,63459358923.41652,0.018227718279431288,30.968135987304432,2.3788644665170846,1323.3206376206329,0.13264215151051348,0.151837469893461,Open Space,0.18097054271416224,OSLOW,0.078
