"","Inst Time","Flow (cfs)"
"3","10/1/2021 0:00","0.001"
"4","10/2/2021 0:00","0"
"5","10/3/2021 0:00","0"
"6","10/4/2021 0:00","0.035"
"7","10/5/2021 0:00","0.027"
"8","10/6/2021 0:00","0"
"9","10/7/2021 0:00",""
"10","10/8/2021 0:00",""
"11","10/9/2021 0:00",""
"12","10/10/2021 0:00",""
"13","10/11/2021 0:00",""
"14","10/12/2021 0:00","0"
"15","10/13/2021 0:00","0"
"16","10/14/2021 0:00","0"
"17","10/15/2021 0:00","0"
"18","10/16/2021 0:00","0"
"19","10/17/2021 0:00",""
"20","10/18/2021 0:00","0"
"21","10/19/2021 0:00","0"
"22","10/20/2021 0:00","0"
"23","10/21/2021 0:00","0"
"24","10/22/2021 0:00","0"
"25","10/23/2021 0:00",""
"26","10/24/2021 0:00","0"
"27","10/25/2021 0:00",""
"28","10/26/2021 0:00","0"
"29","10/27/2021 0:00","0"
"30","10/28/2021 0:00",""
"31","10/29/2021 0:00","0"
"32","10/30/2021 0:00",""
"33","10/31/2021 0:00","0"
"34","11/1/2021 0:00","0"
"35","11/2/2021 0:00","0"
"36","11/3/2021 0:00","0"
"37","11/4/2021 0:00","0"
"38","11/5/2021 0:00","0"
"39","11/6/2021 0:00",""
"40","11/7/2021 0:00","0"
"41","11/8/2021 0:00","0"
"42","11/9/2021 0:00","0"
"43","11/10/2021 0:00","0"
"44","11/11/2021 0:00","0"
"45","11/12/2021 0:00","0"
"46","11/13/2021 0:00","0"
"47","11/14/2021 0:00","0"
"48","11/15/2021 0:00","0"
"49","11/16/2021 0:00","0"
"50","11/17/2021 0:00",""
"51","11/18/2021 0:00","0"
"52","11/19/2021 0:00","0"
"53","11/20/2021 0:00","0"
"54","11/21/2021 0:00","0"
"55","11/22/2021 0:00","0"
"56","11/23/2021 0:00","0"
"57","11/24/2021 0:00","0"
"58","11/25/2021 0:00","0"
"59","11/26/2021 0:00","0"
"60","11/27/2021 0:00","0"
