"","Inst Time","Flow (cfs)"
"3","10/1/2021 0:00",""
"4","10/2/2021 0:00",""
"5","10/3/2021 0:00",""
"6","10/4/2021 0:00",""
"7","10/5/2021 0:00",""
"8","10/6/2021 0:00",""
"9","10/7/2021 0:00",""
"10","10/8/2021 0:00",""
"11","10/9/2021 0:00",""
"12","10/10/2021 0:00",""
"13","10/11/2021 0:00",""
"14","10/12/2021 0:00",""
"15","10/13/2021 0:00",""
"16","10/14/2021 0:00",""
"17","10/15/2021 0:00",""
"18","10/16/2021 0:00",""
"19","10/17/2021 0:00",""
"20","10/18/2021 0:00",""
"21","10/19/2021 0:00",""
"22","10/20/2021 0:00",""
"23","10/21/2021 0:00",""
"24","10/22/2021 0:00",""
"25","10/23/2021 0:00",""
"26","10/24/2021 0:00",""
"27","10/25/2021 0:00",""
"28","10/26/2021 0:00",""
"29","10/27/2021 0:00",""
"30","10/28/2021 0:00",""
"31","10/29/2021 0:00",""
"32","10/30/2021 0:00",""
"33","10/31/2021 0:00",""
"34","11/1/2021 0:00",""
"35","11/2/2021 0:00",""
"36","11/3/2021 0:00",""
"37","11/4/2021 0:00",""
"38","11/5/2021 0:00",""
"39","11/6/2021 0:00",""
"40","11/7/2021 0:00",""
"41","11/8/2021 0:00",""
"42","11/9/2021 0:00",""
"43","11/10/2021 0:00","0.003"
"44","11/11/2021 0:00","0.011"
"45","11/12/2021 0:00","0.014"
"46","11/13/2021 0:00","0.005"
"47","11/14/2021 0:00","0.004"
"48","11/15/2021 0:00","0.002"
"49","11/16/2021 0:00","0.004"
"50","11/17/2021 0:00",""
"51","11/18/2021 0:00",""
"52","11/19/2021 0:00",""
"53","11/20/2021 0:00",""
"54","11/21/2021 0:00",""
"55","11/22/2021 0:00",""
"56","11/23/2021 0:00",""
"57","11/24/2021 0:00",""
"58","11/25/2021 0:00",""
"59","11/26/2021 0:00",""
"60","11/27/2021 0:00",""
"61","11/28/2021 0:00",""
"62","11/29/2021 0:00",""
"63","11/30/2021 0:00",""
"64","12/1/2021 0:00",""
"65","12/2/2021 0:00",""
"66","12/3/2021 0:00",""
"67","12/4/2021 0:00",""
"68","12/5/2021 0:00",""
"69","12/6/2021 0:00",""
"70","12/7/2021 0:00",""
"71","12/8/2021 0:00",""
"72","12/9/2021 0:00",""
"73","12/10/2021 0:00",""
"74","12/11/2021 0:00",""
"75","12/12/2021 0:00",""
"76","12/13/2021 0:00",""
"77","12/14/2021 0:00",""
"78","12/15/2021 0:00",""
"79","12/16/2021 0:00",""
"80","12/17/2021 0:00",""
"81","12/18/2021 0:00",""
"82","12/19/2021 0:00",""
"83","12/20/2021 0:00",""
"84","12/21/2021 0:00",""
"85","12/22/2021 0:00",""
"86","12/23/2021 0:00",""
"87","12/24/2021 0:00",""
"88","12/25/2021 0:00",""
"89","12/26/2021 0:00",""
"90","12/27/2021 0:00",""
"91","12/28/2021 0:00",""
"92","12/29/2021 0:00",""
"93","12/30/2021 0:00",""
"94","12/31/2021 0:00",""
"95","1/1/2022 0:00",""
"96","1/2/2022 0:00",""
"97","1/3/2022 0:00",""
"98","1/4/2022 0:00",""
"99","1/5/2022 0:00",""
"100","1/6/2022 0:00",""
"101","1/7/2022 0:00",""
"102","1/8/2022 0:00",""
"103","1/9/2022 0:00",""
"104","1/10/2022 0:00",""
"105","1/11/2022 0:00",""
"106","1/12/2022 0:00",""
"107","1/13/2022 0:00",""
"108","1/14/2022 0:00",""
"109","1/15/2022 0:00",""
"110","1/16/2022 0:00",""
"111","1/17/2022 0:00",""
"112","1/18/2022 0:00",""
"113","1/19/2022 0:00",""
"114","1/20/2022 0:00",""
"115","1/21/2022 0:00",""
"116","1/22/2022 0:00",""
"117","1/23/2022 0:00",""
"118","1/24/2022 0:00",""
"119","1/25/2022 0:00",""
"120","1/26/2022 0:00",""
"121","1/27/2022 0:00",""
"122","1/28/2022 0:00",""
"123","1/29/2022 0:00",""
"124","1/30/2022 0:00",""
"125","1/31/2022 0:00",""
"126","2/1/2022 0:00","0.001"
"127","2/2/2022 0:00","0.001"
"128","2/3/2022 0:00","0.001"
"129","2/4/2022 0:00","0"
"130","2/5/2022 0:00","0"
"131","2/6/2022 0:00","0.001"
"132","2/7/2022 0:00","0"
"133","2/8/2022 0:00","0"
"134","2/9/2022 0:00","0"
"135","2/10/2022 0:00","0"
"136","2/11/2022 0:00","0"
"137","2/12/2022 0:00","0.001"
"138","2/13/2022 0:00","0"
"139","2/14/2022 0:00","0.001"
"140","2/15/2022 0:00","0.039"
"141","2/16/2022 0:00","0.005"
"142","2/17/2022 0:00","0.004"
"143","2/18/2022 0:00","0.002"
"144","2/19/2022 0:00","0.001"
"145","2/20/2022 0:00","0"
"146","2/21/2022 0:00","0.001"
"147","2/22/2022 0:00","0.017"
"148","2/23/2022 0:00","0.043"
"149","2/24/2022 0:00","0.004"
"150","2/25/2022 0:00","0.002"
"151","2/26/2022 0:00","0.002"
"152","2/27/2022 0:00","0.001"
"153","2/28/2022 0:00","0.001"
"154","3/1/2022 0:00","0.002"
"155","3/2/2022 0:00","0.005"
"156","3/3/2022 0:00","0.006"
"157","3/4/2022 0:00","0.007"
"158","3/5/2022 0:00","0.002"
"159","3/6/2022 0:00","0.003"
"160","3/7/2022 0:00","0.003"
"161","3/8/2022 0:00","0.003"
"162","3/9/2022 0:00","0.008"
"163","3/10/2022 0:00","0.008"
"164","3/11/2022 0:00","0.006"
"165","3/12/2022 0:00","0.004"
"166","3/13/2022 0:00","0.004"
"167","3/14/2022 0:00","0.003"
"168","3/15/2022 0:00","0.004"
"169","3/16/2022 0:00","0.004"
"170","3/17/2022 0:00","0.004"
"171","3/18/2022 0:00","0.002"
"172","3/19/2022 0:00","0.066"
"173","3/20/2022 0:00","0.011"
"174","3/21/2022 0:00","0.007"
"175","3/22/2022 0:00","0.007"
"176","3/23/2022 0:00","0.008"
"177","3/24/2022 0:00","0.007"
"178","3/25/2022 0:00","0.007"
"179","3/26/2022 0:00","0.005"
"180","3/27/2022 0:00","0.003"
"181","3/28/2022 0:00","0.797"
"182","3/29/2022 0:00","0.03"
"183","3/30/2022 0:00","0.001"
"184","3/31/2022 0:00","0.004"
"185","4/1/2022 0:00","0.003"
"186","4/2/2022 0:00","0.004"
"187","4/3/2022 0:00","0.005"
"188","4/4/2022 0:00","0.004"
"189","4/5/2022 0:00","0.003"
"190","4/6/2022 0:00","0.004"
"191","4/7/2022 0:00","0.004"
"192","4/8/2022 0:00","0.003"
"193","4/9/2022 0:00","0.002"
"194","4/10/2022 0:00","0.005"
"195","4/11/2022 0:00","0.005"
"196","4/12/2022 0:00","0.004"
"197","4/13/2022 0:00","0.006"
"198","4/14/2022 0:00","0.005"
"199","4/15/2022 0:00","0.003"
"200","4/16/2022 0:00","0.001"
"201","4/17/2022 0:00","0.002"
"202","4/18/2022 0:00","0.004"
"203","4/19/2022 0:00","0.005"
"204","4/20/2022 0:00","0.007"
"205","4/21/2022 0:00","0.004"
"206","4/22/2022 0:00","0.08"
"207","4/23/2022 0:00","0.006"
"208","4/24/2022 0:00","0.006"
"209","4/25/2022 0:00","0.005"
"210","4/26/2022 0:00","0.003"
"211","4/27/2022 0:00","0.009"
"212","4/28/2022 0:00","0.008"
"213","4/29/2022 0:00","0.008"
"214","4/30/2022 0:00","0.003"
"215","5/1/2022 0:00","0.007"
"216","5/2/2022 0:00","0.008"
"217","5/3/2022 0:00","0.008"
"218","5/4/2022 0:00","0.009"
"219","5/5/2022 0:00","0.009"
"220","5/6/2022 0:00","0.009"
"221","5/7/2022 0:00","0.003"
"222","5/8/2022 0:00","0.005"
"223","5/9/2022 0:00","0.003"
"224","5/10/2022 0:00","0.005"
"225","5/11/2022 0:00","0.006"
"226","5/12/2022 0:00","0.007"
"227","5/13/2022 0:00","0.004"
"228","5/14/2022 0:00","0.002"
"229","5/15/2022 0:00","0.006"
"230","5/16/2022 0:00","0.008"
"231","5/17/2022 0:00","0.01"
"232","5/18/2022 0:00","0.012"
"233","5/19/2022 0:00","0.018"
"234","5/20/2022 0:00","0.024"
"235","5/21/2022 0:00","0.013"
"236","5/22/2022 0:00","0.011"
"237","5/23/2022 0:00","0.011"
"238","5/24/2022 0:00","0.007"
"239","5/25/2022 0:00","0.009"
"240","5/26/2022 0:00","0.01"
"241","5/27/2022 0:00","0.007"
"242","5/28/2022 0:00","0.003"
"243","5/29/2022 0:00","0.005"
"244","5/30/2022 0:00","0.003"
"245","5/31/2022 0:00","0.003"
"246","6/1/2022 0:00","0.005"
"247","6/2/2022 0:00","0.008"
"248","6/3/2022 0:00","0.007"
"249","6/4/2022 0:00","0.001"
"250","6/5/2022 0:00","0.003"
"251","6/6/2022 0:00","0.003"
"252","6/7/2022 0:00","0.003"
"253","6/8/2022 0:00","0.007"
"254","6/9/2022 0:00","0.007"
"255","6/10/2022 0:00","0.005"
"256","6/11/2022 0:00","0.001"
"257","6/12/2022 0:00","0.004"
"258","6/13/2022 0:00","0.004"
"259","6/14/2022 0:00","0.004"
"260","6/15/2022 0:00","0.009"
"261","6/16/2022 0:00","0.008"
"262","6/17/2022 0:00","0.006"
"263","6/18/2022 0:00","0.002"
"264","6/19/2022 0:00","0.002"
"265","6/20/2022 0:00","0.002"
"266","6/21/2022 0:00","0.003"
"267","6/22/2022 0:00","0.008"
"268","6/23/2022 0:00","0.007"
"269","6/24/2022 0:00","0.005"
"270","6/25/2022 0:00","0.002"
"271","6/26/2022 0:00","0.004"
"272","6/27/2022 0:00","0.004"
"273","6/28/2022 0:00","0.004"
"274","6/29/2022 0:00","0.016"
"275","6/30/2022 0:00","0.002"
"276","7/1/2022 0:00","0.004"
"277","7/2/2022 0:00","0.001"
"278","7/3/2022 0:00","0.004"
"279","7/4/2022 0:00","0.004"
"280","7/5/2022 0:00","0.003"
"281","7/6/2022 0:00","0.008"
"282","7/7/2022 0:00","0.009"
"283","7/8/2022 0:00","0.008"
"284","7/9/2022 0:00","0.001"
"285","7/10/2022 0:00","0.003"
"286","7/11/2022 0:00","0.005"
"287","7/12/2022 0:00","0.004"
"288","7/13/2022 0:00","0.009"
"289","7/14/2022 0:00","0.011"
"290","7/15/2022 0:00","0.008"
"291","7/16/2022 0:00","0.001"
"292","7/17/2022 0:00","0.003"
"293","7/18/2022 0:00","0.005"
"294","7/19/2022 0:00","0.002"
"295","7/20/2022 0:00","0.008"
"296","7/21/2022 0:00","0.01"
"297","7/22/2022 0:00","0.009"
"298","7/23/2022 0:00","0.034"
"299","7/24/2022 0:00","0.765"
"300","7/25/2022 0:00","1.89"
"301","7/26/2022 0:00","0.741"
"302","7/27/2022 0:00","2.69"
"303","7/28/2022 0:00","0.33"
"304","7/29/2022 0:00","0.031"
"305","7/30/2022 0:00","0.002"
"306","7/31/2022 0:00","0.021"
"307","8/1/2022 0:00","0.052"
"308","8/2/2022 0:00","0.056"
"309","8/3/2022 0:00","0.026"
"310","8/4/2022 0:00","0.069"
"311","8/5/2022 0:00","0.458"
"312","8/6/2022 0:00","0.339"
"313","8/7/2022 0:00","0.217"
"314","8/8/2022 0:00","1.4"
"315","8/9/2022 0:00","0.848"
"316","8/10/2022 0:00","0.22"
"317","8/11/2022 0:00","0.557"
"318","8/12/2022 0:00","0.827"
"319","8/13/2022 0:00","1.39"
"320","8/14/2022 0:00","0.131"
"321","8/15/2022 0:00","1.48"
"322","8/16/2022 0:00","2.09"
"323","8/17/2022 0:00","3.77"
"324","8/18/2022 0:00","5.03"
"325","8/19/2022 0:00","4.82"
"326","8/20/2022 0:00","4.99"
"327","8/21/2022 0:00","3.4"
"328","8/22/2022 0:00","4.68"
"329","8/23/2022 0:00","3.84"
"330","8/24/2022 0:00","5.61"
"331","8/25/2022 0:00","5.41"
"332","8/26/2022 0:00","4.66"
"333","8/27/2022 0:00","5.01"
"334","8/28/2022 0:00","3.27"
"335","8/29/2022 0:00",""
"336","8/30/2022 0:00","3.65"
"337","8/31/2022 0:00","3.4"
"338","9/1/2022 0:00","2.86"
"339","9/2/2022 0:00",""
"340","9/3/2022 0:00","7.86"
"341","9/4/2022 0:00",""
"342","9/5/2022 0:00","7.8"
"343","9/6/2022 0:00",""
"344","9/7/2022 0:00","4.33"
"345","9/8/2022 0:00",""
"346","9/9/2022 0:00",""
