FacilityID,QInscfsAdj,QInsCFAdj,Q_DailyavgCF,AVGDISCHARGE,JURISDICTI,SAMPLEDRY,PERSISTENTFLOW,JURISDICTI3,PERCENTAGE,area_acres,AREA
K01-12156-6,0.29718851999999996,25677.088127999996,23607.935999999998,0.430708,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,100,NA,NA
L01-125-3,0.02359869,2038.9268160000001,2954.9664,0.034201,RANCHO SANTA MARGARITA,NA,Yes,ORANGE CO,1.064651459,69.26665813,0.737449138
L01-125-3,0.02359869,2038.9268160000001,2954.9664,0.034201,RANCHO SANTA MARGARITA,NA,Yes,RANCHO SANTA MARGARITA,98.93535016,69.26665813,68.52927134
L01-728-2,0.0011950799999999998,103.25491199999998,149.6448,0.001732,DANA POINT,NA,Yes,DANA POINT,100.000001,95.97299313,95.97307889
L01-728-3 (L01S02),0.30228486,26117.411903999993,1013.472,0.438094,DANA POINT,NA,Yes,DANA POINT,8.724176507,1014.01862168,88.46485258
L01-728-3 (L01S02),0.30228486,26117.411903999993,1013.472,0.438094,DANA POINT,NA,Yes,SAN CLEMENTE,0.203472958,1014.01862168,2.063255511
L01-728-3 (L01S02),0.30228486,26117.411903999993,1013.472,0.438094,DANA POINT,NA,Yes,SAN JUAN CAPISTRANO,91.07235047,1014.01862168,923.4914094
L01-749-2d,0.05640888,4873.727232,4769.28,0.081752,SAN JUAN CAPISTRANO,NA,Yes,SAN JUAN CAPISTRANO,100,NA,NA
L01-760-2,0.04998222,4318.463808,2246.807808,0.072438,ORANGE CO,NA,Yes,ORANGE CO,100,32.57431395,32.57434275
L01-766-7,5.927099999999999e-4,51.210143999999985,7.809696000000001,8.59e-4,SAN JUAN CAPISTRANO,NA,Unknown,SAN JUAN CAPISTRANO,100,56.73310957,56.73315973
L02-198-1 (L02P29),0.005761499999999999,497.79359999999986,715.3919999999999,0.00835,RANCHO SANTA MARGARITA,NA,Yes,RANCHO SANTA MARGARITA,100,NA,NA
L02-374-1 (L02P50),0.13307133,11497.362912,11336.399711999999,0.192857,ORANGE CO,1,Yes,ORANGE CO,100,456.48197184000003,456.4823754
L02-374-2 (MVL02P20),0.00595056,514.128384,596.16,0.008624,ORANGE CO,NA,Yes,MISSION VIEJO,100,84.33765496,84.33772952
L02-541-6,0.0014427899999999998,124.65705599999998,180.6624,0.002091,SAN JUAN CAPISTRANO,NA,Yes,SAN JUAN CAPISTRANO,100,17.62492719,17.62494277
L02-622-1 (L02P28),0.009833189999999999,849.5876159999998,1231.2864,0.014251,RANCHO SANTA MARGARITA,NA,Unknown,RANCHO SANTA MARGARITA,100,256.93195174,256.9321789
L02-641-1,0.03796587,3280.251168,2790.0288,0.055023,RANCHO SANTA MARGARITA,1,Yes,ORANGE CO,0.587888306,926.34500026,5.44587874
L02-641-1,0.03796587,3280.251168,2790.0288,0.055023,RANCHO SANTA MARGARITA,1,Yes,RANCHO SANTA MARGARITA,99.41211166,926.34500026,920.8999402
L03-074-1 (L03B01),0.14138859,12215.974176000002,1251.9359999999997,0.204911,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,303.10956645,303.1098344
L03-241-4,0.00668196,577.321344,1257.3610559999997,0.009684,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,209.49721786,NA
L03-316-2,0.00902658,779.8965119999998,119.232,0.013082,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,143.04145576,143.0415822
L03-316-4,0.01591416,1374.983424,0,0.023064,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,44.10840687,NA
L03-418-2,0.005453759999999999,471.20486399999993,1033.324128,0.007904,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,100,NA,NA
L03-662-3 (L03P16),0.10237805999999999,8845.464383999999,1669.248,0.148374,MISSION VIEJO,1,Yes,MISSION VIEJO,100,436.64832448,436.6487105
L04-266-5,0.32193399,27815.096736,12945.077856,0.466571,MISSION VIEJO,1,Yes,MISSION VIEJO,100,577.85257612,577.853087
L05-489-3,0.55455645,47913.677279999996,91470.825936,0.803705,ORANGE CO,1,Yes,ORANGE CO,100,1832.47249969,1832.47412
LC06-11509-2,0.010634969999999999,918.861408,628.710336,0.015413,LAGUNA BEACH,NA,Yes,LAGUNA BEACH,63.38208068,51.8633,32.87206771
LC06-11509-2,0.010634969999999999,918.861408,628.710336,0.015413,LAGUNA BEACH,NA,Yes,ORANGE CO,36.61792026,51.8633,18.99127863
M02-052-2,0.46280162999999996,39986.060831999996,21963.42864,0.670727,SAN CLEMENTE,NA,Yes,ORANGE CO,5.965513916,3106.39477221,185.3125762
M02-052-2,0.46280162999999996,39986.060831999996,21963.42864,0.670727,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,94.0344861,3106.39477221,2921.084943
M02-052-4,0.03164133,2733.810912,357.69599999999997,0.045857,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,100,118.71835525,118.7184602
M02-061-4 (SCBS@M02),0.00993324,858.2319359999999,423.094752,0.014396,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,100,90.38163929,90.38171919
M02-061-6,0.00733815,634.01616,918.864,0.010635,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,100,40.9633321,40.96336831
M02-061-7,0.345,29808,43200,0.5,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,100,NA,NA
SC05-073-3,0.00209277,180.815328,262.0512,0.003033,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,100,30.16696063,30.16698731
SC06-146-2 (M00P02),0.03903882,3372.9540479999996,4471.200000000001,0.056578,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,99.99837363,325.80676057,325.8017498
SC07-079-5,0.0024012,207.46368,858.4703999999999,0.00348,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,100,29.94605554,29.94608202
SM01-086-2,0.0138,1192.32,1728,0.02,SAN CLEMENTE,NA,Unknown,SAN CLEMENTE,100,NA,NA
L03-074-2,0.01398492,1208.297088,505.5436799999999,0.020268,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,NA,NA
L03-172-2,0.00917079,792.3562559999999,649.3076639999999,0.013291,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,46.50852925,46.50857036
L04-301-1 (L04P08),0.024127919999999997,2084.652288,3021.2352,0.034968,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,191.83607914,191.8362487
M02-086-1,2.5599e-4,22.117535999999998,0,3.71e-4,SAN CLEMENTE,NA,Unknown,SAN CLEMENTE,100,50.74833146,50.74837632
SC11-130-2,0.00958065,827.7681599999999,1199.664,0.013885,DANA POINT,NA,Unknown,DANA POINT,100,NA,NA
DP01-12022-2,NA,NA,0,0,DANA POINT,NA,Unknown,DANA POINT,100,NA,NA
