JURISDICTI3,QJur_US,Sample Type,Parameter,ResultJuris,Units,LoadQUns,LoadsPoundsQUns
ALISO VIEJO,112756296.95986444,Total,Methyl Parathion,1,ng/L,112756296.95986444,0.007039139821145631
ALISO VIEJO,112756296.95986444,Total,Mevinphos (Phosdrin),5,ng/L,563781484.7993221,0.03519569910572815
ALISO VIEJO,112756296.95986444,Total,Mirex,2.5,ng/L,281890742.39966106,0.017597849552864076
ALISO VIEJO,112756296.95986444,Total,Naphthalene,3.27,ng/L,368713091.0587567,0.023017987215146214
ALISO VIEJO,112756296.95986444,Total,Phenanthrene,8.68,ng/L,978724657.6116233,0.06109973364754407
ALISO VIEJO,112756296.95986444,Total,Phorate,5,ng/L,563781484.7993221,0.03519569910572815
ALISO VIEJO,112756296.95986444,Total,Pyrene,8.435714285714287,ng/L,951179905.0685709,0.059380172348378515
ALISO VIEJO,112756296.95986444,Total,Tetrachlorvinphos (Stirofos),2,ng/L,225512593.91972888,0.014078279642291263
ALISO VIEJO,112756296.95986444,Total,Tokuthion (Prothiofos),3,ng/L,338268890.8795933,0.021117419463436895
ALISO VIEJO,112756296.95986444,Total,Toxaphene,12.5,ng/L,1409453711.9983056,0.0879892477643204
ALISO VIEJO,112756296.95986444,Total,trans-Nonachlor,1,ng/L,112756296.95986444,0.007039139821145631
ALISO VIEJO,112756296.95986444,Total,Trichloronate,1,ng/L,112756296.95986444,0.007039139821145631
ALISO VIEJO,112756296.95986444,Total,"Arsenic, Total",6.521875,ug/L,735382474.2351159,45.908390021034165
ALISO VIEJO,112756296.95986444,Dissolved,"Arsenic, Total",6.521875,ug/L,735382474.2351159,45.908390021034165
ALISO VIEJO,112756296.95986444,Total,"Cadmium, Total",1.2241176470588235,ug/L,138026972.92557523,8.616735275178856
ALISO VIEJO,112756296.95986444,Dissolved,"Cadmium, Total",1.2241176470588235,ug/L,138026972.92557523,8.616735275178856
ALISO VIEJO,112756296.95986444,Total,"Calcium, Total",189.625,ug/L,21381412811.014294,1334.7968885847406
ALISO VIEJO,112756296.95986444,Total,Chromium 6+,0.41447222222222224,ug/L,46734352.970503815,2.917527924203166
ALISO VIEJO,112756296.95986444,Dissolved,Chromium 6+,0.41447222222222224,ug/L,46734352.970503815,2.917527924203166
ALISO VIEJO,112756296.95986444,Total,"Chromium, Total",0.6869444444444445,ug/L,77457311.77270688,4.835497993803653
ALISO VIEJO,112756296.95986444,Dissolved,"Chromium, Total",0.6869444444444445,ug/L,77457311.77270688,4.835497993803653
ALISO VIEJO,112756296.95986444,Total,"Copper, Total",4.28125,ug/L,482737896.35941964,30.13631735927974
ALISO VIEJO,112756296.95986444,Dissolved,"Copper, Total",4.28125,ug/L,482737896.35941964,30.13631735927974
ALISO VIEJO,112756296.95986444,Total,Dissolved Organic Carbon,8.09375,ug/L,912621278.5189028,56.97303792739746
ALISO VIEJO,112756296.95986444,Total,"Hardness as CaCO3, Total",728.6875,ug/L,82164104140.94122,5129.333198421057
ALISO VIEJO,112756296.95986444,Total,"Iron, Total",82.42105263157895,ug/L,9293492686.270931,580.1733136796872
ALISO VIEJO,112756296.95986444,Dissolved,"Iron, Total",82.42105263157895,ug/L,9293492686.270931,580.1733136796872
ALISO VIEJO,112756296.95986444,Total,"Lead, Total",0.16972222222222222,ug/L,19137249.289576992,1.1946984529777727
ALISO VIEJO,112756296.95986444,Dissolved,"Lead, Total",0.16972222222222222,ug/L,19137249.289576992,1.1946984529777727
ALISO VIEJO,112756296.95986444,Total,"Magnesium, Total",62.05625,ug/L,6997232953.215588,436.82262052596866
ALISO VIEJO,112756296.95986444,Total,"Manganese, Total",93.003125,ug/L,10486687980.695393,654.6620006784849
ALISO VIEJO,112756296.95986444,Dissolved,"Manganese, Total",93.003125,ug/L,10486687980.695393,654.6620006784849
ALISO VIEJO,112756296.95986444,Total,MBAS,0.2685,mg/L,30275065.733723603,1890.009041977602
ALISO VIEJO,112756296.95986444,Total,"Mercury, Total",0.026764705882352944,ug/L,3017889.124514019,0.18840050697772137
ALISO VIEJO,112756296.95986444,Dissolved,"Mercury, Total",0.026764705882352944,ug/L,3017889.124514019,0.18840050697772137
ALISO VIEJO,112756296.95986444,Total,"Nickel, Total",7.181578947368421,ug/L,809768248.4301844,50.55213834712218
ALISO VIEJO,112756296.95986444,Dissolved,"Nickel, Total",7.181578947368421,ug/L,809768248.4301844,50.55213834712218
ALISO VIEJO,112756296.95986444,Total,"Selenium, Total",9.7625,ug/L,1100783349.0706766,68.71960250393424
ALISO VIEJO,112756296.95986444,Dissolved,"Selenium, Total",9.7625,ug/L,1100783349.0706766,68.71960250393424
ALISO VIEJO,112756296.95986444,Total,"Silver, Total",0.1,ug/L,11275629.695986444,0.7039139821145632
ALISO VIEJO,112756296.95986444,Dissolved,"Silver, Total",0.1,ug/L,11275629.695986444,0.7039139821145632
ALISO VIEJO,112756296.95986444,Total,"Thallium, Total",0.1,ug/L,11275629.695986444,0.7039139821145632
ALISO VIEJO,112756296.95986444,Dissolved,"Thallium, Total",0.1,ug/L,11275629.695986444,0.7039139821145632
ALISO VIEJO,112756296.95986444,Total,Total Organic Carbon (TOC),8.5375,mg/L,962656885.2948426,60096.656223030834
ALISO VIEJO,112756296.95986444,Total,"Zinc, Total",24.047619047619047,ug/L,2711520474.511026,169.27455284183543
ALISO VIEJO,112756296.95986444,Dissolved,"Zinc, Total",24.047619047619047,ug/L,2711520474.511026,169.27455284183543
ALISO VIEJO,112756296.95986444,Total,"Ammonia, as Nitrogen",0.835,mg/L,94151507.9614868,5877.681750656602
ALISO VIEJO,112756296.95986444,Total,Chloride,358.75,mg/L,40451321534.351364,2525291.4108359953
ALISO VIEJO,112756296.95986444,Total,Nitrate + Nitrite as N,5.791875,mg/L,653070377.4544148,40769.817951597855
ALISO VIEJO,112756296.95986444,Total,"Nitrogen, Total Kjeldahl",2.267777777777778,mg/L,255706224.55009258,15963.204861064705
ALISO VIEJO,112756296.95986444,Total,Orthophosphate as P,0.2331875,mg/L,26293358.99732839,1641.439417043397
ALISO VIEJO,112756296.95986444,Total,pH,7.781875,NA,877455408.4045451,NA
ALISO VIEJO,112756296.95986444,Total,Phosphorus as PO4,0.984375,mg/L,110994479.81986655,6929.15326144023
ALISO VIEJO,112756296.95986444,Total,SpecificConductivity,2768.75,NA,312193997207.62463,NA
ALISO VIEJO,112756296.95986444,Total,Sulfate,607.5,mg/L,68499450403.117645,4276277.441345971
ALISO VIEJO,112756296.95986444,Total,Total Dissolved Solids,1626.875,mg/L,183440400616.57947,11451800.5965263
ALISO VIEJO,112756296.95986444,Total,VSS,2.83125,mg/L,319241265.76761615,19929.56461861857
ALISO VIEJO,112756296.95986444,Total,TSS,2.6590909090909087,mg/L,299829244.1887304,18717.712706228158
ALISO VIEJO,112756296.95986444,Total,E. coli,4599.333333333333,CFU/100 mL,518603795150.73645,146851999465243.75
