FACILITYID,AVGDISCHARGE
L02-401-1,0
J01-9273-1,0.00103
SC07-079-4,0.00694
M02-061-6,0.010635
M01-003-1,0
M01-003-2,0
M01-002-1,0
M01-050-4 (M01@CGV),0.05849
DP06-12106-1,0.227
L01-766-8,0
L01-747-1,0.045
L01-747-2,0.024409
L05-489-3,0.803705
L05-489-4,0.028916
L05-489-7,0.093024
L05-049-2,0.293041
L01-372-1,0.007224
L01-733-5,0
L01-730-1,0.023405
L01-218-1,NA
L01-218-2,0.021185
L01-218-3,NA
L01-218-4,0.02282
L02-641-2,0.384827
L03-455-5,0.006815
L03-708-9,0.045486
L03-708-11 (L03P05),0.133617
J01-9033-1,0.002291
J01-10012-3,0
L03-241-3,0.418065
LC01-11446-1,0.017
I01-11010-1,0.03819
I01-11015-3,0
I01-11023-1,0.002155
I01-11023-2,2.04e-4
I01-11023-3,0
I01-11023-4,0
I01-11023-5,0
I01-11059-1,0
I01-11059-2,0
I01-11059-3,0
I01-11065-1,0
I01-11093-1,0
I01-11077-1,0
I01-11343-1,0
LC05-11017-1,0
DP04-12015-1,0.010065
K01-12155-5,0.057377
K01-12036-10,0.005224
J03-9234-5,0.013475000000000001
J04-9249-1,1.377561
L03-316-2,0.013082
J01-9082-3,0.005369
J01-9082-4,0.020881
L02-502-1,0.026428
L02-502-6,NA
L03-497-1,0
L02-502-5,0
L01-728-9,0
L01-727-3,0.007959
J03-9216-2,1.41452
M02-085-2,0.201592
J01-9259-3,0.00601
J03-9234-6,1.290672
L02-396-1,0.023163
L03-708-13,0.043565
J01-9364-4,0
M02-052-4,0.045857
L01-613-1,0.0058
L02-366-1 (MVL02P14),0.023387
M01-047-1,0.350968
L01-471-1,0.001375
L01-517-7,0.001777
L01-517-6,0.02934
L01-335-1,0.01107
L01-494-1,0.095255
L02-344-2,0.408144
SC11-130-2,0.013885
DP01-12022-2,0
DP01-12022-1,0.055382
K01-12159-3,0.021493
K01-12159-2,0.154127
LC03-11515-1,0.008369
I00-11518-2,0.0048
LC04-11199-1,NA
J03-9234-8,0.301604
L04-672-1,0.200871
L03-074-2,0.020268
L03-172-3,NA
J07-9022-6,0.001776
L01-303-5,0.010906
L01-303-4,0.020775
L01-303-3,NA
L01-303-2,0.07
L01-303-1,NA
L01-517-8,0
M01-008-1,0
M01-038-3,0.005304
SC02-072-4,NA
M00.1-070-6,0
M01-099-1,0.03559
M02-061-7,0.5
L05-503-1,0.057778
L01-766-9,0.173904
L01-749-5,0.008383
L01-404-2,0.06365
L03-141-2,0.005866
L03-141-3,0.01245
L01-749-2d,0.081752
LC05-11017-2,0.033808
M01-124-2,0.019404
M01-124-4,6e-4
L05-489-3d,2.136918
M01-038-6,0.013791
L04-136-1u (L04P07),0.228296
L01-335-2,0
SC10-075-3 (M00S01),0.36
SC09-081-2d,0.039
M01-168-1d (M00P03),0
M01-168-2d (M00P03),NA
K01-12156-6,0.430708
