FacilityID,QInscfsAdj,QInsCFAdj,Q_DailyavgCF,AVGDISCHARGE,JURISDICTI,SAMPLEDRY,PERSISTENTFLOW
SC11-130-2,0.00958065,827.7681599999999,1199.664,0.013885,DANA POINT,NA,Unknown
DP01-12022-2,NA,NA,0,0,DANA POINT,NA,Unknown
DP06-12106-1,NA,NA,5365.44,0.227,DANA POINT,NA,Yes
I00-11453-1,NA,NA,0,0.013896,LAGUNA BEACH,NA,Unknown
I00-11468-1,NA,NA,729.193104,0.039855,LAGUNA BEACH,1,Yes
I00-11518-1,NA,NA,0,0.079534,LAGUNA BEACH,NA,Unknown
I01-11010-1,NA,NA,638.099856,0.03819,LAGUNA BEACH,1,Yes
I01-11015-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown
I01-11015-3,NA,NA,0,0,LAGUNA BEACH,NA,Unknown
I01-11023-2,NA,NA,0,2.04e-4,LAGUNA BEACH,NA,Unknown
I01-11023-3,NA,NA,0,0,LAGUNA BEACH,NA,Unknown
I01-11023-4,NA,NA,0,0,LAGUNA BEACH,NA,Unknown
I01-11023-5,NA,NA,0,0,LAGUNA BEACH,NA,Unknown
I01-11059-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown
I01-11059-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown
I01-11059-3,NA,NA,0,0,LAGUNA BEACH,NA,Unknown
I01-11065-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown
I01-11077-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown
I01-11077-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown
I01-11093-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown
I01-11093-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown
I01-11217-1,NA,NA,0,0.001777,ALISO VIEJO,NA,Unknown
I01-11343-2 (I02P18),NA,NA,113.09155199999998,0.007519,LAGUNA WOODS,1,Yes
J01-10004-1 (J01P01),NA,NA,6825.454632,0.31136,LAKE FOREST,1,Yes
J01-10017-1 (J01TBN4),NA,NA,192.646134,0.015398,ALISO VIEJO,NA,Yes
J01-10019-1 (J01P33),NA,NA,899.0705700000001,0.007265,ALISO VIEJO,NA,Yes
J01-9005-1 (J03P05),NA,NA,3320.135892,0.033498,LAGUNA NIGUEL,NA,Yes
J01-9007-1 (J02P05),NA,NA,2773.4399999999996,0.11084,ALISO VIEJO,1,Yes
J01-9008-1 (J01P30),NA,NA,3073.243356,0.0542,ALISO VIEJO,NA,Yes
J01-9040-1,NA,NA,40215.314159999994,0.449715,LAKE FOREST,NA,Yes
J01-9046-1,NA,NA,208.6128,0.00512,LAKE FOREST,NA,Unknown
J01-9046-2,NA,NA,319.613364,0.107098,LAKE FOREST,NA,Unknown
