JURISDICTI3,Sample Type,Parameter,ResultJuris,Units
ALISO VIEJO,Total,TCMX,65,ng/L
RANCHO SANTA MARGARITA,Total,TCMX,51.857142857142854,ng/L
ORANGE CO,Total,TCMX,54.92857142857143,ng/L
LAGUNA HILLS,Total,TCMX,79.5,ng/L
LAKE FOREST,Total,TCMX,71.5,ng/L
LAGUNA BEACH,Total,TCMX,66.25,ng/L
SAN JUAN CAPISTRANO,Total,TCMX,57.875,ng/L
DANA POINT,Total,TCMX,63.083333333333336,ng/L
SAN CLEMENTE,Total,TCMX,54.5,ng/L
MISSION VIEJO,Total,"2,4'-DDD",1,ng/L
LAGUNA WOODS,Total,"2,4'-DDD",1,ng/L
LAGUNA NIGUEL,Total,"2,4'-DDD",1,ng/L
ALISO VIEJO,Total,"2,4'-DDD",1,ng/L
RANCHO SANTA MARGARITA,Total,"2,4'-DDD",1,ng/L
ORANGE CO,Total,"2,4'-DDD",1,ng/L
LAGUNA HILLS,Total,"2,4'-DDD",1,ng/L
LAKE FOREST,Total,"2,4'-DDD",1,ng/L
LAGUNA BEACH,Total,"2,4'-DDD",1,ng/L
SAN JUAN CAPISTRANO,Total,"2,4'-DDD",1,ng/L
DANA POINT,Total,"2,4'-DDD",1,ng/L
SAN CLEMENTE,Total,"2,4'-DDD",1,ng/L
MISSION VIEJO,Total,"2,4'-DDE",1,ng/L
LAGUNA WOODS,Total,"2,4'-DDE",1,ng/L
LAGUNA NIGUEL,Total,"2,4'-DDE",1,ng/L
ALISO VIEJO,Total,"2,4'-DDE",1,ng/L
RANCHO SANTA MARGARITA,Total,"2,4'-DDE",1,ng/L
ORANGE CO,Total,"2,4'-DDE",1,ng/L
LAGUNA HILLS,Total,"2,4'-DDE",1,ng/L
LAKE FOREST,Total,"2,4'-DDE",1,ng/L
LAGUNA BEACH,Total,"2,4'-DDE",1,ng/L
SAN JUAN CAPISTRANO,Total,"2,4'-DDE",1,ng/L
DANA POINT,Total,"2,4'-DDE",1,ng/L
SAN CLEMENTE,Total,"2,4'-DDE",1,ng/L
MISSION VIEJO,Total,"2,4'-DDT",1,ng/L
LAGUNA WOODS,Total,"2,4'-DDT",1,ng/L
LAGUNA NIGUEL,Total,"2,4'-DDT",1,ng/L
ALISO VIEJO,Total,"2,4'-DDT",1,ng/L
RANCHO SANTA MARGARITA,Total,"2,4'-DDT",1,ng/L
ORANGE CO,Total,"2,4'-DDT",1,ng/L
LAGUNA HILLS,Total,"2,4'-DDT",1,ng/L
LAKE FOREST,Total,"2,4'-DDT",1,ng/L
LAGUNA BEACH,Total,"2,4'-DDT",1,ng/L
SAN JUAN CAPISTRANO,Total,"2,4'-DDT",1,ng/L
DANA POINT,Total,"2,4'-DDT",1,ng/L
SAN CLEMENTE,Total,"2,4'-DDT",1,ng/L
MISSION VIEJO,Total,"4,4'-DDD",1,ng/L
LAGUNA WOODS,Total,"4,4'-DDD",1,ng/L
LAGUNA NIGUEL,Total,"4,4'-DDD",1.1444444444444444,ng/L
ALISO VIEJO,Total,"4,4'-DDD",1,ng/L
RANCHO SANTA MARGARITA,Total,"4,4'-DDD",1,ng/L
ORANGE CO,Total,"4,4'-DDD",1,ng/L
LAGUNA HILLS,Total,"4,4'-DDD",1,ng/L
LAKE FOREST,Total,"4,4'-DDD",1,ng/L
LAGUNA BEACH,Total,"4,4'-DDD",1,ng/L
SAN JUAN CAPISTRANO,Total,"4,4'-DDD",1,ng/L
DANA POINT,Total,"4,4'-DDD",1.1857142857142857,ng/L
SAN CLEMENTE,Total,"4,4'-DDD",1,ng/L
MISSION VIEJO,Total,"4,4'-DDE",1,ng/L
LAGUNA WOODS,Total,"4,4'-DDE",1,ng/L
LAGUNA NIGUEL,Total,"4,4'-DDE",1.698888888888889,ng/L
ALISO VIEJO,Total,"4,4'-DDE",1,ng/L
RANCHO SANTA MARGARITA,Total,"4,4'-DDE",1,ng/L
ORANGE CO,Total,"4,4'-DDE",1,ng/L
LAGUNA HILLS,Total,"4,4'-DDE",1,ng/L
LAKE FOREST,Total,"4,4'-DDE",1,ng/L
LAGUNA BEACH,Total,"4,4'-DDE",1,ng/L
SAN JUAN CAPISTRANO,Total,"4,4'-DDE",2.258,ng/L
DANA POINT,Total,"4,4'-DDE",1.8985714285714284,ng/L
SAN CLEMENTE,Total,"4,4'-DDE",1,ng/L
MISSION VIEJO,Total,"4,4'-DDT",1,ng/L
LAGUNA WOODS,Total,"4,4'-DDT",1,ng/L
LAGUNA NIGUEL,Total,"4,4'-DDT",1,ng/L
ALISO VIEJO,Total,"4,4'-DDT",1,ng/L
RANCHO SANTA MARGARITA,Total,"4,4'-DDT",1,ng/L
ORANGE CO,Total,"4,4'-DDT",1,ng/L
LAGUNA HILLS,Total,"4,4'-DDT",1,ng/L
LAKE FOREST,Total,"4,4'-DDT",1,ng/L
LAGUNA BEACH,Total,"4,4'-DDT",1,ng/L
SAN JUAN CAPISTRANO,Total,"4,4'-DDT",1,ng/L
DANA POINT,Total,"4,4'-DDT",1,ng/L
SAN CLEMENTE,Total,"4,4'-DDT",1,ng/L
MISSION VIEJO,Total,Acenaphthene,2.5,ng/L
LAGUNA NIGUEL,Total,Acenaphthene,2.5,ng/L
ALISO VIEJO,Total,Acenaphthene,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Acenaphthene,2.5,ng/L
ORANGE CO,Total,Acenaphthene,2.5,ng/L
LAGUNA HILLS,Total,Acenaphthene,2.5,ng/L
LAGUNA WOODS,Total,Acenaphthene,2.5,ng/L
LAKE FOREST,Total,Acenaphthene,2.5,ng/L
LAGUNA BEACH,Total,Acenaphthene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Acenaphthene,2.5,ng/L
DANA POINT,Total,Acenaphthene,2.5,ng/L
SAN CLEMENTE,Total,Acenaphthene,2.5,ng/L
MISSION VIEJO,Total,Acenaphthylene,2.5,ng/L
LAGUNA WOODS,Total,Acenaphthylene,2.5,ng/L
LAGUNA NIGUEL,Total,Acenaphthylene,2.5,ng/L
ALISO VIEJO,Total,Acenaphthylene,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Acenaphthylene,2.5,ng/L
ORANGE CO,Total,Acenaphthylene,2.5,ng/L
LAGUNA HILLS,Total,Acenaphthylene,2.5,ng/L
LAKE FOREST,Total,Acenaphthylene,2.5,ng/L
LAGUNA BEACH,Total,Acenaphthylene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Acenaphthylene,2.5,ng/L
DANA POINT,Total,Acenaphthylene,2.5,ng/L
SAN CLEMENTE,Total,Acenaphthylene,2.5,ng/L
MISSION VIEJO,Total,Aldrin,2.5,ng/L
LAGUNA WOODS,Total,Aldrin,2.5,ng/L
LAGUNA NIGUEL,Total,Aldrin,2.5,ng/L
ALISO VIEJO,Total,Aldrin,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Aldrin,2.5,ng/L
ORANGE CO,Total,Aldrin,2.5,ng/L
LAGUNA HILLS,Total,Aldrin,2.5,ng/L
LAKE FOREST,Total,Aldrin,2.5,ng/L
LAGUNA BEACH,Total,Aldrin,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Aldrin,2.5,ng/L
DANA POINT,Total,Aldrin,2.5,ng/L
SAN CLEMENTE,Total,Aldrin,2.5,ng/L
MISSION VIEJO,Total,Anthracene,2.5,ng/L
LAGUNA WOODS,Total,Anthracene,2.5,ng/L
LAGUNA NIGUEL,Total,Anthracene,2.5,ng/L
ALISO VIEJO,Total,Anthracene,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Anthracene,2.5,ng/L
ORANGE CO,Total,Anthracene,2.5,ng/L
LAGUNA HILLS,Total,Anthracene,2.5,ng/L
LAKE FOREST,Total,Anthracene,2.5,ng/L
LAGUNA BEACH,Total,Anthracene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Anthracene,2.5,ng/L
DANA POINT,Total,Anthracene,2.5,ng/L
SAN CLEMENTE,Total,Anthracene,2.5,ng/L
MISSION VIEJO,Total,Benz[a]anthracene,2.5,ng/L
LAGUNA WOODS,Total,Benz[a]anthracene,2.5,ng/L
LAGUNA NIGUEL,Total,Benz[a]anthracene,2.5,ng/L
ALISO VIEJO,Total,Benz[a]anthracene,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Benz[a]anthracene,2.5,ng/L
ORANGE CO,Total,Benz[a]anthracene,2.5,ng/L
LAGUNA HILLS,Total,Benz[a]anthracene,2.5,ng/L
LAKE FOREST,Total,Benz[a]anthracene,2.5,ng/L
LAGUNA BEACH,Total,Benz[a]anthracene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Benz[a]anthracene,2.5,ng/L
DANA POINT,Total,Benz[a]anthracene,2.5,ng/L
SAN CLEMENTE,Total,Benz[a]anthracene,2.5,ng/L
MISSION VIEJO,Total,Benzo[a]pyrene,2.5,ng/L
LAGUNA WOODS,Total,Benzo[a]pyrene,2.5,ng/L
LAGUNA NIGUEL,Total,Benzo[a]pyrene,2.86,ng/L
ALISO VIEJO,Total,Benzo[a]pyrene,2.86,ng/L
RANCHO SANTA MARGARITA,Total,Benzo[a]pyrene,2.5,ng/L
ORANGE CO,Total,Benzo[a]pyrene,2.5,ng/L
LAGUNA HILLS,Total,Benzo[a]pyrene,2.5,ng/L
LAKE FOREST,Total,Benzo[a]pyrene,2.5,ng/L
LAGUNA BEACH,Total,Benzo[a]pyrene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Benzo[a]pyrene,2.5,ng/L
DANA POINT,Total,Benzo[a]pyrene,2.5,ng/L
SAN CLEMENTE,Total,Benzo[a]pyrene,2.5,ng/L
MISSION VIEJO,Total,Benzo[b]fluoranthene,2.5,ng/L
LAGUNA WOODS,Total,Benzo[b]fluoranthene,2.5,ng/L
LAGUNA NIGUEL,Total,Benzo[b]fluoranthene,3.032222222222222,ng/L
ALISO VIEJO,Total,Benzo[b]fluoranthene,4.099,ng/L
RANCHO SANTA MARGARITA,Total,Benzo[b]fluoranthene,2.5,ng/L
ORANGE CO,Total,Benzo[b]fluoranthene,2.5,ng/L
LAGUNA HILLS,Total,Benzo[b]fluoranthene,2.5,ng/L
LAKE FOREST,Total,Benzo[b]fluoranthene,2.5,ng/L
LAGUNA BEACH,Total,Benzo[b]fluoranthene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Benzo[b]fluoranthene,2.5,ng/L
DANA POINT,Total,Benzo[b]fluoranthene,2.5,ng/L
SAN CLEMENTE,Total,Benzo[b]fluoranthene,2.5,ng/L
MISSION VIEJO,Total,"Benzo[g,h,i]perylene",2.5,ng/L
LAGUNA WOODS,Total,"Benzo[g,h,i]perylene",2.5,ng/L
LAGUNA NIGUEL,Total,"Benzo[g,h,i]perylene",3.1655555555555557,ng/L
ALISO VIEJO,Total,"Benzo[g,h,i]perylene",3.2487500000000002,ng/L
RANCHO SANTA MARGARITA,Total,"Benzo[g,h,i]perylene",2.5,ng/L
ORANGE CO,Total,"Benzo[g,h,i]perylene",2.5,ng/L
LAGUNA HILLS,Total,"Benzo[g,h,i]perylene",2.5,ng/L
LAKE FOREST,Total,"Benzo[g,h,i]perylene",2.5,ng/L
LAGUNA BEACH,Total,"Benzo[g,h,i]perylene",2.5,ng/L
SAN JUAN CAPISTRANO,Total,"Benzo[g,h,i]perylene",2.5,ng/L
DANA POINT,Total,"Benzo[g,h,i]perylene",2.5,ng/L
SAN CLEMENTE,Total,"Benzo[g,h,i]perylene",2.5,ng/L
MISSION VIEJO,Total,Benzo[k]fluoranthene,2.5,ng/L
LAGUNA WOODS,Total,Benzo[k]fluoranthene,2.5,ng/L
LAGUNA NIGUEL,Total,Benzo[k]fluoranthene,2.9055555555555554,ng/L
ALISO VIEJO,Total,Benzo[k]fluoranthene,2.9055555555555554,ng/L
RANCHO SANTA MARGARITA,Total,Benzo[k]fluoranthene,2.5,ng/L
ORANGE CO,Total,Benzo[k]fluoranthene,2.5,ng/L
LAGUNA HILLS,Total,Benzo[k]fluoranthene,2.5,ng/L
LAKE FOREST,Total,Benzo[k]fluoranthene,2.5,ng/L
LAGUNA BEACH,Total,Benzo[k]fluoranthene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Benzo[k]fluoranthene,2.5,ng/L
DANA POINT,Total,Benzo[k]fluoranthene,2.5,ng/L
SAN CLEMENTE,Total,Benzo[k]fluoranthene,2.5,ng/L
MISSION VIEJO,Total,BHC-alpha,2.5,ng/L
LAGUNA WOODS,Total,BHC-alpha,2.5,ng/L
LAGUNA NIGUEL,Total,BHC-alpha,2.5,ng/L
ALISO VIEJO,Total,BHC-alpha,2.5,ng/L
RANCHO SANTA MARGARITA,Total,BHC-alpha,2.5,ng/L
ORANGE CO,Total,BHC-alpha,2.5,ng/L
LAGUNA HILLS,Total,BHC-alpha,2.5,ng/L
LAKE FOREST,Total,BHC-alpha,2.5,ng/L
LAGUNA BEACH,Total,BHC-alpha,2.5,ng/L
SAN JUAN CAPISTRANO,Total,BHC-alpha,2.5,ng/L
DANA POINT,Total,BHC-alpha,2.5,ng/L
SAN CLEMENTE,Total,BHC-alpha,2.5,ng/L
MISSION VIEJO,Total,BHC-beta,2.5,ng/L
LAGUNA WOODS,Total,BHC-beta,2.5,ng/L
LAGUNA NIGUEL,Total,BHC-beta,2.5,ng/L
ALISO VIEJO,Total,BHC-beta,2.5,ng/L
RANCHO SANTA MARGARITA,Total,BHC-beta,2.5,ng/L
ORANGE CO,Total,BHC-beta,2.5,ng/L
LAGUNA HILLS,Total,BHC-beta,2.5,ng/L
LAKE FOREST,Total,BHC-beta,2.5,ng/L
LAGUNA BEACH,Total,BHC-beta,2.5,ng/L
SAN JUAN CAPISTRANO,Total,BHC-beta,2.5,ng/L
DANA POINT,Total,BHC-beta,2.5,ng/L
SAN CLEMENTE,Total,BHC-beta,2.5,ng/L
MISSION VIEJO,Total,BHC-delta,2.5,ng/L
LAGUNA WOODS,Total,BHC-delta,2.5,ng/L
LAGUNA NIGUEL,Total,BHC-delta,2.5,ng/L
ALISO VIEJO,Total,BHC-delta,2.5,ng/L
RANCHO SANTA MARGARITA,Total,BHC-delta,2.5,ng/L
ORANGE CO,Total,BHC-delta,2.5,ng/L
LAGUNA HILLS,Total,BHC-delta,2.5,ng/L
LAKE FOREST,Total,BHC-delta,2.5,ng/L
LAGUNA BEACH,Total,BHC-delta,2.5,ng/L
SAN JUAN CAPISTRANO,Total,BHC-delta,2.5,ng/L
DANA POINT,Total,BHC-delta,2.5,ng/L
SAN CLEMENTE,Total,BHC-delta,2.5,ng/L
MISSION VIEJO,Total,BHC-gamma,2.5,ng/L
LAGUNA WOODS,Total,BHC-gamma,2.5,ng/L
LAGUNA NIGUEL,Total,BHC-gamma,2.5,ng/L
ALISO VIEJO,Total,BHC-gamma,2.5,ng/L
RANCHO SANTA MARGARITA,Total,BHC-gamma,2.5,ng/L
ORANGE CO,Total,BHC-gamma,2.5,ng/L
LAGUNA HILLS,Total,BHC-gamma,2.5,ng/L
LAKE FOREST,Total,BHC-gamma,2.5,ng/L
LAGUNA BEACH,Total,BHC-gamma,2.5,ng/L
