JURISDICTI3,Sample Type,Parameter,ResultJuris,Units
LAGUNA NIGUEL,Total,Dieldrin,1,ng/L
ALISO VIEJO,Total,Dieldrin,1,ng/L
RANCHO SANTA MARGARITA,Total,Dieldrin,1,ng/L
ORANGE CO,Total,Dieldrin,1,ng/L
LAGUNA HILLS,Total,Dieldrin,1,ng/L
LAKE FOREST,Total,Dieldrin,1,ng/L
LAGUNA BEACH,Total,Dieldrin,1,ng/L
SAN JUAN CAPISTRANO,Total,Dieldrin,1,ng/L
DANA POINT,Total,Dieldrin,1,ng/L
SAN CLEMENTE,Total,Dieldrin,1,ng/L
MISSION VIEJO,Total,Dimethoate,5,ng/L
LAGUNA WOODS,Total,Dimethoate,5,ng/L
LAGUNA NIGUEL,Total,Dimethoate,5,ng/L
ALISO VIEJO,Total,Dimethoate,5,ng/L
RANCHO SANTA MARGARITA,Total,Dimethoate,5,ng/L
ORANGE CO,Total,Dimethoate,5,ng/L
LAGUNA HILLS,Total,Dimethoate,5,ng/L
LAKE FOREST,Total,Dimethoate,5,ng/L
LAGUNA BEACH,Total,Dimethoate,5,ng/L
SAN JUAN CAPISTRANO,Total,Dimethoate,5,ng/L
DANA POINT,Total,Dimethoate,5,ng/L
SAN CLEMENTE,Total,Dimethoate,5,ng/L
MISSION VIEJO,Total,Disulfoton,1,ng/L
LAGUNA WOODS,Total,Disulfoton,1,ng/L
LAGUNA NIGUEL,Total,Disulfoton,1,ng/L
ALISO VIEJO,Total,Disulfoton,1,ng/L
RANCHO SANTA MARGARITA,Total,Disulfoton,1,ng/L
ORANGE CO,Total,Disulfoton,1,ng/L
LAGUNA HILLS,Total,Disulfoton,1,ng/L
LAKE FOREST,Total,Disulfoton,1,ng/L
LAGUNA BEACH,Total,Disulfoton,1,ng/L
SAN JUAN CAPISTRANO,Total,Disulfoton,1,ng/L
DANA POINT,Total,Disulfoton,1,ng/L
SAN CLEMENTE,Total,Disulfoton,1,ng/L
MISSION VIEJO,Total,Endosulfan-I,2.5,ng/L
LAGUNA WOODS,Total,Endosulfan-I,2.5,ng/L
LAGUNA NIGUEL,Total,Endosulfan-I,2.5,ng/L
ALISO VIEJO,Total,Endosulfan-I,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Endosulfan-I,2.5,ng/L
ORANGE CO,Total,Endosulfan-I,2.5,ng/L
LAGUNA HILLS,Total,Endosulfan-I,2.5,ng/L
LAKE FOREST,Total,Endosulfan-I,2.5,ng/L
LAGUNA BEACH,Total,Endosulfan-I,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Endosulfan-I,2.5,ng/L
DANA POINT,Total,Endosulfan-I,2.5,ng/L
SAN CLEMENTE,Total,Endosulfan-I,2.5,ng/L
MISSION VIEJO,Total,Endosulfan-II,2.5,ng/L
LAGUNA WOODS,Total,Endosulfan-II,2.5,ng/L
LAGUNA NIGUEL,Total,Endosulfan-II,2.5,ng/L
ALISO VIEJO,Total,Endosulfan-II,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Endosulfan-II,2.5,ng/L
ORANGE CO,Total,Endosulfan-II,2.5,ng/L
LAGUNA HILLS,Total,Endosulfan-II,2.5,ng/L
LAKE FOREST,Total,Endosulfan-II,2.5,ng/L
LAGUNA BEACH,Total,Endosulfan-II,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Endosulfan-II,2.5,ng/L
DANA POINT,Total,Endosulfan-II,2.5,ng/L
SAN CLEMENTE,Total,Endosulfan-II,2.5,ng/L
MISSION VIEJO,Total,Endosulfan Sulfate,2.5,ng/L
LAGUNA WOODS,Total,Endosulfan Sulfate,2.5,ng/L
LAGUNA NIGUEL,Total,Endosulfan Sulfate,2.5,ng/L
ALISO VIEJO,Total,Endosulfan Sulfate,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Endosulfan Sulfate,2.5,ng/L
ORANGE CO,Total,Endosulfan Sulfate,2.5,ng/L
LAGUNA HILLS,Total,Endosulfan Sulfate,2.5,ng/L
LAKE FOREST,Total,Endosulfan Sulfate,2.5,ng/L
LAGUNA BEACH,Total,Endosulfan Sulfate,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Endosulfan Sulfate,2.5,ng/L
DANA POINT,Total,Endosulfan Sulfate,2.5,ng/L
SAN CLEMENTE,Total,Endosulfan Sulfate,2.5,ng/L
MISSION VIEJO,Total,Endrin,2.5,ng/L
LAGUNA WOODS,Total,Endrin,2.5,ng/L
LAGUNA NIGUEL,Total,Endrin,2.5,ng/L
ALISO VIEJO,Total,Endrin,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Endrin,2.5,ng/L
ORANGE CO,Total,Endrin,2.5,ng/L
LAGUNA HILLS,Total,Endrin,2.5,ng/L
LAKE FOREST,Total,Endrin,2.5,ng/L
LAGUNA BEACH,Total,Endrin,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Endrin,2.5,ng/L
DANA POINT,Total,Endrin,2.5,ng/L
SAN CLEMENTE,Total,Endrin,2.5,ng/L
MISSION VIEJO,Total,Endrin Aldehyde,2.5,ng/L
LAGUNA WOODS,Total,Endrin Aldehyde,2.5,ng/L
LAGUNA NIGUEL,Total,Endrin Aldehyde,2.5,ng/L
ALISO VIEJO,Total,Endrin Aldehyde,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Endrin Aldehyde,2.5,ng/L
ORANGE CO,Total,Endrin Aldehyde,2.5,ng/L
LAGUNA HILLS,Total,Endrin Aldehyde,2.5,ng/L
LAKE FOREST,Total,Endrin Aldehyde,2.5,ng/L
LAGUNA BEACH,Total,Endrin Aldehyde,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Endrin Aldehyde,2.5,ng/L
DANA POINT,Total,Endrin Aldehyde,2.5,ng/L
SAN CLEMENTE,Total,Endrin Aldehyde,2.5,ng/L
MISSION VIEJO,Total,Ethoprop (Ethoprofos),1,ng/L
LAGUNA WOODS,Total,Ethoprop (Ethoprofos),1,ng/L
LAGUNA NIGUEL,Total,Ethoprop (Ethoprofos),1,ng/L
ALISO VIEJO,Total,Ethoprop (Ethoprofos),1,ng/L
RANCHO SANTA MARGARITA,Total,Ethoprop (Ethoprofos),1,ng/L
ORANGE CO,Total,Ethoprop (Ethoprofos),1,ng/L
LAGUNA HILLS,Total,Ethoprop (Ethoprofos),1,ng/L
LAKE FOREST,Total,Ethoprop (Ethoprofos),1,ng/L
LAGUNA BEACH,Total,Ethoprop (Ethoprofos),1,ng/L
SAN JUAN CAPISTRANO,Total,Ethoprop (Ethoprofos),1,ng/L
DANA POINT,Total,Ethoprop (Ethoprofos),1,ng/L
SAN CLEMENTE,Total,Ethoprop (Ethoprofos),1,ng/L
MISSION VIEJO,Total,Fenchlorphos (Ronnel),2,ng/L
LAGUNA WOODS,Total,Fenchlorphos (Ronnel),2,ng/L
LAGUNA NIGUEL,Total,Fenchlorphos (Ronnel),2,ng/L
ALISO VIEJO,Total,Fenchlorphos (Ronnel),2,ng/L
RANCHO SANTA MARGARITA,Total,Fenchlorphos (Ronnel),2,ng/L
ORANGE CO,Total,Fenchlorphos (Ronnel),2,ng/L
LAGUNA HILLS,Total,Fenchlorphos (Ronnel),2,ng/L
LAKE FOREST,Total,Fenchlorphos (Ronnel),2,ng/L
LAGUNA BEACH,Total,Fenchlorphos (Ronnel),2,ng/L
SAN JUAN CAPISTRANO,Total,Fenchlorphos (Ronnel),2,ng/L
DANA POINT,Total,Fenchlorphos (Ronnel),2,ng/L
SAN CLEMENTE,Total,Fenchlorphos (Ronnel),2,ng/L
MISSION VIEJO,Total,Fensulfothion,1,ng/L
LAGUNA WOODS,Total,Fensulfothion,1,ng/L
LAGUNA NIGUEL,Total,Fensulfothion,1,ng/L
ALISO VIEJO,Total,Fensulfothion,1,ng/L
RANCHO SANTA MARGARITA,Total,Fensulfothion,1,ng/L
ORANGE CO,Total,Fensulfothion,3.5266666666666664,ng/L
LAGUNA HILLS,Total,Fensulfothion,1,ng/L
LAKE FOREST,Total,Fensulfothion,1,ng/L
LAGUNA BEACH,Total,Fensulfothion,1,ng/L
SAN JUAN CAPISTRANO,Total,Fensulfothion,1,ng/L
DANA POINT,Total,Fensulfothion,1,ng/L
SAN CLEMENTE,Total,Fensulfothion,1,ng/L
MISSION VIEJO,Total,Fenthion,2,ng/L
LAGUNA WOODS,Total,Fenthion,2,ng/L
LAGUNA NIGUEL,Total,Fenthion,2,ng/L
ALISO VIEJO,Total,Fenthion,2,ng/L
RANCHO SANTA MARGARITA,Total,Fenthion,2,ng/L
ORANGE CO,Total,Fenthion,2,ng/L
LAGUNA HILLS,Total,Fenthion,2,ng/L
LAKE FOREST,Total,Fenthion,2,ng/L
LAGUNA BEACH,Total,Fenthion,2,ng/L
SAN JUAN CAPISTRANO,Total,Fenthion,2,ng/L
DANA POINT,Total,Fenthion,2,ng/L
SAN CLEMENTE,Total,Fenthion,2,ng/L
MISSION VIEJO,Total,Fluoranthene,4.3575,ng/L
LAGUNA NIGUEL,Total,Fluoranthene,3.5679999999999996,ng/L
ALISO VIEJO,Total,Fluoranthene,7.086666666666667,ng/L
RANCHO SANTA MARGARITA,Total,Fluoranthene,3.06,ng/L
ORANGE CO,Total,Fluoranthene,2.755,ng/L
LAGUNA BEACH,Total,Fluoranthene,2.5,ng/L
DANA POINT,Total,Fluoranthene,3.693333333333333,ng/L
SAN CLEMENTE,Total,Fluoranthene,3.5233333333333334,ng/L
LAGUNA HILLS,Total,Fluoranthene,2.5,ng/L
LAGUNA WOODS,Total,Fluoranthene,2.5,ng/L
LAKE FOREST,Total,Fluoranthene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Fluoranthene,2.5,ng/L
MISSION VIEJO,Total,Fluorene,2.5,ng/L
LAGUNA WOODS,Total,Fluorene,2.5,ng/L
LAGUNA NIGUEL,Total,Fluorene,2.5,ng/L
ALISO VIEJO,Total,Fluorene,3.1344444444444446,ng/L
RANCHO SANTA MARGARITA,Total,Fluorene,3.5625,ng/L
ORANGE CO,Total,Fluorene,3.066666666666667,ng/L
LAGUNA HILLS,Total,Fluorene,2.5,ng/L
LAKE FOREST,Total,Fluorene,2.5,ng/L
LAGUNA BEACH,Total,Fluorene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Fluorene,2.5,ng/L
DANA POINT,Total,Fluorene,2.5,ng/L
SAN CLEMENTE,Total,Fluorene,2.5,ng/L
MISSION VIEJO,Total,Heptachlor,2.5,ng/L
LAGUNA WOODS,Total,Heptachlor,2.5,ng/L
LAGUNA NIGUEL,Total,Heptachlor,2.5,ng/L
ALISO VIEJO,Total,Heptachlor,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Heptachlor,2.5,ng/L
ORANGE CO,Total,Heptachlor,2.5,ng/L
LAGUNA HILLS,Total,Heptachlor,2.5,ng/L
LAKE FOREST,Total,Heptachlor,2.5,ng/L
LAGUNA BEACH,Total,Heptachlor,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Heptachlor,2.5,ng/L
DANA POINT,Total,Heptachlor,2.5,ng/L
SAN CLEMENTE,Total,Heptachlor,2.5,ng/L
MISSION VIEJO,Total,Heptachlor Epoxide,2.5,ng/L
LAGUNA WOODS,Total,Heptachlor Epoxide,2.5,ng/L
LAGUNA NIGUEL,Total,Heptachlor Epoxide,2.5,ng/L
ALISO VIEJO,Total,Heptachlor Epoxide,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Heptachlor Epoxide,2.5,ng/L
ORANGE CO,Total,Heptachlor Epoxide,2.5,ng/L
LAGUNA HILLS,Total,Heptachlor Epoxide,2.5,ng/L
LAKE FOREST,Total,Heptachlor Epoxide,2.5,ng/L
LAGUNA BEACH,Total,Heptachlor Epoxide,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Heptachlor Epoxide,2.5,ng/L
DANA POINT,Total,Heptachlor Epoxide,2.5,ng/L
SAN CLEMENTE,Total,Heptachlor Epoxide,2.5,ng/L
MISSION VIEJO,Total,"Indeno[1,2,3-cd]pyrene",2.5,ng/L
LAGUNA WOODS,Total,"Indeno[1,2,3-cd]pyrene",2.5,ng/L
LAGUNA NIGUEL,Total,"Indeno[1,2,3-cd]pyrene",3.283333333333333,ng/L
ALISO VIEJO,Total,"Indeno[1,2,3-cd]pyrene",3.283333333333333,ng/L
RANCHO SANTA MARGARITA,Total,"Indeno[1,2,3-cd]pyrene",2.5,ng/L
ORANGE CO,Total,"Indeno[1,2,3-cd]pyrene",2.5,ng/L
LAGUNA HILLS,Total,"Indeno[1,2,3-cd]pyrene",2.5,ng/L
LAKE FOREST,Total,"Indeno[1,2,3-cd]pyrene",2.5,ng/L
LAGUNA BEACH,Total,"Indeno[1,2,3-cd]pyrene",2.5,ng/L
SAN JUAN CAPISTRANO,Total,"Indeno[1,2,3-cd]pyrene",2.5,ng/L
DANA POINT,Total,"Indeno[1,2,3-cd]pyrene",2.5,ng/L
SAN CLEMENTE,Total,"Indeno[1,2,3-cd]pyrene",2.5,ng/L
MISSION VIEJO,Total,Malathion,2.5,ng/L
LAGUNA WOODS,Total,Malathion,2.5,ng/L
LAGUNA NIGUEL,Total,Malathion,2.5,ng/L
ALISO VIEJO,Total,Malathion,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Malathion,2.5,ng/L
ORANGE CO,Total,Malathion,2.5,ng/L
LAGUNA HILLS,Total,Malathion,2.5,ng/L
LAKE FOREST,Total,Malathion,2.5,ng/L
LAGUNA BEACH,Total,Malathion,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Malathion,2.5,ng/L
DANA POINT,Total,Malathion,2.5,ng/L
SAN CLEMENTE,Total,Malathion,2.5,ng/L
MISSION VIEJO,Total,Merphos,1,ng/L
LAGUNA WOODS,Total,Merphos,1,ng/L
LAGUNA NIGUEL,Total,Merphos,1,ng/L
ALISO VIEJO,Total,Merphos,1,ng/L
RANCHO SANTA MARGARITA,Total,Merphos,1,ng/L
ORANGE CO,Total,Merphos,1,ng/L
LAGUNA HILLS,Total,Merphos,1,ng/L
LAKE FOREST,Total,Merphos,1,ng/L
LAGUNA BEACH,Total,Merphos,1,ng/L
SAN JUAN CAPISTRANO,Total,Merphos,1,ng/L
DANA POINT,Total,Merphos,1,ng/L
SAN CLEMENTE,Total,Merphos,1,ng/L
MISSION VIEJO,Total,Methoxychlor,2.5,ng/L
LAGUNA WOODS,Total,Methoxychlor,2.5,ng/L
LAGUNA NIGUEL,Total,Methoxychlor,2.5,ng/L
ALISO VIEJO,Total,Methoxychlor,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Methoxychlor,2.5,ng/L
ORANGE CO,Total,Methoxychlor,2.5,ng/L
LAGUNA HILLS,Total,Methoxychlor,2.5,ng/L
LAKE FOREST,Total,Methoxychlor,2.5,ng/L
LAGUNA BEACH,Total,Methoxychlor,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Methoxychlor,2.5,ng/L
DANA POINT,Total,Methoxychlor,2.5,ng/L
SAN CLEMENTE,Total,Methoxychlor,2.5,ng/L
MISSION VIEJO,Total,Methyl Parathion,1,ng/L
LAGUNA WOODS,Total,Methyl Parathion,1,ng/L
LAGUNA NIGUEL,Total,Methyl Parathion,1,ng/L
ALISO VIEJO,Total,Methyl Parathion,1,ng/L
RANCHO SANTA MARGARITA,Total,Methyl Parathion,1,ng/L
ORANGE CO,Total,Methyl Parathion,1,ng/L
LAGUNA HILLS,Total,Methyl Parathion,1,ng/L
LAKE FOREST,Total,Methyl Parathion,1,ng/L
LAGUNA BEACH,Total,Methyl Parathion,1,ng/L
SAN JUAN CAPISTRANO,Total,Methyl Parathion,1,ng/L
DANA POINT,Total,Methyl Parathion,1,ng/L
SAN CLEMENTE,Total,Methyl Parathion,1,ng/L
MISSION VIEJO,Total,Mevinphos (Phosdrin),5,ng/L
LAGUNA WOODS,Total,Mevinphos (Phosdrin),5,ng/L
LAGUNA NIGUEL,Total,Mevinphos (Phosdrin),5,ng/L
ALISO VIEJO,Total,Mevinphos (Phosdrin),5,ng/L
RANCHO SANTA MARGARITA,Total,Mevinphos (Phosdrin),5,ng/L
ORANGE CO,Total,Mevinphos (Phosdrin),5,ng/L
LAGUNA HILLS,Total,Mevinphos (Phosdrin),5,ng/L
LAKE FOREST,Total,Mevinphos (Phosdrin),5,ng/L
LAGUNA BEACH,Total,Mevinphos (Phosdrin),5,ng/L
SAN JUAN CAPISTRANO,Total,Mevinphos (Phosdrin),5,ng/L
DANA POINT,Total,Mevinphos (Phosdrin),5,ng/L
SAN CLEMENTE,Total,Mevinphos (Phosdrin),5,ng/L
MISSION VIEJO,Total,Mirex,2.5,ng/L
LAGUNA WOODS,Total,Mirex,2.5,ng/L
LAGUNA NIGUEL,Total,Mirex,2.5,ng/L
ALISO VIEJO,Total,Mirex,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Mirex,2.5,ng/L
ORANGE CO,Total,Mirex,2.5,ng/L
LAGUNA HILLS,Total,Mirex,2.5,ng/L
LAKE FOREST,Total,Mirex,2.5,ng/L
LAGUNA BEACH,Total,Mirex,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Mirex,2.5,ng/L
DANA POINT,Total,Mirex,2.5,ng/L
SAN CLEMENTE,Total,Mirex,2.5,ng/L
LAGUNA WOODS,Total,Naphthalene,4.613333333333333,ng/L
LAGUNA NIGUEL,Total,Naphthalene,2.5,ng/L
ALISO VIEJO,Total,Naphthalene,3.27,ng/L
ORANGE CO,Total,Naphthalene,3.013333333333333,ng/L
SAN JUAN CAPISTRANO,Total,Naphthalene,7.074999999999999,ng/L
DANA POINT,Total,Naphthalene,4.656666666666667,ng/L
RANCHO SANTA MARGARITA,Total,Naphthalene,2.5,ng/L
SAN CLEMENTE,Total,Naphthalene,5.79,ng/L
MISSION VIEJO,Total,Naphthalene,2.5,ng/L
LAGUNA HILLS,Total,Naphthalene,2.5,ng/L
LAKE FOREST,Total,Naphthalene,2.5,ng/L
MISSION VIEJO,Total,Phenanthrene,2.5,ng/L
LAGUNA NIGUEL,Total,Phenanthrene,3.2414285714285715,ng/L
ALISO VIEJO,Total,Phenanthrene,8.68,ng/L
LAGUNA HILLS,Total,Phenanthrene,2.5,ng/L
LAGUNA WOODS,Total,Phenanthrene,2.5,ng/L
LAKE FOREST,Total,Phenanthrene,2.5,ng/L
DANA POINT,Total,Phenanthrene,4.23,ng/L
ORANGE CO,Total,Phenanthrene,5.914285714285714,ng/L
RANCHO SANTA MARGARITA,Total,Phenanthrene,14.45,ng/L
SAN CLEMENTE,Total,Phenanthrene,2.5,ng/L
LAGUNA BEACH,Total,Phenanthrene,6.43,ng/L
MISSION VIEJO,Total,Phorate,5,ng/L
LAGUNA WOODS,Total,Phorate,5,ng/L
LAGUNA NIGUEL,Total,Phorate,5,ng/L
ALISO VIEJO,Total,Phorate,5,ng/L
RANCHO SANTA MARGARITA,Total,Phorate,5,ng/L
ORANGE CO,Total,Phorate,5,ng/L
LAGUNA HILLS,Total,Phorate,5,ng/L
LAKE FOREST,Total,Phorate,5,ng/L
LAGUNA BEACH,Total,Phorate,5,ng/L
SAN JUAN CAPISTRANO,Total,Phorate,5,ng/L
DANA POINT,Total,Phorate,5,ng/L
SAN CLEMENTE,Total,Phorate,5,ng/L
MISSION VIEJO,Total,Pyrene,7.526666666666666,ng/L
LAGUNA NIGUEL,Total,Pyrene,4.25125,ng/L
ALISO VIEJO,Total,Pyrene,8.435714285714287,ng/L
LAGUNA HILLS,Total,Pyrene,2.5,ng/L
LAGUNA WOODS,Total,Pyrene,2.5,ng/L
LAKE FOREST,Total,Pyrene,2.5,ng/L
ORANGE CO,Total,Pyrene,3.182857142857143,ng/L
LAGUNA BEACH,Total,Pyrene,2.5,ng/L
DANA POINT,Total,Pyrene,3.912,ng/L
SAN JUAN CAPISTRANO,Total,Pyrene,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Pyrene,6.53,ng/L
SAN CLEMENTE,Total,Pyrene,2.5,ng/L
MISSION VIEJO,Total,Tetrachlorvinphos (Stirofos),2,ng/L
LAGUNA WOODS,Total,Tetrachlorvinphos (Stirofos),2,ng/L
LAGUNA NIGUEL,Total,Tetrachlorvinphos (Stirofos),2,ng/L
ALISO VIEJO,Total,Tetrachlorvinphos (Stirofos),2,ng/L
RANCHO SANTA MARGARITA,Total,Tetrachlorvinphos (Stirofos),2,ng/L
ORANGE CO,Total,Tetrachlorvinphos (Stirofos),2,ng/L
LAGUNA HILLS,Total,Tetrachlorvinphos (Stirofos),2,ng/L
LAKE FOREST,Total,Tetrachlorvinphos (Stirofos),2,ng/L
LAGUNA BEACH,Total,Tetrachlorvinphos (Stirofos),2,ng/L
SAN JUAN CAPISTRANO,Total,Tetrachlorvinphos (Stirofos),2,ng/L
DANA POINT,Total,Tetrachlorvinphos (Stirofos),2,ng/L
SAN CLEMENTE,Total,Tetrachlorvinphos (Stirofos),2,ng/L
MISSION VIEJO,Total,Tokuthion (Prothiofos),3,ng/L
LAGUNA WOODS,Total,Tokuthion (Prothiofos),3,ng/L
LAGUNA NIGUEL,Total,Tokuthion (Prothiofos),3,ng/L
ALISO VIEJO,Total,Tokuthion (Prothiofos),3,ng/L
RANCHO SANTA MARGARITA,Total,Tokuthion (Prothiofos),3,ng/L
ORANGE CO,Total,Tokuthion (Prothiofos),3,ng/L
LAGUNA HILLS,Total,Tokuthion (Prothiofos),3,ng/L
LAKE FOREST,Total,Tokuthion (Prothiofos),3,ng/L
LAGUNA BEACH,Total,Tokuthion (Prothiofos),3,ng/L
SAN JUAN CAPISTRANO,Total,Tokuthion (Prothiofos),3,ng/L
DANA POINT,Total,Tokuthion (Prothiofos),3,ng/L
SAN CLEMENTE,Total,Tokuthion (Prothiofos),3,ng/L
MISSION VIEJO,Total,Toxaphene,12.5,ng/L
LAGUNA WOODS,Total,Toxaphene,12.5,ng/L
LAGUNA NIGUEL,Total,Toxaphene,12.5,ng/L
ALISO VIEJO,Total,Toxaphene,12.5,ng/L
RANCHO SANTA MARGARITA,Total,Toxaphene,12.5,ng/L
ORANGE CO,Total,Toxaphene,12.5,ng/L
LAGUNA HILLS,Total,Toxaphene,12.5,ng/L
LAKE FOREST,Total,Toxaphene,12.5,ng/L
LAGUNA BEACH,Total,Toxaphene,12.5,ng/L
SAN JUAN CAPISTRANO,Total,Toxaphene,12.5,ng/L
DANA POINT,Total,Toxaphene,12.5,ng/L
SAN CLEMENTE,Total,Toxaphene,12.5,ng/L
MISSION VIEJO,Total,trans-Nonachlor,1,ng/L
LAGUNA WOODS,Total,trans-Nonachlor,1,ng/L
LAGUNA NIGUEL,Total,trans-Nonachlor,1,ng/L
ALISO VIEJO,Total,trans-Nonachlor,1,ng/L
RANCHO SANTA MARGARITA,Total,trans-Nonachlor,1,ng/L
ORANGE CO,Total,trans-Nonachlor,1,ng/L
LAGUNA HILLS,Total,trans-Nonachlor,1,ng/L
LAKE FOREST,Total,trans-Nonachlor,1,ng/L
LAGUNA BEACH,Total,trans-Nonachlor,1,ng/L
SAN JUAN CAPISTRANO,Total,trans-Nonachlor,1,ng/L
DANA POINT,Total,trans-Nonachlor,1,ng/L
SAN CLEMENTE,Total,trans-Nonachlor,1,ng/L
MISSION VIEJO,Total,Trichloronate,1,ng/L
LAGUNA WOODS,Total,Trichloronate,1,ng/L
LAGUNA NIGUEL,Total,Trichloronate,1,ng/L
ALISO VIEJO,Total,Trichloronate,1,ng/L
RANCHO SANTA MARGARITA,Total,Trichloronate,1,ng/L
ORANGE CO,Total,Trichloronate,1,ng/L
LAGUNA HILLS,Total,Trichloronate,1,ng/L
LAKE FOREST,Total,Trichloronate,1,ng/L
LAGUNA BEACH,Total,Trichloronate,1,ng/L
SAN JUAN CAPISTRANO,Total,Trichloronate,1,ng/L
DANA POINT,Total,Trichloronate,1,ng/L
SAN CLEMENTE,Total,Trichloronate,1,ng/L
MISSION VIEJO,Total,"Arsenic, Total",4.604166666666667,ug/L
LAGUNA WOODS,Total,"Arsenic, Total",6.1625000000000005,ug/L
MISSION VIEJO,Dissolved,"Arsenic, Total",4.604166666666667,ug/L
LAGUNA WOODS,Dissolved,"Arsenic, Total",6.1625000000000005,ug/L
LAGUNA NIGUEL,Total,"Arsenic, Total",2.9343749999999997,ug/L
ALISO VIEJO,Total,"Arsenic, Total",6.521875,ug/L
LAGUNA NIGUEL,Dissolved,"Arsenic, Total",2.9343749999999997,ug/L
ALISO VIEJO,Dissolved,"Arsenic, Total",6.521875,ug/L
RANCHO SANTA MARGARITA,Total,"Arsenic, Total",3.689285714285714,ug/L
RANCHO SANTA MARGARITA,Dissolved,"Arsenic, Total",3.689285714285714,ug/L
ORANGE CO,Total,"Arsenic, Total",3.8528571428571428,ug/L
ORANGE CO,Dissolved,"Arsenic, Total",3.8528571428571428,ug/L
LAGUNA HILLS,Total,"Arsenic, Total",6.1000000000000005,ug/L
LAKE FOREST,Total,"Arsenic, Total",5.6375,ug/L
LAGUNA HILLS,Dissolved,"Arsenic, Total",6.1000000000000005,ug/L
LAKE FOREST,Dissolved,"Arsenic, Total",5.6375,ug/L
LAGUNA BEACH,Total,"Arsenic, Total",1.37,ug/L
LAGUNA BEACH,Dissolved,"Arsenic, Total",1.37,ug/L
SAN JUAN CAPISTRANO,Total,"Arsenic, Total",1.989375,ug/L
DANA POINT,Total,"Arsenic, Total",2.04875,ug/L
SAN JUAN CAPISTRANO,Dissolved,"Arsenic, Total",1.989375,ug/L
DANA POINT,Dissolved,"Arsenic, Total",2.04875,ug/L
SAN CLEMENTE,Total,"Arsenic, Total",4.61875,ug/L
SAN CLEMENTE,Dissolved,"Arsenic, Total",4.61875,ug/L
MISSION VIEJO,Total,"Cadmium, Total",3.6374999999999997,ug/L
LAGUNA WOODS,Total,"Cadmium, Total",0.25,ug/L
MISSION VIEJO,Dissolved,"Cadmium, Total",3.6374999999999997,ug/L
LAGUNA WOODS,Dissolved,"Cadmium, Total",0.25,ug/L
LAGUNA NIGUEL,Total,"Cadmium, Total",1.1073529411764707,ug/L
ALISO VIEJO,Total,"Cadmium, Total",1.2241176470588235,ug/L
LAGUNA NIGUEL,Dissolved,"Cadmium, Total",1.1073529411764707,ug/L
ALISO VIEJO,Dissolved,"Cadmium, Total",1.2241176470588235,ug/L
RANCHO SANTA MARGARITA,Total,"Cadmium, Total",2.18,ug/L
RANCHO SANTA MARGARITA,Dissolved,"Cadmium, Total",2.18,ug/L
ORANGE CO,Total,"Cadmium, Total",3.5526666666666666,ug/L
ORANGE CO,Dissolved,"Cadmium, Total",3.5526666666666666,ug/L
LAGUNA HILLS,Total,"Cadmium, Total",0.42500000000000004,ug/L
LAKE FOREST,Total,"Cadmium, Total",0.2625,ug/L
LAGUNA HILLS,Dissolved,"Cadmium, Total",0.42500000000000004,ug/L
LAKE FOREST,Dissolved,"Cadmium, Total",0.2625,ug/L
LAGUNA BEACH,Total,"Cadmium, Total",0.1,ug/L
LAGUNA BEACH,Dissolved,"Cadmium, Total",0.1,ug/L
SAN JUAN CAPISTRANO,Total,"Cadmium, Total",0.1,ug/L
DANA POINT,Total,"Cadmium, Total",0.6304166666666666,ug/L
SAN JUAN CAPISTRANO,Dissolved,"Cadmium, Total",0.1,ug/L
DANA POINT,Dissolved,"Cadmium, Total",0.6304166666666666,ug/L
SAN CLEMENTE,Total,"Cadmium, Total",62.885,ug/L
SAN CLEMENTE,Dissolved,"Cadmium, Total",62.885,ug/L
MISSION VIEJO,Total,"Calcium, Total",313.1666666666667,ug/L
LAGUNA WOODS,Total,"Calcium, Total",204,ug/L
LAGUNA NIGUEL,Total,"Calcium, Total",232.375,ug/L
ALISO VIEJO,Total,"Calcium, Total",189.625,ug/L
RANCHO SANTA MARGARITA,Total,"Calcium, Total",162.37857142857143,ug/L
ORANGE CO,Total,"Calcium, Total",200.54642857142858,ug/L
