Station,date,Sample Type,Field Specific Conductivity,Date,Parameter,Units,Qualifier,Result
L02-246-1 (L11P01),8/25/2022,Total,2323,2022-08-25,d10-Acenaphthene,ng/L,NA,56
L02-641-1,8/25/2022,Total,1807,2022-08-25,d10-Acenaphthene,ng/L,NA,57
L02-641-2,8/25/2022,Total,2148,2022-08-25,d10-Acenaphthene,ng/L,NA,54
L01-731-1 (L08TBN2),8/25/2022,Total,2692,2022-08-25,d10-Acenaphthene,ng/L,NA,43
L02-166-3 (L02P26),8/25/2022,Total,2626,2022-08-25,d10-Acenaphthene,ng/L,NA,81
L05-489-3,9/6/2022,Total,3524,2022-09-06,d10-Acenaphthene,ng/L,NA,51
L05-049-1,9/6/2022,Total,2843,2022-09-06,d10-Acenaphthene,ng/L,NA,69
L02-374-1 (L02P50),9/6/2022,Total,3644,2022-09-06,d10-Acenaphthene,ng/L,NA,75
L05-503-1,9/6/2022,Total,4029.2,2022-09-06,d10-Acenaphthene,ng/L,NA,73
L01-749-2,9/6/2022,Total,8458,2022-09-06,d10-Acenaphthene,ng/L,NA,68
L01-724-4 (L01P03),9/6/2022,Total,5109,2022-09-06,d10-Acenaphthene,ng/L,NA,69
L01-724-1 (L01S01),9/6/2022,Total,6362,2022-09-06,d10-Acenaphthene,ng/L,NA,66
L01-726-5,9/7/2022,Total,1165,2022-09-07,d10-Acenaphthene,ng/L,NA,70
L01-728-5 (L01-DP),9/7/2022,Total,1327,2022-09-07,d10-Acenaphthene,ng/L,NA,79
K01-12126-1 (K01S01),9/7/2022,Total,5061,2022-09-07,d10-Acenaphthene,ng/L,NA,70
K01-12159-2,9/7/2022,Total,4869,2022-09-07,d10-Acenaphthene,ng/L,NA,80
K01-12159-3,9/7/2022,Total,3633,2022-09-07,d10-Acenaphthene,ng/L,NA,69
I01-11010-1,9/7/2022,Total,6067.7,2022-09-07,d10-Acenaphthene,ng/L,NA,77
J01-9131-1 (J01P28),9/8/2022,Total,2648,2022-09-08,d10-Acenaphthene,ng/L,NA,118
