Station,Sample Type,Parameter,Qualifier,ResultAvg,Units
L04-266-5,Total,d12-Chrysene,NA,83.5,ng/L
I01-11343-2 (I02P18),Total,d12-Chrysene,NA,92.5,ng/L
L03-418-8,Total,d12-Chrysene,NA,81.5,ng/L
K01-12177-1 (K01P07),Total,d12-Chrysene,NA,69,ng/L
J03-9221-1 (J03P02),Total,d12-Chrysene,NA,81.5,ng/L
J01-9224-1 (J01P24),Total,d12-Chrysene,NA,76,ng/L
J01-9224-2 (J01P25),Total,d12-Chrysene,NA,72.5,ng/L
L03-662-3 (L03P16),Total,d12-Chrysene,NA,86.5,ng/L
L03-214-2 (L03P18),Total,d12-Chrysene,NA,73.5,ng/L
L03-316-3 (L03P12),Total,d12-Chrysene,NA,83,ng/L
J01-9992-1 (J01P27),Total,d12-Chrysene,NA,92,ng/L
J01-9131-1 (J01P28),Total,d12-Chrysene,NA,101.5,ng/L
J01-9007-1 (J02P05),Total,d12-Chrysene,NA,90.5,ng/L
J06-10011-1 (J06P01),Total,d12-Chrysene,NA,100.5,ng/L
J06-9079-1 (J06P03),Total,d12-Chrysene,NA,80,ng/L
J01-9082-2,Total,d12-Chrysene,NA,97,ng/L
I01-11010-1,Total,d12-Chrysene,NA,98,ng/L
I00-11468-1,Total,d12-Chrysene,NA,89,ng/L
J01-10004-1 (J01P01),Total,d12-Chrysene,NA,67.5,ng/L
L01-749-2,Total,d12-Chrysene,NA,77.5,ng/L
L05-503-1,Total,d12-Chrysene,NA,84,ng/L
L01-724-4 (L01P03),Total,d12-Chrysene,NA,89,ng/L
L01-724-1 (L01S01),Total,d12-Chrysene,NA,107,ng/L
L01-728-5 (L01-DP),Total,d12-Chrysene,NA,121,ng/L
K01-12126-1 (K01S01),Total,d12-Chrysene,NA,70.5,ng/L
K01-12159-2,Total,d12-Chrysene,NA,88.5,ng/L
K01-12159-3,Total,d12-Chrysene,NA,103,ng/L
L05-489-3,Total,d12-Chrysene,NA,77,ng/L
L05-049-1,Total,d12-Chrysene,NA,86,ng/L
L02-374-1 (L02P50),Total,d12-Chrysene,NA,90.5,ng/L
L01-404-1,Total,d12-Chrysene,NA,78.5,ng/L
L01-340-1,Total,d12-Chrysene,NA,84.5,ng/L
L02-246-1 (L11P01),Total,d12-Chrysene,NA,87,ng/L
L02-641-1,Total,d12-Chrysene,NA,103,ng/L
L02-641-2,Total,d12-Chrysene,NA,95,ng/L
L01-731-1 (L08TBN2),Total,d12-Chrysene,NA,116,ng/L
L02-166-3 (L02P26),Total,d12-Chrysene,NA,115.5,ng/L
L04-672-1,Total,d12-Chrysene,NA,106,ng/L
M01-042-1 (M01S01),Total,d12-Chrysene,NA,72,ng/L
M02-032-1,Total,d12-Chrysene,NA,87.5,ng/L
SC1-2,Total,d12-Chrysene,NA,106,ng/L
M02-085-1 (M02P06),Total,d12-Chrysene,NA,84.5,ng/L
M02-085-2,Total,d12-Chrysene,NA,98.5,ng/L
L01-726-5,Total,d12-Chrysene,NA,93,ng/L
L04-266-5,Total,d8-Naphthalene,NA,60,ng/L
I01-11343-2 (I02P18),Total,d8-Naphthalene,NA,57,ng/L
L03-418-8,Total,d8-Naphthalene,NA,38.5,ng/L
K01-12177-1 (K01P07),Total,d8-Naphthalene,NA,58.5,ng/L
