FACILITYID,avgCnx
SC06-146-2 (M00P02),0.5
SC06-146-1 (M00P02),0.5
SC12-068-2,0.5
M00.2-066-1 (M00S07),0.5
SC07-079-5,0.5
M02-102-1,0.5
M02-061-4 (SCBS@M02),0.5
M02-061-5,0
M02-142-1,0.385
M01-060-3,0.5
M01-042-1 (M01S01),0.5
SC10-075-1 (M00P05),0.5
M02-086-1,0.385
M02-013-1,0.77
L01-749-3,0
L01-556-1,0.77
L01-748-1,0
L01-748-2,0.77
L01-618-5 (L01S09),0.25
L01-618-4,0
L01-618-3,0.77
L01-618-2,0.77
L01-618-1,0
L01-602-2,0
L01-766-7,0
L02-571-1,0.77
L02-571-3,0.5
L02-571-5 (L02TBN2),0.5
L02-541-2,0
L02-541-7,0
L02-541-6,0.5
L02-541-9 (L02P02),0.385
L01-766-5,0
L01-766-4,0
L01-766-3,0.25
L01-766-2 (L01S06),0
K01-12126-1 (K01S01),0.5
K01-12155-1,0.385
K01-12036-1,0.77
K01-12036-5,0.77
K01-12032-2 (K01P11),0.5
K01-12156-1,0.77
K01-12156-3,0.77
K01-12177-1 (K01P07),0.77
K01-12138-1 (K01TBN1),0.77
K01-12058-1 (K01P08),0.5
K01-12058-2 (K01P09),0.5
K01-12062-1,0.5
L01-728-2,0.25
L01-728-3 (L01S02),0.25
L01-728-7 (L01S03),0
L01-728-6,0
L01-727-2,0
L01-726-2,0
L01-726-3,0
L01-726-5,0.5
L01-726-6,0
L01-726-7,0
L01-726-8,0.25
L01-726-9,0
L01-601-1,0
L01-724-2,0.77
L01-724-1 (L01S01),0.5
L01-724-4 (L01P03),0.5
L01-517-1,0.77
L01-517-2,0.77
L01-514-1,0.77
L01-517-3,0.385
L01-458-1,0
SM01-086-1 (M03P01),0.77
SM01-086-2,0.77
M02-028-2 (M02P08),0
M02-015-1,0.385
M02-052-2,0.5
M02-052-3,0.59
M02-085-1 (M02P06),0.5
L01-223-1 (L08TBN1),0.77
L01-731-1 (L08TBN2),0.77
L01-125-1,0.77
L01-125-2,0.77
L01-125-3,0.77
L01-733-4,0
L02-359-1 (L02P43),0.77
L02-344-1,0.385
L02-622-1 (L02P28),0.77
L02-166-1 (L02PXX),0.77
L02-622-2 (L02P32),0.77
L02-198-1 (L02P29),0.25
L02-641-1,0.5
L02-166-3 (L02P26),0.77
L01-261-1,0.77
L03-455-2,0.5
L03-455-3 (L03P37),0
L03-455-4,0
