Station,Sample Type,Parameter,Qualifier,ResultAvg,Units,JURISDICTI3,Qadj_Qall,LoadQadj_Qall,LoadsPoundsQS,LoadsJurs
I01-11343-2 (I02P18),Total,d8-Naphthalene,NA,57,ng/L,LAGUNA WOODS,26583.60972323406,1515265.7542243416,9.459487228438736e-5,0.005356260023491695
L03-418-8,Total,d8-Naphthalene,NA,38.5,ng/L,LAGUNA NIGUEL,188453.84949148304,7255473.205422097,4.5294401943441777e-4,0.04433887982282886
L03-418-8,Total,d8-Naphthalene,NA,38.5,ng/L,MISSION VIEJO,1719639.2671055028,66206111.783561856,0.0041331091071993425,0.03242084854013772
K01-12177-1 (K01P07),Total,d8-Naphthalene,NA,58.5,ng/L,LAGUNA NIGUEL,1099058.44356,64294918.94826,0.004013797335213339,0.04433887982282886
J03-9221-1 (J03P02),Total,d8-Naphthalene,NA,66,ng/L,LAGUNA NIGUEL,2363508.1934956796,155991540.77071485,0.009738225677913584,0.04433887982282886
J01-9224-1 (J01P24),Total,d8-Naphthalene,NA,71.5,ng/L,ALISO VIEJO,2634.1015151823053,188338.25833553483,1.1757563611429814e-5,0.01320835995653609
J01-9224-1 (J01P24),Total,d8-Naphthalene,NA,71.5,ng/L,LAGUNA NIGUEL,158150.60433060143,11307768.209638003,7.059203223131744e-4,0.04433887982282886
J01-9224-2 (J01P25),Total,d8-Naphthalene,NA,55,ng/L,ALISO VIEJO,5993.861828325905,329662.40055792476,2.058013427070725e-5,0.01320835995653609
J01-9224-2 (J01P25),Total,d8-Naphthalene,NA,55,ng/L,LAGUNA NIGUEL,359869.5285508992,19792824.070299454,0.00123562461558814,0.04433887982282886
L03-662-3 (L03P16),Total,d8-Naphthalene,NA,65,ng/L,MISSION VIEJO,257898.81600000005,16763423.040000003,0.001046505444406145,0.03242084854013772
L03-214-2 (L03P18),Total,d8-Naphthalene,NA,53.5,ng/L,MISSION VIEJO,1863878.8123590364,99717516.46120845,0.006225156021554056,0.03242084854013772
L03-214-2 (L03P18),Total,d8-Naphthalene,NA,53.5,ng/L,RANCHO SANTA MARGARITA,88783.6516800166,4749925.364880888,2.965279073975271e-4,0.0640847344895101
L03-316-3 (L03P12),Total,d8-Naphthalene,NA,62,ng/L,MISSION VIEJO,893435.1835532822,55392981.380303495,0.003458067988742698,0.03242084854013772
J01-9992-1 (J01P27),Total,d8-Naphthalene,NA,54.5,ng/L,ALISO VIEJO,432180.7921682628,23553853.173170324,0.0014704177973465789,0.01320835995653609
J01-9992-1 (J01P27),Total,d8-Naphthalene,NA,54.5,ng/L,ORANGE CO,1267.6285979957179,69085.75859076662,4.312879435402344e-6,0.11466813911697563
J01-9131-1 (J01P28),Total,d8-Naphthalene,NA,31,ng/L,ALISO VIEJO,236560.03199999995,7333360.991999999,4.5780639107009287e-4,0.01320835995653609
J01-9007-1 (J02P05),Total,d8-Naphthalene,NA,74.5,ng/L,ALISO VIEJO,677326.4713948012,50460822.11891269,0.0031501636002769597,0.01320835995653609
J01-9007-1 (J02P05),Total,d8-Naphthalene,NA,74.5,ng/L,ORANGE CO,12455.793598780088,927956.6231091166,5.793039142060758e-5,0.11466813911697563
J06-10011-1 (J06P01),Total,d8-Naphthalene,NA,67.5,ng/L,ALISO VIEJO,486377.92818020063,32830510.152163543,0.0020495400930280617,0.01320835995653609
J06-10011-1 (J06P01),Total,d8-Naphthalene,NA,67.5,ng/L,LAGUNA HILLS,682198.5901776025,46048404.836988166,0.002874705616695238,0.002874705616695238
J06-10011-1 (J06P01),Total,d8-Naphthalene,NA,67.5,ng/L,LAGUNA WOODS,1248649.7842748633,84283860.43855327,0.005261665151207308,0.005356260023491695
J06-10011-1 (J06P01),Total,d8-Naphthalene,NA,67.5,ng/L,LAKE FOREST,751296.2870919254,50712499.378704965,0.0031658752852936397,0.009822714429672585
J06-9079-1 (J06P03),Total,d8-Naphthalene,NA,54.5,ng/L,ALISO VIEJO,751510.5920908037,40957327.2689488,0.00255688029067834,0.01320835995653609
J01-9082-2,Total,d8-Naphthalene,NA,56,ng/L,ALISO VIEJO,998641.6316034046,55923931.36979066,0.0034912140862539197,0.01320835995653609
J01-9082-2,Total,d8-Naphthalene,NA,56,ng/L,ORANGE CO,21969.628370704308,1230299.1887594413,7.680500552977863e-5,0.11466813911697563
