Station,Sample Type,Parameter,Qualifier,ResultAvg,Units,JURISDICTI3,Qadj_Qall,LoadQadj_Qall,LoadsPoundsQS,LoadsJurs
L05-049-1,Total,Benzo[b]fluoranthene,<,2.5,ng/L,ORANGE CO,6237821.599848001,15594553.999620004,9.735353945758297e-4,0.006286470683174188
L02-374-1 (L02P50),Total,Benzo[b]fluoranthene,<,2.5,ng/L,ORANGE CO,2819475.9723715195,7048689.930928798,4.400349720368186e-4,0.006286470683174188
L01-404-1,Total,Benzo[b]fluoranthene,<,2.5,ng/L,ORANGE CO,765057.1882060798,1912642.9705151995,1.1940230089482355e-4,0.006286470683174188
L02-246-1 (L11P01),Total,Benzo[b]fluoranthene,<,2.5,ng/L,RANCHO SANTA MARGARITA,1257301.4399999997,3143253.599999999,1.9622674901779568e-4,0.0027424778934990054
L02-641-1,Total,Benzo[b]fluoranthene,<,2.5,ng/L,ORANGE CO,4986.284926966567,12465.712317416417,7.782083514475943e-7,0.006286470683174188
L02-641-1,Total,Benzo[b]fluoranthene,<,2.5,ng/L,RANCHO SANTA MARGARITA,843182.469984656,2107956.17496164,1.3159529580582057e-4,0.0027424778934990054
L02-641-2,Total,Benzo[b]fluoranthene,<,2.5,ng/L,ORANGE CO,20483.18968395988,51207.9742098997,3.196806742858974e-6,0.006286470683174188
L02-641-2,Total,Benzo[b]fluoranthene,<,2.5,ng/L,RANCHO SANTA MARGARITA,3463714.3131314125,8659285.782828532,5.40581102963013e-4,0.0027424778934990054
L01-731-1 (L08TBN2),Total,Benzo[b]fluoranthene,<,2.5,ng/L,ORANGE CO,723305.629006651,1808264.0725166276,1.1288614457185938e-4,0.006286470683174188
L01-731-1 (L08TBN2),Total,Benzo[b]fluoranthene,<,2.5,ng/L,RANCHO SANTA MARGARITA,11606237.02728475,29015592.568211876,0.0018113827660883393,0.0027424778934990054
L02-166-3 (L02P26),Total,Benzo[b]fluoranthene,<,2.5,ng/L,ORANGE CO,1759.6301883248925,4399.075470812231,2.746250822146241e-7,0.006286470683174188
L02-166-3 (L02P26),Total,Benzo[b]fluoranthene,<,2.5,ng/L,RANCHO SANTA MARGARITA,311594.45914611226,778986.1478652806,4.8630476180954646e-5,0.0027424778934990054
L04-672-1,Total,Benzo[b]fluoranthene,<,2.5,ng/L,MISSION VIEJO,665335.962144,1663339.90536,1.0383883188437638e-4,0.001467089738903576
M01-042-1 (M01S01),Total,Benzo[b]fluoranthene,<,2.5,ng/L,SAN CLEMENTE,9329.904,23324.760000000002,1.4561159896294467e-6,6.930111645838744e-4
M02-032-1,Total,Benzo[b]fluoranthene,<,2.5,ng/L,SAN CLEMENTE,3628866.1607999997,9072165.401999999,5.663563141663732e-4,6.930111645838744e-4
M02-085-1 (M02P06),Total,Benzo[b]fluoranthene,<,2.5,ng/L,ORANGE CO,174.54166027466977,436.3541506866744,2.7240677115479157e-8,0.006286470683174188
M02-085-1 (M02P06),Total,Benzo[b]fluoranthene,<,2.5,ng/L,SAN CLEMENTE,251732.86631957273,629332.1657989318,3.9287891039734365e-5,6.930111645838744e-4
M02-085-2,Total,Benzo[b]fluoranthene,<,2.5,ng/L,SAN CLEMENTE,550464.336,1376160.84,8.591084338813736e-5,6.930111645838744e-4
J01-10004-1 (J01P01),Total,Benzo[b]fluoranthene,<,2.5,ng/L,LAKE FOREST,2050623.5094314318,5126558.77357858,3.2004034347975696e-4,4.372949836758177e-4
J01-9224-1 (J01P24),Total,Benzo[b]fluoranthene,<,4.895,ng/L,ALISO VIEJO,2634.1015151823053,12893.926916817383,8.049408933978873e-7,7.640013980155421e-4
J01-9224-1 (J01P24),Total,Benzo[b]fluoranthene,<,4.895,ng/L,LAGUNA NIGUEL,158150.60433060143,774147.2081982939,4.8328391296825e-5,0.0018275227078668437
L01-340-1,Total,Benzo[b]fluoranthene,<,2.5,ng/L,ORANGE CO,106950.06735932868,267375.1683983217,1.6691672623197933e-5,0.006286470683174188
L01-340-1,Total,Benzo[b]fluoranthene,<,2.5,ng/L,RANCHO SANTA MARGARITA,1313.8942256581051,3284.7355641452627,2.0505917216967796e-7,0.0027424778934990054
L01-724-4 (L01P03),Total,Benzo[b]fluoranthene,<,2.5,ng/L,LAGUNA NIGUEL,468158.31861034513,1170395.7965258628,7.306536202372077e-5,0.0018275227078668437
L01-724-4 (L01P03),Total,Benzo[b]fluoranthene,<,2.5,ng/L,SAN JUAN CAPISTRANO,1145681.827242111,2864204.5681052776,1.7880630150911726e-4,4.071514591260899e-4
L01-726-5,Total,Benzo[b]fluoranthene,<,2.5,ng/L,DANA POINT,111410.6356577293,278526.58914432325,1.7387832500312998e-5,7.124540249634554e-4
L01-726-5,Total,Benzo[b]fluoranthene,<,2.5,ng/L,SAN JUAN CAPISTRANO,7448.763165562618,18621.907913906547,1.1625267685861057e-6,4.071514591260899e-4
J01-9131-1 (J01P28),Total,Benzo[b]fluoranthene,NA,8.1,ng/L,ALISO VIEJO,236560.03199999995,1916136.2591999995,1.1962037960218554e-4,7.640013980155421e-4
L04-266-5,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,MISSION VIEJO,4000029.057504,10000072.64376,6.242836228126228e-4,0.001467089738903576
I01-11343-2 (I02P18),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,LAGUNA WOODS,26583.60972323406,66459.02430808515,4.148897907209971e-6,1.9902538498896212e-4
L03-418-8,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,LAGUNA NIGUEL,188453.84949148304,471134.6237287076,2.9411949313923234e-5,0.001839370321667904
L03-418-8,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,MISSION VIEJO,1719639.2671055028,4299098.167763757,2.6838370825969755e-4,0.001467089738903576
K01-12177-1 (K01P07),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,LAGUNA NIGUEL,1099058.44356,2747646.1089000003,1.715298006501427e-4,0.001839370321667904
J03-9221-1 (J03P02),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,LAGUNA NIGUEL,2363508.1934956796,5908770.483739199,3.6887218476945393e-4,0.001839370321667904
J01-9224-1 (J01P24),Total,"Benzo[g,h,i]perylene",NA,5.495,ng/L,ALISO VIEJO,2634.1015151823053,14474.387825926768,9.036057628644313e-7,5.249579685501041e-4
J01-9224-1 (J01P24),Total,"Benzo[g,h,i]perylene",NA,5.495,ng/L,LAGUNA NIGUEL,158150.60433060143,869037.5707966549,5.425219819735515e-5,0.001839370321667904
J01-9224-2 (J01P25),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,ALISO VIEJO,5993.861828325905,14984.654570814762,9.354606486685115e-7,5.249579685501041e-4
J01-9224-2 (J01P25),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,LAGUNA NIGUEL,359869.5285508992,899673.8213772479,5.616475525400636e-5,0.001839370321667904
L03-662-3 (L03P16),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,MISSION VIEJO,257898.81600000005,644747.0400000002,4.025020940023634e-5,0.001467089738903576
L03-214-2 (L03P18),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,MISSION VIEJO,1863878.8123590364,4659697.030897591,2.908951411941147e-4,0.001467089738903576
L03-214-2 (L03P18),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,RANCHO SANTA MARGARITA,88783.6516800166,221959.1292000415,1.3856444270912482e-5,0.0027424778934990054
L03-316-3 (L03P12),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,MISSION VIEJO,893435.1835532822,2233587.9588832054,1.3943822535252814e-4,0.001467089738903576
J01-9992-1 (J01P27),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,ALISO VIEJO,432180.7921682628,1080451.980420657,6.745035767644857e-5,5.249579685501041e-4
J01-9992-1 (J01P27),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,ORANGE CO,1267.6285979957179,3169.0714949892945,1.978385062111167e-7,0.006286470683174188
J01-9007-1 (J02P05),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,ALISO VIEJO,677326.4713948012,1693316.1784870028,1.0571018792875703e-4,5.249579685501041e-4
J01-9007-1 (J02P05),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,ORANGE CO,12455.793598780088,31139.48399695022,1.9439728664633414e-6,0.006286470683174188
J06-10011-1 (J06P01),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,ALISO VIEJO,486377.92818020063,1215944.8204505015,7.590889233437264e-5,5.249579685501041e-4
J06-10011-1 (J06P01),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,LAGUNA HILLS,682198.5901776025,1705496.4754440063,1.0647057839611994e-4,1.0647057839611994e-4
J06-10011-1 (J06P01),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,LAGUNA WOODS,1248649.7842748633,3121624.460687158,1.9487648708175215e-4,1.9902538498896212e-4
J06-10011-1 (J06P01),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,LAKE FOREST,751296.2870919254,1878240.7177298134,1.1725464019606071e-4,4.372949836758177e-4
J06-9079-1 (J06P03),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,ALISO VIEJO,751510.5920908037,1878776.4802270092,1.1728808672836419e-4,5.249579685501041e-4
J01-9082-2,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,ALISO VIEJO,998641.6316034046,2496604.0790085117,1.558577717077643e-4,5.249579685501041e-4
J01-9082-2,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,ORANGE CO,21969.628370704308,54924.07092676077,3.42879488972226e-6,0.006286470683174188
I01-11010-1,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,LAGUNA BEACH,202915.75420800003,507289.38552000007,3.1669015485045454e-5,6.487968970686123e-5
I00-11468-1,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,LAGUNA BEACH,212793.76400754126,531984.4100188531,3.321067422181577e-5,6.487968970686123e-5
I00-11468-1,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,ORANGE CO,19089.643866775274,47724.10966693818,2.9793163649640095e-6,0.006286470683174188
L05-503-1,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,SAN JUAN CAPISTRANO,1199564.4170879999,2998911.04272,1.872157450186372e-4,4.071514591260899e-4
L01-724-4 (L01P03),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,LAGUNA NIGUEL,468158.31861034513,1170395.7965258628,7.306536202372077e-5,0.001839370321667904
L01-724-4 (L01P03),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,SAN JUAN CAPISTRANO,1145681.827242111,2864204.5681052776,1.7880630150911726e-4,4.071514591260899e-4
L01-724-1 (L01S01),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,DANA POINT,245138.73214270748,612846.8303567687,3.825874602251924e-5,7.124540249634554e-4
L01-724-1 (L01S01),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,LAGUNA NIGUEL,174089.35162087894,435223.3790521973,2.7170085407029362e-5,0.001839370321667904
L01-724-1 (L01S01),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,SAN JUAN CAPISTRANO,256083.45119911397,640208.6279977849,3.9966885829749366e-5,4.071514591260899e-4
L01-728-5 (L01-DP),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,DANA POINT,0,0,0,7.124540249634554e-4
K01-12126-1 (K01S01),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,DANA POINT,2401759.02142806,6004397.5535701495,3.7484198276189877e-4,7.124540249634554e-4
K01-12126-1 (K01S01),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,LAGUNA NIGUEL,6437196.487691939,16092991.219229847,0.0010046517878549174,0.001839370321667904
K01-12159-2,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,DANA POINT,1673540.3519999993,4183850.879999998,2.61189061091871e-4,7.124540249634554e-4
K01-12159-3,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,DANA POINT,133122.52800000002,332806.32000000007,2.0776402586853386e-5,7.124540249634554e-4
L05-049-1,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,ORANGE CO,6237821.599848001,15594553.999620004,9.735353945758297e-4,0.006286470683174188
L02-374-1 (L02P50),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,ORANGE CO,2819475.9723715195,7048689.930928798,4.400349720368186e-4,0.006286470683174188
L01-404-1,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,ORANGE CO,765057.1882060798,1912642.9705151995,1.1940230089482355e-4,0.006286470683174188
L02-246-1 (L11P01),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,RANCHO SANTA MARGARITA,1257301.4399999997,3143253.599999999,1.9622674901779568e-4,0.0027424778934990054
L02-641-1,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,ORANGE CO,4986.284926966567,12465.712317416417,7.782083514475943e-7,0.006286470683174188
L02-641-1,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,RANCHO SANTA MARGARITA,843182.469984656,2107956.17496164,1.3159529580582057e-4,0.0027424778934990054
L02-641-2,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,ORANGE CO,20483.18968395988,51207.9742098997,3.196806742858974e-6,0.006286470683174188
L02-641-2,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,RANCHO SANTA MARGARITA,3463714.3131314125,8659285.782828532,5.40581102963013e-4,0.0027424778934990054
L01-731-1 (L08TBN2),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,ORANGE CO,723305.629006651,1808264.0725166276,1.1288614457185938e-4,0.006286470683174188
L01-731-1 (L08TBN2),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,RANCHO SANTA MARGARITA,11606237.02728475,29015592.568211876,0.0018113827660883393,0.0027424778934990054
L02-166-3 (L02P26),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,ORANGE CO,1759.6301883248925,4399.075470812231,2.746250822146241e-7,0.006286470683174188
L02-166-3 (L02P26),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,RANCHO SANTA MARGARITA,311594.45914611226,778986.1478652806,4.8630476180954646e-5,0.0027424778934990054
L04-672-1,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,MISSION VIEJO,665335.962144,1663339.90536,1.0383883188437638e-4,0.001467089738903576
M01-042-1 (M01S01),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,SAN CLEMENTE,9329.904,23324.760000000002,1.4561159896294467e-6,6.930111645838744e-4
M02-032-1,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,SAN CLEMENTE,3628866.1607999997,9072165.401999999,5.663563141663732e-4,6.930111645838744e-4
M02-085-1 (M02P06),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,ORANGE CO,174.54166027466977,436.3541506866744,2.7240677115479157e-8,0.006286470683174188
M02-085-1 (M02P06),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,SAN CLEMENTE,251732.86631957273,629332.1657989318,3.9287891039734365e-5,6.930111645838744e-4
J01-10004-1 (J01P01),Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,LAKE FOREST,2050623.5094314318,5126558.77357858,3.2004034347975696e-4,4.372949836758177e-4
J01-9224-1 (J01P24),Total,"Benzo[g,h,i]perylene",<,5.495,ng/L,ALISO VIEJO,2634.1015151823053,14474.387825926768,9.036057628644313e-7,5.249579685501041e-4
J01-9224-1 (J01P24),Total,"Benzo[g,h,i]perylene",<,5.495,ng/L,LAGUNA NIGUEL,158150.60433060143,869037.5707966549,5.425219819735515e-5,0.001839370321667904
L01-340-1,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,ORANGE CO,106950.06735932868,267375.1683983217,1.6691672623197933e-5,0.006286470683174188
L01-340-1,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,RANCHO SANTA MARGARITA,1313.8942256581051,3284.7355641452627,2.0505917216967796e-7,0.0027424778934990054
L05-489-3,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,ORANGE CO,29545076.777328,73862691.94332,0.004611093394990661,0.006286470683174188
L01-726-5,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,DANA POINT,111410.6356577293,278526.58914432325,1.7387832500312998e-5,7.124540249634554e-4
L01-726-5,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,SAN JUAN CAPISTRANO,7448.763165562618,18621.907913906547,1.1625267685861057e-6,4.071514591260899e-4
M02-085-2,Total,"Benzo[g,h,i]perylene",<,2.5,ng/L,SAN CLEMENTE,550464.336,1376160.84,8.591084338813736e-5,6.930111645838744e-4
L04-266-5,Total,Benzo[k]fluoranthene,<,2.5,ng/L,MISSION VIEJO,4000029.057504,10000072.64376,6.242836228126228e-4,0.001467089738903576
I01-11343-2 (I02P18),Total,Benzo[k]fluoranthene,<,2.5,ng/L,LAGUNA WOODS,26583.60972323406,66459.02430808515,4.148897907209971e-6,1.9902538498896212e-4
L03-418-8,Total,Benzo[k]fluoranthene,<,2.5,ng/L,LAGUNA NIGUEL,188453.84949148304,471134.6237287076,2.9411949313923234e-5,0.0018162674747558365
L03-418-8,Total,Benzo[k]fluoranthene,<,2.5,ng/L,MISSION VIEJO,1719639.2671055028,4299098.167763757,2.6838370825969755e-4,0.001467089738903576
K01-12177-1 (K01P07),Total,Benzo[k]fluoranthene,<,2.5,ng/L,LAGUNA NIGUEL,1099058.44356,2747646.1089000003,1.715298006501427e-4,0.0018162674747558365
J03-9221-1 (J03P02),Total,Benzo[k]fluoranthene,<,2.5,ng/L,LAGUNA NIGUEL,2363508.1934956796,5908770.483739199,3.6887218476945393e-4,0.0018162674747558365
J01-9224-1 (J01P24),Total,Benzo[k]fluoranthene,NA,4.325,ng/L,ALISO VIEJO,2634.1015151823053,11392.48905316347,7.112092674046705e-7,5.614930458067727e-4
J01-9224-1 (J01P24),Total,Benzo[k]fluoranthene,NA,4.325,ng/L,LAGUNA NIGUEL,158150.60433060143,684001.3637298512,4.2700774741321384e-5,0.0018162674747558365
J01-9224-2 (J01P25),Total,Benzo[k]fluoranthene,<,2.5,ng/L,ALISO VIEJO,5993.861828325905,14984.654570814762,9.354606486685115e-7,5.614930458067727e-4
J01-9224-2 (J01P25),Total,Benzo[k]fluoranthene,<,2.5,ng/L,LAGUNA NIGUEL,359869.5285508992,899673.8213772479,5.616475525400636e-5,0.0018162674747558365
L03-662-3 (L03P16),Total,Benzo[k]fluoranthene,<,2.5,ng/L,MISSION VIEJO,257898.81600000005,644747.0400000002,4.025020940023634e-5,0.001467089738903576
L03-214-2 (L03P18),Total,Benzo[k]fluoranthene,<,2.5,ng/L,MISSION VIEJO,1863878.8123590364,4659697.030897591,2.908951411941147e-4,0.001467089738903576
L03-214-2 (L03P18),Total,Benzo[k]fluoranthene,<,2.5,ng/L,RANCHO SANTA MARGARITA,88783.6516800166,221959.1292000415,1.3856444270912482e-5,0.0027424778934990054
L03-316-3 (L03P12),Total,Benzo[k]fluoranthene,<,2.5,ng/L,MISSION VIEJO,893435.1835532822,2233587.9588832054,1.3943822535252814e-4,0.001467089738903576
J01-9992-1 (J01P27),Total,Benzo[k]fluoranthene,<,2.5,ng/L,ALISO VIEJO,432180.7921682628,1080451.980420657,6.745035767644857e-5,5.614930458067727e-4
J01-9992-1 (J01P27),Total,Benzo[k]fluoranthene,<,2.5,ng/L,ORANGE CO,1267.6285979957179,3169.0714949892945,1.978385062111167e-7,0.006286470683174188
J01-9131-1 (J01P28),Total,Benzo[k]fluoranthene,<,2.5,ng/L,ALISO VIEJO,236560.03199999995,591400.0799999998,3.691987024758813e-5,5.614930458067727e-4
J01-9007-1 (J02P05),Total,Benzo[k]fluoranthene,<,2.5,ng/L,ALISO VIEJO,677326.4713948012,1693316.1784870028,1.0571018792875703e-4,5.614930458067727e-4
J01-9007-1 (J02P05),Total,Benzo[k]fluoranthene,<,2.5,ng/L,ORANGE CO,12455.793598780088,31139.48399695022,1.9439728664633414e-6,0.006286470683174188
J06-10011-1 (J06P01),Total,Benzo[k]fluoranthene,<,2.5,ng/L,ALISO VIEJO,486377.92818020063,1215944.8204505015,7.590889233437264e-5,5.614930458067727e-4
J06-10011-1 (J06P01),Total,Benzo[k]fluoranthene,<,2.5,ng/L,LAGUNA HILLS,682198.5901776025,1705496.4754440063,1.0647057839611994e-4,1.0647057839611994e-4
J06-10011-1 (J06P01),Total,Benzo[k]fluoranthene,<,2.5,ng/L,LAGUNA WOODS,1248649.7842748633,3121624.460687158,1.9487648708175215e-4,1.9902538498896212e-4
J06-10011-1 (J06P01),Total,Benzo[k]fluoranthene,<,2.5,ng/L,LAKE FOREST,751296.2870919254,1878240.7177298134,1.1725464019606071e-4,4.372949836758177e-4
J06-9079-1 (J06P03),Total,Benzo[k]fluoranthene,<,2.5,ng/L,ALISO VIEJO,751510.5920908037,1878776.4802270092,1.1728808672836419e-4,5.614930458067727e-4
J01-9082-2,Total,Benzo[k]fluoranthene,<,2.5,ng/L,ALISO VIEJO,998641.6316034046,2496604.0790085117,1.558577717077643e-4,5.614930458067727e-4
J01-9082-2,Total,Benzo[k]fluoranthene,<,2.5,ng/L,ORANGE CO,21969.628370704308,54924.07092676077,3.42879488972226e-6,0.006286470683174188
I01-11010-1,Total,Benzo[k]fluoranthene,<,2.5,ng/L,LAGUNA BEACH,202915.75420800003,507289.38552000007,3.1669015485045454e-5,6.487968970686123e-5
I00-11468-1,Total,Benzo[k]fluoranthene,<,2.5,ng/L,LAGUNA BEACH,212793.76400754126,531984.4100188531,3.321067422181577e-5,6.487968970686123e-5
I00-11468-1,Total,Benzo[k]fluoranthene,<,2.5,ng/L,ORANGE CO,19089.643866775274,47724.10966693818,2.9793163649640095e-6,0.006286470683174188
L05-503-1,Total,Benzo[k]fluoranthene,<,2.5,ng/L,SAN JUAN CAPISTRANO,1199564.4170879999,2998911.04272,1.872157450186372e-4,4.071514591260899e-4
L01-724-4 (L01P03),Total,Benzo[k]fluoranthene,<,2.5,ng/L,LAGUNA NIGUEL,468158.31861034513,1170395.7965258628,7.306536202372077e-5,0.0018162674747558365
L01-724-4 (L01P03),Total,Benzo[k]fluoranthene,<,2.5,ng/L,SAN JUAN CAPISTRANO,1145681.827242111,2864204.5681052776,1.7880630150911726e-4,4.071514591260899e-4
L01-724-1 (L01S01),Total,Benzo[k]fluoranthene,<,2.5,ng/L,DANA POINT,245138.73214270748,612846.8303567687,3.825874602251924e-5,7.124540249634554e-4
L01-724-1 (L01S01),Total,Benzo[k]fluoranthene,<,2.5,ng/L,LAGUNA NIGUEL,174089.35162087894,435223.3790521973,2.7170085407029362e-5,0.0018162674747558365
L01-724-1 (L01S01),Total,Benzo[k]fluoranthene,<,2.5,ng/L,SAN JUAN CAPISTRANO,256083.45119911397,640208.6279977849,3.9966885829749366e-5,4.071514591260899e-4
L01-728-5 (L01-DP),Total,Benzo[k]fluoranthene,<,2.5,ng/L,DANA POINT,0,0,0,7.124540249634554e-4
K01-12126-1 (K01S01),Total,Benzo[k]fluoranthene,<,2.5,ng/L,DANA POINT,2401759.02142806,6004397.5535701495,3.7484198276189877e-4,7.124540249634554e-4
K01-12126-1 (K01S01),Total,Benzo[k]fluoranthene,<,2.5,ng/L,LAGUNA NIGUEL,6437196.487691939,16092991.219229847,0.0010046517878549174,0.0018162674747558365
K01-12159-2,Total,Benzo[k]fluoranthene,<,2.5,ng/L,DANA POINT,1673540.3519999993,4183850.879999998,2.61189061091871e-4,7.124540249634554e-4
K01-12159-3,Total,Benzo[k]fluoranthene,<,2.5,ng/L,DANA POINT,133122.52800000002,332806.32000000007,2.0776402586853386e-5,7.124540249634554e-4
L05-489-3,Total,Benzo[k]fluoranthene,<,2.5,ng/L,ORANGE CO,29545076.777328,73862691.94332,0.004611093394990661,0.006286470683174188
L05-049-1,Total,Benzo[k]fluoranthene,<,2.5,ng/L,ORANGE CO,6237821.599848001,15594553.999620004,9.735353945758297e-4,0.006286470683174188
L02-374-1 (L02P50),Total,Benzo[k]fluoranthene,<,2.5,ng/L,ORANGE CO,2819475.9723715195,7048689.930928798,4.400349720368186e-4,0.006286470683174188
L01-404-1,Total,Benzo[k]fluoranthene,<,2.5,ng/L,ORANGE CO,765057.1882060798,1912642.9705151995,1.1940230089482355e-4,0.006286470683174188
L01-340-1,Total,Benzo[k]fluoranthene,<,2.5,ng/L,ORANGE CO,106950.06735932868,267375.1683983217,1.6691672623197933e-5,0.006286470683174188
L01-340-1,Total,Benzo[k]fluoranthene,<,2.5,ng/L,RANCHO SANTA MARGARITA,1313.8942256581051,3284.7355641452627,2.0505917216967796e-7,0.0027424778934990054
L02-246-1 (L11P01),Total,Benzo[k]fluoranthene,<,2.5,ng/L,RANCHO SANTA MARGARITA,1257301.4399999997,3143253.599999999,1.9622674901779568e-4,0.0027424778934990054
L02-641-1,Total,Benzo[k]fluoranthene,<,2.5,ng/L,ORANGE CO,4986.284926966567,12465.712317416417,7.782083514475943e-7,0.006286470683174188
L02-641-1,Total,Benzo[k]fluoranthene,<,2.5,ng/L,RANCHO SANTA MARGARITA,843182.469984656,2107956.17496164,1.3159529580582057e-4,0.0027424778934990054
L02-641-2,Total,Benzo[k]fluoranthene,<,2.5,ng/L,ORANGE CO,20483.18968395988,51207.9742098997,3.196806742858974e-6,0.006286470683174188
L02-641-2,Total,Benzo[k]fluoranthene,<,2.5,ng/L,RANCHO SANTA MARGARITA,3463714.3131314125,8659285.782828532,5.40581102963013e-4,0.0027424778934990054
L01-731-1 (L08TBN2),Total,Benzo[k]fluoranthene,<,2.5,ng/L,ORANGE CO,723305.629006651,1808264.0725166276,1.1288614457185938e-4,0.006286470683174188
L01-731-1 (L08TBN2),Total,Benzo[k]fluoranthene,<,2.5,ng/L,RANCHO SANTA MARGARITA,11606237.02728475,29015592.568211876,0.0018113827660883393,0.0027424778934990054
L02-166-3 (L02P26),Total,Benzo[k]fluoranthene,<,2.5,ng/L,ORANGE CO,1759.6301883248925,4399.075470812231,2.746250822146241e-7,0.006286470683174188
L02-166-3 (L02P26),Total,Benzo[k]fluoranthene,<,2.5,ng/L,RANCHO SANTA MARGARITA,311594.45914611226,778986.1478652806,4.8630476180954646e-5,0.0027424778934990054
L04-672-1,Total,Benzo[k]fluoranthene,<,2.5,ng/L,MISSION VIEJO,665335.962144,1663339.90536,1.0383883188437638e-4,0.001467089738903576
M01-042-1 (M01S01),Total,Benzo[k]fluoranthene,<,2.5,ng/L,SAN CLEMENTE,9329.904,23324.760000000002,1.4561159896294467e-6,6.930111645838744e-4
M02-032-1,Total,Benzo[k]fluoranthene,<,2.5,ng/L,SAN CLEMENTE,3628866.1607999997,9072165.401999999,5.663563141663732e-4,6.930111645838744e-4
M02-085-1 (M02P06),Total,Benzo[k]fluoranthene,<,2.5,ng/L,ORANGE CO,174.54166027466977,436.3541506866744,2.7240677115479157e-8,0.006286470683174188
M02-085-1 (M02P06),Total,Benzo[k]fluoranthene,<,2.5,ng/L,SAN CLEMENTE,251732.86631957273,629332.1657989318,3.9287891039734365e-5,6.930111645838744e-4
M02-085-2,Total,Benzo[k]fluoranthene,<,2.5,ng/L,SAN CLEMENTE,550464.336,1376160.84,8.591084338813736e-5,6.930111645838744e-4
J01-10004-1 (J01P01),Total,Benzo[k]fluoranthene,<,2.5,ng/L,LAKE FOREST,2050623.5094314318,5126558.77357858,3.2004034347975696e-4,4.372949836758177e-4
J01-9224-1 (J01P24),Total,Benzo[k]fluoranthene,<,4.325,ng/L,ALISO VIEJO,2634.1015151823053,11392.48905316347,7.112092674046705e-7,5.614930458067727e-4
J01-9224-1 (J01P24),Total,Benzo[k]fluoranthene,<,4.325,ng/L,LAGUNA NIGUEL,158150.60433060143,684001.3637298512,4.2700774741321384e-5,0.0018162674747558365
