JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
LAGUNA BEACH,Total,Phosphorus as PO4,10.51975968,47.51942006,58.03917974
LAGUNA BEACH,Total,TSS,41.83133316,187.7310422,229.5623754
LAGUNA BEACH,Total,Enterococcus,41899755569,1.86E+11,2.28E+11
LAGUNA BEACH,Total,Fecal coliforms,2.46E+11,1.09E+12,1.34E+12
LAGUNA HILLS,Total,"Cadmium, Total",0.018951763,0.788011801,0.81
LAGUNA HILLS,Dissolved,"Cadmium, Total",0.017248234,0.788011801,0.81
LAGUNA HILLS,Total,"Chromium, Total",0.017461175,0.750928893,0.77
LAGUNA HILLS,Dissolved,"Chromium, Total",0.017035293,0.750928893,0.77
LAGUNA HILLS,Total,"Copper, Total",0.215070568,7.555642561,7.8
LAGUNA HILLS,Dissolved,"Copper, Total",0.132023517,7.555642561,7.69
LAGUNA HILLS,Total,"Iron, Total",1.490588098,27.81218121,29
LAGUNA HILLS,Dissolved,"Iron, Total",0.425882314,27.81218121,28
LAGUNA HILLS,Total,"Lead, Total",0.004258823,0.185414541,0.19
LAGUNA HILLS,Dissolved,"Lead, Total",0.004258823,0.185414541,0.19
LAGUNA HILLS,Total,"Manganese, Total",13.20235172,579.4204418,593
LAGUNA HILLS,Dissolved,"Manganese, Total",13.41529288,579.4204418,593
LAGUNA HILLS,Total,MBAS,2.214588031,96.41556151,98.63
LAGUNA HILLS,Total,"Nickel, Total",0.178870572,7.787410738,8.0
LAGUNA HILLS,Dissolved,"Nickel, Total",0.178870572,7.787410738,8.0
LAGUNA HILLS,Total,"Silver, Total",0.004258823,0.185414541,0.19
LAGUNA HILLS,Dissolved,"Silver, Total",0.004258823,0.185414541,0.19
LAGUNA HILLS,Total,"Zinc, Total",0.681411702,14.36962696,15
LAGUNA HILLS,Dissolved,"Zinc, Total",0.63882347,14.36962696,15
LAGUNA HILLS,Total,Nitrate + Nitrite as N,63.88234704,2781.218121,2845.100468
LAGUNA HILLS,Total,"Nitrogen, Total Kjeldahl",24.70117419,1075.40434,1100.105514
LAGUNA HILLS,Total,Phosphorus as PO4,12.13764594,528.4314429,540.5690888
LAGUNA HILLS,Total,TSS,93.69410899,2039.559955,2133.254064
LAGUNA HILLS,Total,Enterococcus,3.41E+11,1.48E+13,1.52E+13
LAGUNA HILLS,Total,Fecal coliforms,3.48E+11,1.51E+13,1.55E+13
LAGUNA NIGUEL,Total,"Cadmium, Total",1.593923549,6.357443449,7.95
LAGUNA NIGUEL,Dissolved,"Cadmium, Total",1.054613058,6.357443449,7.41
LAGUNA NIGUEL,Total,"Chromium, Total",0.39274655,2.096755989,2.5
LAGUNA NIGUEL,Dissolved,"Chromium, Total",0.306882957,2.096755989,2.40
LAGUNA NIGUEL,Total,"Copper, Total",4.881184871,29.40528666,34
LAGUNA NIGUEL,Dissolved,"Copper, Total",3.223635988,29.40528666,32.63
LAGUNA NIGUEL,Total,"Iron, Total",130.5817149,389.0911967,520
LAGUNA NIGUEL,Dissolved,"Iron, Total",27.39760734,389.0911967,416
LAGUNA NIGUEL,Total,"Lead, Total",0.074072413,0.672048471,0.75
LAGUNA NIGUEL,Dissolved,"Lead, Total",0.070221938,0.672048471,0.74
LAGUNA NIGUEL,Total,"Manganese, Total",231.3099853,906.8095233,1138
LAGUNA NIGUEL,Dissolved,"Manganese, Total",204.7039731,906.8095233,1112
LAGUNA NIGUEL,Total,MBAS,39.88347953,270.4066385,310.29
LAGUNA NIGUEL,Total,"Nickel, Total",14.40785919,68.39106329,83
LAGUNA NIGUEL,Dissolved,"Nickel, Total",14.21050324,68.39106329,83
LAGUNA NIGUEL,Total,"Silver, Total",0.070221938,0.574111759,0.64
LAGUNA NIGUEL,Dissolved,"Silver, Total",0.070221938,0.574111759,0.64
LAGUNA NIGUEL,Total,"Zinc, Total",9.796682116,66.69827788,76
LAGUNA NIGUEL,Dissolved,"Zinc, Total",9.71749766,66.69827788,76
LAGUNA NIGUEL,Total,Nitrate + Nitrite as N,1632.461628,14657.79085,16290.25248
LAGUNA NIGUEL,Total,"Nitrogen, Total Kjeldahl",944.4693839,7128.554341,8073.023725
LAGUNA NIGUEL,Total,Phosphorus as PO4,624.4094343,5733.941193,6358.350627
LAGUNA NIGUEL,Total,TSS,2832.819847,22820.94242,25653.76227
LAGUNA NIGUEL,Total,Enterococcus,1.31E+13,1.62E+14,1.75E+14
LAGUNA NIGUEL,Total,Fecal coliforms,8.43E+12,8.02E+13,8.86E+13
LAGUNA WOODS,Total,"Cadmium, Total",0.034853971,0,0.03
LAGUNA WOODS,Dissolved,"Cadmium, Total",0.032067859,0,0.03
LAGUNA WOODS,Total,"Chromium, Total",0.032557185,0,0.03
LAGUNA WOODS,Dissolved,"Chromium, Total",0.031678106,0,0.03
LAGUNA WOODS,Total,"Copper, Total",0.40476955,0,0.40
LAGUNA WOODS,Dissolved,"Copper, Total",0.254093538,0,0.25
LAGUNA WOODS,Total,"Iron, Total",6.71121281,0,6.7
LAGUNA WOODS,Dissolved,"Iron, Total",1.634178917,0,1.6
LAGUNA WOODS,Total,"Lead, Total",0.00835931,0,0.01
LAGUNA WOODS,Dissolved,"Lead, Total",0.008342714,0,0.01
LAGUNA WOODS,Total,"Manganese, Total",25.78275458,0,26
LAGUNA WOODS,Dissolved,"Manganese, Total",25.79080895,0,26
LAGUNA WOODS,Total,MBAS,4.285769214,0,4.29
LAGUNA WOODS,Total,"Nickel, Total",0.338760479,0,0.34
LAGUNA WOODS,Dissolved,"Nickel, Total",0.337681765,0,0.34
LAGUNA WOODS,Total,"Silver, Total",0.007961015,0,0.01
LAGUNA WOODS,Dissolved,"Silver, Total",0.007961015,0,0.01
LAGUNA WOODS,Total,"Zinc, Total",1.292847394,0,1.3
LAGUNA WOODS,Dissolved,"Zinc, Total",1.199960767,0,1.20
LAGUNA WOODS,Total,Nitrate + Nitrite as N,138.4171834,0,138.4171834
LAGUNA WOODS,Total,"Nitrogen, Total Kjeldahl",50.52193432,0,50.52193432
LAGUNA WOODS,Total,Phosphorus as PO4,34.99452508,0,34.99452508
LAGUNA WOODS,Total,TSS,204.6824919,0,204.6824919
LAGUNA WOODS,Total,Enterococcus,9.78E+11,0,9.78E+11
LAGUNA WOODS,Total,Fecal coliforms,1.36E+12,0,1.36E+12
LAKE FOREST,Total,"Cadmium, Total",0.03367294,0.160457941,0.19
LAKE FOREST,Dissolved,"Cadmium, Total",0.031796865,0.160457941,0.19
LAKE FOREST,Total,"Chromium, Total",0.088358475,0.209053774,0.30
LAKE FOREST,Dissolved,"Chromium, Total",0.064846552,0.209053774,0.27
LAKE FOREST,Total,"Copper, Total",0.787323764,2.185284337,3.0
LAKE FOREST,Dissolved,"Copper, Total",0.382225608,2.185284337,2.57
LAKE FOREST,Total,"Iron, Total",30.70122815,34.47553471,65
LAKE FOREST,Dissolved,"Iron, Total",1.749179935,34.47553471,36
LAKE FOREST,Total,"Lead, Total",0.077659384,0.106360692,0.18
LAKE FOREST,Dissolved,"Lead, Total",0.017491799,0.106360692,0.12
LAKE FOREST,Total,"Manganese, Total",23.62872114,111.0216133,135
LAKE FOREST,Dissolved,"Manganese, Total",18.67857686,111.0216133,130
LAKE FOREST,Total,MBAS,5.639299951,23.53383132,29.17
LAKE FOREST,Total,"Nickel, Total",0.63864347,1.815466988,2.5
LAKE FOREST,Dissolved,"Nickel, Total",0.581036208,1.815466988,2.4
LAKE FOREST,Total,"Silver, Total",0.017491799,0.061126835,0.08
LAKE FOREST,Dissolved,"Silver, Total",0.017491799,0.061126835,0.08
LAKE FOREST,Total,"Zinc, Total",3.310752445,4.890146768,8.2
LAKE FOREST,Dissolved,"Zinc, Total",1.343608528,4.890146768,6.23
