Station,Sample Type,Parameter,Qualifier,ResultAvg,Units,JURISDICTI3,Qadj_Qall,LoadQadj_Qall,LoadsPoundsQS
L03-662-3 (L03P16),Total,PCB112,NA,72,ng/L,MISSION VIEJO,257898.81600000005,18568714.752000004,0.0011592060307268066
L03-214-2 (L03P18),Total,PCB112,NA,92,ng/L,MISSION VIEJO,1863878.8123590364,171476850.73703134,0.010704941195943422
L03-214-2 (L03P18),Total,PCB112,NA,92,ng/L,RANCHO SANTA MARGARITA,88783.6516800166,8168095.954561527,5.099171491695794e-4
L03-316-3 (L03P12),Total,PCB112,NA,73.5,ng/L,MISSION VIEJO,893435.1835532822,65667485.99116624,0.004099483825364328
J01-9992-1 (J01P27),Total,PCB112,NA,96.5,ng/L,ALISO VIEJO,432180.7921682628,41705446.44423736,0.0026035838063109148
J01-9992-1 (J01P27),Total,PCB112,NA,96.5,ng/L,ORANGE CO,1267.6285979957179,122326.15970658678,7.636566339749106e-6
J01-9131-1 (J01P28),Total,PCB112,NA,82.5,ng/L,ALISO VIEJO,236560.03199999995,19516202.639999997,0.0012183557181704083
J01-9007-1 (J02P05),Total,PCB112,NA,99,ng/L,ALISO VIEJO,677326.4713948012,67055320.668085314,0.004186123441978779
J01-9007-1 (J02P05),Total,PCB112,NA,99,ng/L,ORANGE CO,12455.793598780088,1233123.5662792288,7.698132551194833e-5
J06-10011-1 (J06P01),Total,PCB112,NA,89,ng/L,ALISO VIEJO,486377.92818020063,43287635.60803786,0.002702356567103667
J06-10011-1 (J06P01),Total,PCB112,NA,89,ng/L,LAGUNA HILLS,682198.5901776025,60715674.52580662,0.0037903525909018703
J06-10011-1 (J06P01),Total,PCB112,NA,89,ng/L,LAGUNA WOODS,1248649.7842748633,111129830.80046284,0.006937602940110378
J06-10011-1 (J06P01),Total,PCB112,NA,89,ng/L,LAKE FOREST,751296.2870919254,66865369.55118136,0.004174265190979762
J06-9079-1 (J06P03),Total,PCB112,NA,86.5,ng/L,ALISO VIEJO,751510.5920908037,65005666.21585452,0.004058167800801401
J01-9082-2,Total,PCB112,NA,92.5,ng/L,ALISO VIEJO,998641.6316034046,92374350.92331493,0.005766737553187278
J01-9082-2,Total,PCB112,NA,92.5,ng/L,ORANGE CO,21969.628370704308,2032190.6242901485,1.268654109197236e-4
I01-11010-1,Total,PCB112,NA,81.5,ng/L,LAGUNA BEACH,202915.75420800003,16537633.967952002,0.0010324099048124819
I00-11468-1,Total,PCB112,NA,94,ng/L,LAGUNA BEACH,212793.76400754126,20002613.816708878,0.0012487213507402731
I00-11468-1,Total,PCB112,NA,94,ng/L,ORANGE CO,19089.643866775274,1794426.5234768756,1.1202229532264677e-4
J01-10004-1 (J01P01),Total,PCB112,NA,77,ng/L,LAKE FOREST,2050623.5094314318,157898010.22622025,0.009857242579176513
L01-749-2,Total,PCB112,NA,94.5,ng/L,NA,NA,NA,NA
L05-503-1,Total,PCB112,NA,81,ng/L,SAN JUAN CAPISTRANO,1199564.4170879999,97164717.784128,0.006065790138603845
L01-724-4 (L01P03),Total,PCB112,NA,89,ng/L,LAGUNA NIGUEL,468158.31861034513,41666090.35632072,0.0026011268880444596
L01-724-4 (L01P03),Total,PCB112,NA,89,ng/L,SAN JUAN CAPISTRANO,1145681.827242111,101965682.62454788,0.006365504333724575
L01-724-1 (L01S01),Total,PCB112,NA,52,ng/L,DANA POINT,245138.73214270748,12747214.071420789,7.957819172684002e-4
L01-724-1 (L01S01),Total,PCB112,NA,52,ng/L,LAGUNA NIGUEL,174089.35162087894,9052646.284285706,5.651377764662107e-4
L01-724-1 (L01S01),Total,PCB112,NA,52,ng/L,SAN JUAN CAPISTRANO,256083.45119911397,13316339.462353926,8.313112252587868e-4
L01-728-5 (L01-DP),Total,PCB112,NA,85,ng/L,DANA POINT,0,0,0
K01-12126-1 (K01S01),Total,PCB112,NA,84,ng/L,DANA POINT,2401759.02142806,201747757.79995704,0.012594690620799799
K01-12126-1 (K01S01),Total,PCB112,NA,84,ng/L,LAGUNA NIGUEL,6437196.487691939,540724504.9661229,0.033756300071925226
K01-12159-2,Total,PCB112,NA,60,ng/L,DANA POINT,1673540.3519999993,100412421.11999996,0.006268537466204904
K01-12159-3,Total,PCB112,NA,95,ng/L,DANA POINT,133122.52800000002,12646640.160000002,7.895032983004287e-4
L05-489-3,Total,PCB112,NA,41.5,ng/L,ORANGE CO,29545076.777328,1226120686.259112,0.07654415035684496
L05-049-1,Total,PCB112,NA,66.5,ng/L,ORANGE CO,6237821.599848001,414815136.3898921,0.02589604149571707
