FacilityID,JURISDICTI3,Qadj_Qall,avgCnx,DischargeJ_cf,DischargeJ_af,JURISDICTI,AnnualCF,QJur_US,QJur_S
K01-12177-1 (K01P07),LAGUNA NIGUEL,1099058.44356,0.77,103212442.91903976,2369.431655625339,LAGUNA NIGUEL,1427348.628,NA,11248484.777351826
L01-340-1,ORANGE CO,106950.06735932868,0.77,54406355.72231314,1248.9980652505315,ORANGE CO,138896.1913757515,NA,4565554.392303243
L01-340-1,RANCHO SANTA MARGARITA,1313.8942256581051,0.77,26145050.573031798,600.2077725673049,ORANGE CO,1706.3561372183183,NA,17572127.255452607
L01-404-1,ORANGE CO,765057.1882060798,0.77,54406355.72231314,1248.9980652505315,ORANGE CO,993580.7639039997,NA,4565554.392303243
L01-724-1 (L01S01),DANA POINT,245138.73214270748,0.5,13188470.493113145,302.7656219722944,SAN JUAN CAPISTRANO,490277.46428541496,NA,4564971.269228496
L01-724-1 (L01S01),LAGUNA NIGUEL,174089.35162087894,0.5,103212442.91903976,2369.431655625339,SAN JUAN CAPISTRANO,348178.7032417579,NA,11248484.777351826
L01-724-1 (L01S01),SAN JUAN CAPISTRANO,256083.45119911397,0.5,8842496.99493502,202.9957987817957,SAN JUAN CAPISTRANO,512166.90239822795,NA,6230027.361350789
L01-724-4 (L01P03),LAGUNA NIGUEL,468158.31861034513,1,103212442.91903976,2369.431655625339,SAN JUAN CAPISTRANO,468158.31861034513,NA,11248484.777351826
L01-724-4 (L01P03),SAN JUAN CAPISTRANO,1145681.827242111,1,8842496.99493502,202.9957987817957,SAN JUAN CAPISTRANO,1145681.827242111,NA,6230027.361350789
L01-726-5,DANA POINT,111410.6356577293,1,13188470.493113145,302.7656219722944,DANA POINT,111410.6356577293,NA,4564971.269228496
L01-726-5,SAN JUAN CAPISTRANO,7448.763165562618,1,8842496.99493502,202.9957987817957,DANA POINT,7448.763165562618,NA,6230027.361350789
L01-728-5 (L01-DP),DANA POINT,0,0,13188470.493113145,302.7656219722944,DANA POINT,152140.032,NA,4564971.269228496
L01-731-1 (L08TBN2),ORANGE CO,723305.629006651,0.77,54406355.72231314,1248.9980652505315,RANCHO SANTA MARGARITA,939357.9597488974,NA,4565554.392303243
L01-731-1 (L08TBN2),RANCHO SANTA MARGARITA,11606237.02728475,0.77,26145050.573031798,600.2077725673049,RANCHO SANTA MARGARITA,15073035.100369805,NA,17572127.255452607
L02-166-3 (L02P26),ORANGE CO,1759.6301883248925,0.77,54406355.72231314,1248.9980652505315,RANCHO SANTA MARGARITA,2285.2340108115486,NA,4565554.392303243
L02-166-3 (L02P26),RANCHO SANTA MARGARITA,311594.45914611226,0.77,26145050.573031798,600.2077725673049,RANCHO SANTA MARGARITA,404668.12876118475,NA,17572127.255452607
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,1257301.4399999997,1,26145050.573031798,600.2077725673049,RANCHO SANTA MARGARITA,1257301.4399999997,NA,17572127.255452607
L02-641-2,ORANGE CO,20483.18968395988,1,54406355.72231314,1248.9980652505315,RANCHO SANTA MARGARITA,20483.18968395988,NA,4565554.392303243
L02-641-2,RANCHO SANTA MARGARITA,3463714.3131314125,1,26145050.573031798,600.2077725673049,RANCHO SANTA MARGARITA,3463714.3131314125,NA,17572127.255452607
L03-214-2 (L03P18),MISSION VIEJO,1863878.8123590364,1,29837016.65099346,684.9636513083898,MISSION VIEJO,1863878.8123590364,NA,9401475.728929143
L03-214-2 (L03P18),RANCHO SANTA MARGARITA,88783.6516800166,1,26145050.573031798,600.2077725673049,MISSION VIEJO,88783.6516800166,NA,17572127.255452607
L03-316-3 (L03P12),MISSION VIEJO,893435.1835532822,1,29837016.65099346,684.9636513083898,MISSION VIEJO,893435.1835532822,NA,9401475.728929143
L03-418-8,LAGUNA NIGUEL,188453.84949148304,1,103212442.91903976,2369.431655625339,LAGUNA NIGUEL,188453.84949148304,NA,11248484.777351826
L03-418-8,MISSION VIEJO,1719639.2671055028,1,29837016.65099346,684.9636513083898,LAGUNA NIGUEL,1719639.2671055028,NA,9401475.728929143
L04-672-1,MISSION VIEJO,665335.962144,0.5,29837016.65099346,684.9636513083898,MISSION VIEJO,1330671.924288,NA,9401475.728929143
L05-049-1,ORANGE CO,6237821.599848001,1,54406355.72231314,1248.9980652505315,ORANGE CO,6237821.599848001,NA,NA
L05-503-1,SAN JUAN CAPISTRANO,1199564.4170879999,1,8842496.99493502,202.9957987817957,SAN JUAN CAPISTRANO,1199564.4170879999,NA,6230027.361350789
M01-042-1 (M01S01),SAN CLEMENTE,9329.904,0.5,19982422.455257487,458.73329787092484,SAN CLEMENTE,18659.808,NA,7732503.146447999
M01-047-1,SAN CLEMENTE,7723173.242447999,1,19982422.455257487,458.73329787092484,SAN CLEMENTE,7723173.242447999,NA,7732503.146447999
M02-032-1,SAN CLEMENTE,3628866.1607999997,1,19982422.455257487,458.73329787092484,SAN CLEMENTE,3628866.1607999997,NA,NA
M02-085-1 (M02P06),ORANGE CO,174.54166027466977,1,54406355.72231314,1248.9980652505315,SAN CLEMENTE,174.54166027466977,NA,NA
M02-085-1 (M02P06),SAN CLEMENTE,251732.86631957273,1,19982422.455257487,458.73329787092484,SAN CLEMENTE,251732.86631957273,NA,NA
M02-085-2,SAN CLEMENTE,550464.336,1,19982422.455257487,458.73329787092484,SAN CLEMENTE,550464.336,NA,NA
J01-9273-1,LAGUNA HILLS,0,0,30382783.63122218,697.4927371722264,LAGUNA WOODS,0,NA,682198.5901776025
J01-9273-1,LAGUNA WOODS,0,0,1275233.3939980974,29.27533044072767,LAGUNA WOODS,0,NA,1275233.3939980974
I00-11437-1,LAGUNA BEACH,884404.4774386247,0.385,3197852.585558988,73.41259379152865,LAGUNA BEACH,2297154.4868535707,NA,1318374.2613546064
I00-11437-1,ORANGE CO,32344.310602542966,0.385,54406355.72231314,1248.9980652505315,LAGUNA BEACH,84011.19637024147,NA,4565554.392303243
L01-766-9,SAN JUAN CAPISTRANO,3621248.902656001,0.77,8842496.99493502,202.9957987817957,SAN JUAN CAPISTRANO,4702920.652800001,NA,6230027.361350789
I01-11487-1,ALISO VIEJO,0,0.25,116347522.37064542,2670.9715879395185,LAGUNA BEACH,0,112756296.95986444,NA
I01-11487-1,LAGUNA BEACH,0,0.25,3197852.585558988,73.41259379152865,LAGUNA BEACH,0,1879478.3242043818,NA
I01-11487-1,LAGUNA WOODS,0,0.25,1275233.3939980974,29.27533044072767,LAGUNA BEACH,0,0,NA
I01-11487-1,ORANGE CO,0,0.25,54406355.72231314,1248.9980652505315,LAGUNA BEACH,0,49840801.3300099,NA
I01-11503-3,ALISO VIEJO,0,0.5,116347522.37064542,2670.9715879395185,ALISO VIEJO,0,NA,NA
J01-10006-1,LAKE FOREST,0,0.5,13086268.751089767,300.4193928165695,LAKE FOREST,0,9791587.735475397,NA
J05-9255-1 (J05P01),LAGUNA HILLS,0,0,30382783.63122218,697.4927371722264,LAGUNA HILLS,0,29700585.041044578,NA
J05-9271-6,LAGUNA HILLS,0,0,30382783.63122218,697.4927371722264,LAGUNA HILLS,0,29700585.041044578,NA
L01-335-2,ORANGE CO,0,0.5,54406355.72231314,1248.9980652505315,ORANGE CO,0,49840801.3300099,NA
L01-391-1,ORANGE CO,0,1,54406355.72231314,1248.9980652505315,ORANGE CO,0,49840801.3300099,NA
L01-726-2,DANA POINT,0,0,13188470.493113145,302.7656219722944,DANA POINT,0,8623499.22388465,NA
L02-344-1,ORANGE CO,0,0.385,54406355.72231314,1248.9980652505315,ORANGE CO,0,49840801.3300099,NA
L02-344-1,RANCHO SANTA MARGARITA,0,0.385,26145050.573031798,600.2077725673049,ORANGE CO,0,8572923.317579193,NA
L02-401-1,MISSION VIEJO,0,1,29837016.65099346,684.9636513083898,ORANGE CO,0,20435540.922064316,NA
L02-401-1,ORANGE CO,0,1,54406355.72231314,1248.9980652505315,ORANGE CO,0,49840801.3300099,NA
L02-571-5 (L02TBN2),LAGUNA NIGUEL,0,1,103212442.91903976,2369.431655625339,SAN JUAN CAPISTRANO,0,91963958.14168793,NA
L02-571-5 (L02TBN2),SAN JUAN CAPISTRANO,0,1,8842496.99493502,202.9957987817957,SAN JUAN CAPISTRANO,0,2612469.6335842325,NA
M01-008-1,SAN CLEMENTE,0,1,19982422.455257487,458.73329787092484,SAN CLEMENTE,0,NA,NA
L01-748-2,SAN JUAN CAPISTRANO,0,0.77,8842496.99493502,202.9957987817957,SAN JUAN CAPISTRANO,0,2612469.6335842325,NA
DP01-12022-1,DANA POINT,148336.53119999997,1,13188470.493113145,302.7656219722944,DANA POINT,148336.53119999997,8623499.22388465,NA
DP04-12015-1,LAGUNA BEACH,0,0,3197852.585558988,73.41259379152865,LAGUNA BEACH,182340.7321242127,1879478.3242043818,NA
DP04-12015-1,LAGUNA NIGUEL,0,0,103212442.91903976,2369.431655625339,LAGUNA BEACH,93843.44088142921,91963958.14168793,NA
