JURISDICTI3,Sample Type,Parameter,Units,LoadsPoundsQUns,LoadQUns_j
LAGUNA WOODS,Total,MBAS,mg/L,0,0
LAGUNA WOODS,Total,"Mercury, Total",ug/L,0,0
LAGUNA WOODS,Dissolved,"Mercury, Total",ug/L,0,0
LAGUNA WOODS,Total,"Nickel, Total",ug/L,0,0
LAGUNA WOODS,Dissolved,"Nickel, Total",ug/L,0,0
LAGUNA WOODS,Total,"Selenium, Total",ug/L,0,0
LAGUNA WOODS,Dissolved,"Selenium, Total",ug/L,0,0
LAGUNA WOODS,Total,"Silver, Total",ug/L,0,0
LAGUNA WOODS,Dissolved,"Silver, Total",ug/L,0,0
LAGUNA WOODS,Total,"Thallium, Total",ug/L,0,0
LAGUNA WOODS,Dissolved,"Thallium, Total",ug/L,0,0
LAGUNA WOODS,Total,Total Organic Carbon (TOC),mg/L,0,0
LAGUNA WOODS,Total,"Zinc, Total",ug/L,0,0
LAGUNA WOODS,Dissolved,"Zinc, Total",ug/L,0,0
LAGUNA WOODS,Total,"Ammonia, as Nitrogen",mg/L,0,0
LAGUNA WOODS,Total,Nitrate + Nitrite as N,mg/L,0,0
LAGUNA WOODS,Total,"Nitrogen, Total Kjeldahl",mg/L,0,0
LAGUNA WOODS,Total,Orthophosphate as P,mg/L,0,0
LAGUNA WOODS,Total,pH,NA,NA,NA
LAGUNA WOODS,Total,Phosphorus as PO4,mg/L,0,0
LAGUNA WOODS,Total,Sulfate,mg/L,0,0
LAGUNA WOODS,Total,Total Dissolved Solids,mg/L,0,0
LAGUNA WOODS,Total,VSS,mg/L,0,0
LAGUNA WOODS,Total,TSS,mg/L,0,0
LAGUNA WOODS,Total,E. coli,CFU/100 mL,0,0
LAGUNA WOODS,Total,Enterococcus,CFU/100 mL,0,0
LAGUNA WOODS,Total,Fecal coliforms,CFU/100 mL,0,0
LAGUNA WOODS,Total,Total Coliforms,CFU/100 mL,0,0
ORANGE CO,Total,d10-Acenaphthene,ng/L,0.23580399114037404,0.23580399114037404
ORANGE CO,Total,d10-Phenanthrene,ng/L,0.2873652785527838,0.2873652785527838
ORANGE CO,Total,d12-Chrysene,ng/L,0.2886987601237944,0.2886987601237944
ORANGE CO,Total,d8-Naphthalene,ng/L,0.17457496233813735,0.17457496233813735
ORANGE CO,Total,PCB030,ng/L,0.22158018771626092,0.22158018771626092
ORANGE CO,Total,PCB112,ng/L,0.2666963142021195,0.2666963142021195
ORANGE CO,Total,PCB198,ng/L,0.30025560040588617,0.30025560040588617
ORANGE CO,Total,TCMX,ng/L,0.17090788801785828,0.17090788801785828
ORANGE CO,Total,"2,4'-DDD",ng/L,0.003111456999024728,0.003111456999024728
ORANGE CO,Total,"2,4'-DDE",ng/L,0.003111456999024728,0.003111456999024728
ORANGE CO,Total,"2,4'-DDT",ng/L,0.003111456999024728,0.003111456999024728
ORANGE CO,Total,"4,4'-DDD",ng/L,0.003111456999024728,0.003111456999024728
ORANGE CO,Total,"4,4'-DDE",ng/L,0.003111456999024728,0.003111456999024728
ORANGE CO,Total,"4,4'-DDT",ng/L,0.003111456999024728,0.003111456999024728
ORANGE CO,Total,Acenaphthene,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,Acenaphthylene,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,Aldrin,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,Anthracene,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,Benz[a]anthracene,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,Benzo[a]pyrene,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,Benzo[b]fluoranthene,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,"Benzo[g,h,i]perylene",ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,Benzo[k]fluoranthene,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,BHC-alpha,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,BHC-beta,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,BHC-delta,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,BHC-gamma,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,Bolstar (Sulprofos),ng/L,0.006222913998049456,0.006222913998049456
ORANGE CO,Total,Chlordane-alpha,ng/L,0.003111456999024728,0.003111456999024728
ORANGE CO,Total,Chlordane-gamma,ng/L,0.003111456999024728,0.003111456999024728
ORANGE CO,Total,Chlorpyrifos,ng/L,0.001555728499512364,0.001555728499512364
ORANGE CO,Total,Chrysene,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,Demeton,ng/L,0.003111456999024728,0.003111456999024728
ORANGE CO,Total,Diazinon,ng/L,0.001555728499512364,0.001555728499512364
ORANGE CO,Total,"Dibenz[a,h]anthracene",ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,Dichlorvos,ng/L,0.009334370997074183,0.009334370997074183
ORANGE CO,Total,Dieldrin,ng/L,0.003111456999024728,0.003111456999024728
ORANGE CO,Total,Dimethoate,ng/L,0.015557284995123639,0.015557284995123639
ORANGE CO,Total,Disulfoton,ng/L,0.003111456999024728,0.003111456999024728
ORANGE CO,Total,Endosulfan-I,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,Endosulfan-II,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,Endosulfan Sulfate,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,Endrin,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,Endrin Aldehyde,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,Ethoprop (Ethoprofos),ng/L,0.003111456999024728,0.003111456999024728
ORANGE CO,Total,Fenchlorphos (Ronnel),ng/L,0.006222913998049456,0.006222913998049456
ORANGE CO,Total,Fensulfothion,ng/L,0.010973071683227207,0.010973071683227207
ORANGE CO,Total,Fenthion,ng/L,0.006222913998049456,0.006222913998049456
ORANGE CO,Total,Fluoranthene,ng/L,0.008572064032313125,0.008572064032313125
ORANGE CO,Total,Fluorene,ng/L,0.009541801463675831,0.009541801463675831
ORANGE CO,Total,Heptachlor,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,Heptachlor Epoxide,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,"Indeno[1,2,3-cd]pyrene",ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,Malathion,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,Merphos,ng/L,0.003111456999024728,0.003111456999024728
ORANGE CO,Total,Methoxychlor,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,Methyl Parathion,ng/L,0.003111456999024728,0.003111456999024728
ORANGE CO,Total,Mevinphos (Phosdrin),ng/L,0.015557284995123639,0.015557284995123639
ORANGE CO,Total,Mirex,ng/L,0.0077786424975618195,0.0077786424975618195
ORANGE CO,Total,Naphthalene,ng/L,0.009375857090394511,0.009375857090394511
ORANGE CO,Total,Phenanthrene,ng/L,0.01840204567994624,0.01840204567994624
ORANGE CO,Total,Phorate,ng/L,0.015557284995123639,0.015557284995123639
ORANGE CO,Total,Pyrene,ng/L,0.009903323134038704,0.009903323134038704
ORANGE CO,Total,Tetrachlorvinphos (Stirofos),ng/L,0.006222913998049456,0.006222913998049456
ORANGE CO,Total,Tokuthion (Prothiofos),ng/L,0.009334370997074183,0.009334370997074183
ORANGE CO,Total,Toxaphene,ng/L,0.038893212487809095,0.038893212487809095
ORANGE CO,Total,trans-Nonachlor,ng/L,0.003111456999024728,0.003111456999024728
ORANGE CO,Total,Trichloronate,ng/L,0.003111456999024728,0.003111456999024728
ORANGE CO,Total,"Arsenic, Total",ug/L,11.987999323385273,11.987999323385273
ORANGE CO,Dissolved,"Arsenic, Total",ug/L,11.987999323385273,11.987999323385273
ORANGE CO,Total,"Cadmium, Total",ug/L,11.05396956520185,11.05396956520185
ORANGE CO,Dissolved,"Cadmium, Total",ug/L,11.05396956520185,11.05396956520185
ORANGE CO,Total,"Calcium, Total",ug/L,623.991588807984,623.991588807984
ORANGE CO,Total,Chromium 6+,ug/L,0.7249192959824546,0.7249192959824546
ORANGE CO,Dissolved,Chromium 6+,ug/L,0.7249192959824546,0.7249192959824546
ORANGE CO,Total,"Chromium, Total",ug/L,1.3481359778586828,1.3481359778586828
ORANGE CO,Dissolved,"Chromium, Total",ug/L,1.3481359778586828,1.3481359778586828
ORANGE CO,Total,"Copper, Total",ug/L,11.767974864168524,11.767974864168524
ORANGE CO,Dissolved,"Copper, Total",ug/L,11.767974864168524,11.767974864168524
ORANGE CO,Total,Dissolved Organic Carbon,ug/L,28.880988358804526,28.880988358804526
ORANGE CO,Total,"Hardness as CaCO3, Total",ug/L,2909.101170623869,2909.101170623869
ORANGE CO,Total,"Iron, Total",ug/L,232.65668786255873,232.65668786255873
ORANGE CO,Dissolved,"Iron, Total",ug/L,232.65668786255873,232.65668786255873
ORANGE CO,Total,"Lead, Total",ug/L,0.3111456999024728,0.3111456999024728
ORANGE CO,Dissolved,"Lead, Total",ug/L,0.3111456999024728,0.3111456999024728
ORANGE CO,Total,"Magnesium, Total",ug/L,328.22537635783357,328.22537635783357
ORANGE CO,Total,"Manganese, Total",ug/L,943.877149173789,943.877149173789
ORANGE CO,Dissolved,"Manganese, Total",ug/L,943.877149173789,943.877149173789
ORANGE CO,Total,MBAS,mg/L,172.35834165650138,172.35834165650138
ORANGE CO,Total,"Mercury, Total",ug/L,0.08100517359529896,0.08100517359529896
ORANGE CO,Dissolved,"Mercury, Total",ug/L,0.08100517359529896,0.08100517359529896
ORANGE CO,Total,"Nickel, Total",ug/L,90.88911611595566,90.88911611595566
ORANGE CO,Dissolved,"Nickel, Total",ug/L,90.88911611595566,90.88911611595566
ORANGE CO,Total,"Selenium, Total",ug/L,21.57069422190543,21.57069422190543
ORANGE CO,Dissolved,"Selenium, Total",ug/L,21.57069422190543,21.57069422190543
ORANGE CO,Total,"Silver, Total",ug/L,0.3111456999024728,0.3111456999024728
ORANGE CO,Dissolved,"Silver, Total",ug/L,0.3111456999024728,0.3111456999024728
ORANGE CO,Total,"Thallium, Total",ug/L,0.3683563608522823,0.3683563608522823
ORANGE CO,Dissolved,"Thallium, Total",ug/L,0.3683563608522823,0.3683563608522823
ORANGE CO,Total,Total Organic Carbon (TOC),mg/L,27680.854944894993,27680.854944894993
ORANGE CO,Total,"Zinc, Total",ug/L,38.8932124878091,38.8932124878091
ORANGE CO,Dissolved,"Zinc, Total",ug/L,38.8932124878091,38.8932124878091
ORANGE CO,Total,"Ammonia, as Nitrogen",mg/L,1972.3180199373412,1972.3180199373412
ORANGE CO,Total,Nitrate + Nitrite as N,mg/L,9725.525591237292,9725.525591237292
ORANGE CO,Total,"Nitrogen, Total Kjeldahl",mg/L,6864.0963867770515,6864.0963867770515
ORANGE CO,Total,Orthophosphate as P,mg/L,750.7501244789665,750.7501244789665
ORANGE CO,Total,pH,NA,NA,NA
ORANGE CO,Total,Phosphorus as PO4,mg/L,3324.814050386423,3324.814050386423
ORANGE CO,Total,Sulfate,mg/L,2519168.934567521,2519168.934567521
ORANGE CO,Total,Total Dissolved Solids,mg/L,6325147.5851602685,6325147.5851602685
ORANGE CO,Total,VSS,mg/L,10890.099496586548,10890.099496586548
ORANGE CO,Total,TSS,mg/L,8744.83177620634,8744.83177620634
ORANGE CO,Total,E. coli,CFU/100 mL,36863207847679.37,36863207847679.37
ORANGE CO,Total,Enterococcus,CFU/100 mL,71977932158182.84,71977932158182.84
ORANGE CO,Total,Fecal coliforms,CFU/100 mL,81309065117636.84,81309065117636.84
ORANGE CO,Total,Total Coliforms,CFU/100 mL,1030892605539233.1,1030892605539233.1
LAKE FOREST,Total,d10-Acenaphthene,ng/L,0.049054284764567614,0.049054284764567614
LAKE FOREST,Total,d10-Phenanthrene,ng/L,0.05761204160823051,0.05761204160823051
LAKE FOREST,Total,d12-Chrysene,ng/L,0.051346541061977315,0.051346541061977315
LAKE FOREST,Total,d8-Naphthalene,ng/L,0.03652328367206125,0.03652328367206125
LAKE FOREST,Total,PCB030,ng/L,0.05165217523496527,0.05165217523496527
LAKE FOREST,Total,PCB112,ng/L,0.0507352727160014,0.0507352727160014
LAKE FOREST,Total,PCB198,ng/L,0.06616979845189339,0.06616979845189339
LAKE FOREST,Total,TCMX,ng/L,0.04370568673727831,0.04370568673727831
LAKE FOREST,Total,"2,4'-DDD",ng/L,6.112683459759204e-4,6.112683459759204e-4
LAKE FOREST,Total,"2,4'-DDE",ng/L,6.112683459759204e-4,6.112683459759204e-4
LAKE FOREST,Total,"2,4'-DDT",ng/L,6.112683459759204e-4,6.112683459759204e-4
LAKE FOREST,Total,"4,4'-DDD",ng/L,6.112683459759204e-4,6.112683459759204e-4
LAKE FOREST,Total,"4,4'-DDE",ng/L,6.112683459759204e-4,6.112683459759204e-4
LAKE FOREST,Total,"4,4'-DDT",ng/L,6.112683459759204e-4,6.112683459759204e-4
LAKE FOREST,Total,Acenaphthene,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Acenaphthylene,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Aldrin,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Anthracene,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Benz[a]anthracene,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Benzo[a]pyrene,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Benzo[b]fluoranthene,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,"Benzo[g,h,i]perylene",ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Benzo[k]fluoranthene,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,BHC-alpha,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,BHC-beta,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,BHC-delta,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,BHC-gamma,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Bolstar (Sulprofos),ng/L,0.0012225366919518409,0.0012225366919518409
LAKE FOREST,Total,Chlordane-alpha,ng/L,6.112683459759204e-4,6.112683459759204e-4
LAKE FOREST,Total,Chlordane-gamma,ng/L,6.112683459759204e-4,6.112683459759204e-4
LAKE FOREST,Total,Chlorpyrifos,ng/L,3.056341729879602e-4,3.056341729879602e-4
LAKE FOREST,Total,Chrysene,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Demeton,ng/L,6.112683459759204e-4,6.112683459759204e-4
LAKE FOREST,Total,Diazinon,ng/L,3.056341729879602e-4,3.056341729879602e-4
LAKE FOREST,Total,"Dibenz[a,h]anthracene",ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Dichlorvos,ng/L,0.0018338050379277614,0.0018338050379277614
LAKE FOREST,Total,Dieldrin,ng/L,6.112683459759204e-4,6.112683459759204e-4
LAKE FOREST,Total,Dimethoate,ng/L,0.003056341729879602,0.003056341729879602
LAKE FOREST,Total,Disulfoton,ng/L,6.112683459759204e-4,6.112683459759204e-4
LAKE FOREST,Total,Endosulfan-I,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Endosulfan-II,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Endosulfan Sulfate,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Endrin,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Endrin Aldehyde,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Ethoprop (Ethoprofos),ng/L,6.112683459759204e-4,6.112683459759204e-4
LAKE FOREST,Total,Fenchlorphos (Ronnel),ng/L,0.0012225366919518409,0.0012225366919518409
LAKE FOREST,Total,Fensulfothion,ng/L,6.112683459759204e-4,6.112683459759204e-4
LAKE FOREST,Total,Fenthion,ng/L,0.0012225366919518409,0.0012225366919518409
LAKE FOREST,Total,Fluoranthene,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Fluorene,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Heptachlor,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Heptachlor Epoxide,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,"Indeno[1,2,3-cd]pyrene",ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Malathion,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Merphos,ng/L,6.112683459759204e-4,6.112683459759204e-4
LAKE FOREST,Total,Methoxychlor,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Methyl Parathion,ng/L,6.112683459759204e-4,6.112683459759204e-4
LAKE FOREST,Total,Mevinphos (Phosdrin),ng/L,0.003056341729879602,0.003056341729879602
LAKE FOREST,Total,Mirex,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Naphthalene,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Phenanthrene,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Phorate,ng/L,0.003056341729879602,0.003056341729879602
LAKE FOREST,Total,Pyrene,ng/L,0.001528170864939801,0.001528170864939801
LAKE FOREST,Total,Tetrachlorvinphos (Stirofos),ng/L,0.0012225366919518409,0.0012225366919518409
LAKE FOREST,Total,Tokuthion (Prothiofos),ng/L,0.0018338050379277614,0.0018338050379277614
LAKE FOREST,Total,Toxaphene,ng/L,0.007640854324699006,0.007640854324699006
LAKE FOREST,Total,trans-Nonachlor,ng/L,6.112683459759204e-4,6.112683459759204e-4
LAKE FOREST,Total,Trichloronate,ng/L,6.112683459759204e-4,6.112683459759204e-4
LAKE FOREST,Total,"Arsenic, Total",ug/L,3.446025300439252,3.446025300439252
LAKE FOREST,Dissolved,"Arsenic, Total",ug/L,3.446025300439252,3.446025300439252
LAKE FOREST,Total,"Cadmium, Total",ug/L,0.16045794081867915,0.16045794081867915
LAKE FOREST,Dissolved,"Cadmium, Total",ug/L,0.16045794081867915,0.16045794081867915
LAKE FOREST,Total,"Calcium, Total",ug/L,152.66426940748616,152.66426940748616
LAKE FOREST,Total,Chromium 6+,ug/L,0.1416614391799196,0.1416614391799196
LAKE FOREST,Dissolved,Chromium 6+,ug/L,0.1416614391799196,0.1416614391799196
LAKE FOREST,Total,"Chromium, Total",ug/L,0.20905377432376482,0.20905377432376482
LAKE FOREST,Dissolved,"Chromium, Total",ug/L,0.20905377432376482,0.20905377432376482
LAKE FOREST,Total,"Copper, Total",ug/L,2.1852843368639157,2.1852843368639157
LAKE FOREST,Dissolved,"Copper, Total",ug/L,2.1852843368639157,2.1852843368639157
LAKE FOREST,Total,Dissolved Organic Carbon,ug/L,2.9188063520350203,2.9188063520350203
LAKE FOREST,Total,"Hardness as CaCO3, Total",ug/L,540.9724861886896,540.9724861886896
LAKE FOREST,Total,"Iron, Total",ug/L,34.47553471304192,34.47553471304192
LAKE FOREST,Dissolved,"Iron, Total",ug/L,34.47553471304192,34.47553471304192
LAKE FOREST,Total,"Lead, Total",ug/L,0.10636069219981016,0.10636069219981016
LAKE FOREST,Dissolved,"Lead, Total",ug/L,0.10636069219981016,0.10636069219981016
LAKE FOREST,Total,"Magnesium, Total",ug/L,38.75441313487335,38.75441313487335
LAKE FOREST,Total,"Manganese, Total",ug/L,111.02161333787656,111.02161333787656
LAKE FOREST,Dissolved,"Manganese, Total",ug/L,111.02161333787656,111.02161333787656
LAKE FOREST,Total,MBAS,mg/L,23.533831320072935,23.533831320072935
LAKE FOREST,Total,"Mercury, Total",ug/L,0.015281708649398013,0.015281708649398013
LAKE FOREST,Dissolved,"Mercury, Total",ug/L,0.015281708649398013,0.015281708649398013
LAKE FOREST,Total,"Nickel, Total",ug/L,1.815466987548484,1.815466987548484
LAKE FOREST,Dissolved,"Nickel, Total",ug/L,1.815466987548484,1.815466987548484
LAKE FOREST,Total,"Selenium, Total",ug/L,3.2473630879970776,3.2473630879970776
LAKE FOREST,Dissolved,"Selenium, Total",ug/L,3.2473630879970776,3.2473630879970776
LAKE FOREST,Total,"Silver, Total",ug/L,0.06112683459759205,0.06112683459759205
LAKE FOREST,Dissolved,"Silver, Total",ug/L,0.06112683459759205,0.06112683459759205
LAKE FOREST,Total,"Thallium, Total",ug/L,0.06112683459759205,0.06112683459759205
LAKE FOREST,Dissolved,"Thallium, Total",ug/L,0.06112683459759205,0.06112683459759205
LAKE FOREST,Total,Total Organic Carbon (TOC),mg/L,2903.5246433856223,2903.5246433856223
LAKE FOREST,Total,"Zinc, Total",ug/L,4.890146767807364,4.890146767807364
LAKE FOREST,Dissolved,"Zinc, Total",ug/L,4.890146767807364,4.890146767807364
LAKE FOREST,Total,"Ammonia, as Nitrogen",mg/L,42.78878421831443,42.78878421831443
LAKE FOREST,Total,Nitrate + Nitrite as N,mg/L,2383.94654930609,2383.94654930609
LAKE FOREST,Total,"Nitrogen, Total Kjeldahl",mg/L,475.2611389962781,475.2611389962781
LAKE FOREST,Total,Orthophosphate as P,mg/L,166.7234413649323,166.7234413649323
LAKE FOREST,Total,pH,NA,NA,NA
LAKE FOREST,Total,Phosphorus as PO4,mg/L,621.965542030499,621.965542030499
LAKE FOREST,Total,Sulfate,mg/L,429416.0130480841,429416.0130480841
LAKE FOREST,Total,Total Dissolved Solids,mg/L,1054437.8968084627,1054437.8968084627
LAKE FOREST,Total,VSS,mg/L,2322.8197147084975,2322.8197147084975
LAKE FOREST,Total,TSS,mg/L,2220.941657045844,2220.941657045844
LAKE FOREST,Total,E. coli,CFU/100 mL,1705188554265.6448,1705188554265.6448
LAKE FOREST,Total,Enterococcus,CFU/100 mL,9447853656358.023,9447853656358.023
LAKE FOREST,Total,Fecal coliforms,CFU/100 mL,3812413434333.7593,3812413434333.7593
LAKE FOREST,Total,Total Coliforms,CFU/100 mL,68022697882900.516,68022697882900.516
LAGUNA HILLS,Total,d10-Acenaphthene,ng/L,0.16409186911230186,0.16409186911230186
LAGUNA HILLS,Total,d10-Phenanthrene,ng/L,0.17707088700819015,0.17707088700819015
LAGUNA HILLS,Total,d12-Chrysene,ng/L,0.18634161407668176,0.18634161407668176
LAGUNA HILLS,Total,d8-Naphthalene,ng/L,0.125154815424637,0.125154815424637
LAGUNA HILLS,Total,PCB030,ng/L,0.18170625054243592,0.18170625054243592
LAGUNA HILLS,Total,PCB112,ng/L,0.16501894181915103,0.16501894181915103
LAGUNA HILLS,Total,PCB198,ng/L,0.16872723264654765,0.16872723264654765
LAGUNA HILLS,Total,TCMX,ng/L,0.14740456038901692,0.14740456038901692
LAGUNA HILLS,Total,"2,4'-DDD",ng/L,0.001854145413698326,0.001854145413698326
LAGUNA HILLS,Total,"2,4'-DDE",ng/L,0.001854145413698326,0.001854145413698326
LAGUNA HILLS,Total,"2,4'-DDT",ng/L,0.001854145413698326,0.001854145413698326
LAGUNA HILLS,Total,"4,4'-DDD",ng/L,0.001854145413698326,0.001854145413698326
LAGUNA HILLS,Total,"4,4'-DDE",ng/L,0.001854145413698326,0.001854145413698326
LAGUNA HILLS,Total,"4,4'-DDT",ng/L,0.001854145413698326,0.001854145413698326
LAGUNA HILLS,Total,Acenaphthene,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Acenaphthylene,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Aldrin,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Anthracene,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Benz[a]anthracene,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Benzo[a]pyrene,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Benzo[b]fluoranthene,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,"Benzo[g,h,i]perylene",ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Benzo[k]fluoranthene,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,BHC-alpha,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,BHC-beta,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,BHC-delta,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,BHC-gamma,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Bolstar (Sulprofos),ng/L,0.003708290827396652,0.003708290827396652
LAGUNA HILLS,Total,Chlordane-alpha,ng/L,0.001854145413698326,0.001854145413698326
LAGUNA HILLS,Total,Chlordane-gamma,ng/L,0.001854145413698326,0.001854145413698326
LAGUNA HILLS,Total,Chlorpyrifos,ng/L,9.27072706849163e-4,9.27072706849163e-4
LAGUNA HILLS,Total,Chrysene,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Demeton,ng/L,0.001854145413698326,0.001854145413698326
LAGUNA HILLS,Total,Diazinon,ng/L,9.27072706849163e-4,9.27072706849163e-4
LAGUNA HILLS,Total,"Dibenz[a,h]anthracene",ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Dichlorvos,ng/L,0.005562436241094978,0.005562436241094978
LAGUNA HILLS,Total,Dieldrin,ng/L,0.001854145413698326,0.001854145413698326
LAGUNA HILLS,Total,Dimethoate,ng/L,0.009270727068491632,0.009270727068491632
LAGUNA HILLS,Total,Disulfoton,ng/L,0.001854145413698326,0.001854145413698326
LAGUNA HILLS,Total,Endosulfan-I,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Endosulfan-II,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Endosulfan Sulfate,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Endrin,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Endrin Aldehyde,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Ethoprop (Ethoprofos),ng/L,0.001854145413698326,0.001854145413698326
LAGUNA HILLS,Total,Fenchlorphos (Ronnel),ng/L,0.003708290827396652,0.003708290827396652
LAGUNA HILLS,Total,Fensulfothion,ng/L,0.001854145413698326,0.001854145413698326
LAGUNA HILLS,Total,Fenthion,ng/L,0.003708290827396652,0.003708290827396652
LAGUNA HILLS,Total,Fluoranthene,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Fluorene,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Heptachlor,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Heptachlor Epoxide,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,"Indeno[1,2,3-cd]pyrene",ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Malathion,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Merphos,ng/L,0.001854145413698326,0.001854145413698326
LAGUNA HILLS,Total,Methoxychlor,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Methyl Parathion,ng/L,0.001854145413698326,0.001854145413698326
LAGUNA HILLS,Total,Mevinphos (Phosdrin),ng/L,0.009270727068491632,0.009270727068491632
LAGUNA HILLS,Total,Mirex,ng/L,0.004635363534245816,0.004635363534245816
LAGUNA HILLS,Total,Naphthalene,ng/L,0.004635363534245816,0.004635363534245816
