JURISDICTI3,Sample Type,Parameter,Units,LoadsPoundsQUns,LoadQUns_j
ALISO VIEJO,Dissolved,"Arsenic, Total",ug/L,45.908390021034165,45.908390021034165
ALISO VIEJO,Total,"Cadmium, Total",ug/L,8.616735275178856,8.616735275178856
ALISO VIEJO,Dissolved,"Cadmium, Total",ug/L,8.616735275178856,8.616735275178856
ALISO VIEJO,Total,"Calcium, Total",ug/L,1334.7968885847406,1334.7968885847406
ALISO VIEJO,Total,Chromium 6+,ug/L,2.917527924203166,2.917527924203166
ALISO VIEJO,Dissolved,Chromium 6+,ug/L,2.917527924203166,2.917527924203166
ALISO VIEJO,Total,"Chromium, Total",ug/L,4.835497993803653,4.835497993803653
ALISO VIEJO,Dissolved,"Chromium, Total",ug/L,4.835497993803653,4.835497993803653
ALISO VIEJO,Total,"Copper, Total",ug/L,30.13631735927974,30.13631735927974
ALISO VIEJO,Dissolved,"Copper, Total",ug/L,30.13631735927974,30.13631735927974
ALISO VIEJO,Total,Dissolved Organic Carbon,ug/L,56.97303792739746,56.97303792739746
ALISO VIEJO,Total,"Hardness as CaCO3, Total",ug/L,5129.333198421057,5129.333198421057
ALISO VIEJO,Total,"Iron, Total",ug/L,580.1733136796872,580.1733136796872
ALISO VIEJO,Dissolved,"Iron, Total",ug/L,580.1733136796872,580.1733136796872
ALISO VIEJO,Total,"Lead, Total",ug/L,1.1946984529777727,1.1946984529777727
ALISO VIEJO,Dissolved,"Lead, Total",ug/L,1.1946984529777727,1.1946984529777727
ALISO VIEJO,Total,"Magnesium, Total",ug/L,436.82262052596866,436.82262052596866
ALISO VIEJO,Total,"Manganese, Total",ug/L,654.6620006784849,654.6620006784849
ALISO VIEJO,Dissolved,"Manganese, Total",ug/L,654.6620006784849,654.6620006784849
ALISO VIEJO,Total,MBAS,mg/L,1890.009041977602,1890.009041977602
ALISO VIEJO,Total,"Mercury, Total",ug/L,0.18840050697772137,0.18840050697772137
ALISO VIEJO,Dissolved,"Mercury, Total",ug/L,0.18840050697772137,0.18840050697772137
ALISO VIEJO,Total,"Nickel, Total",ug/L,50.55213834712218,50.55213834712218
ALISO VIEJO,Dissolved,"Nickel, Total",ug/L,50.55213834712218,50.55213834712218
ALISO VIEJO,Total,"Selenium, Total",ug/L,68.71960250393424,68.71960250393424
ALISO VIEJO,Dissolved,"Selenium, Total",ug/L,68.71960250393424,68.71960250393424
ALISO VIEJO,Total,"Silver, Total",ug/L,0.7039139821145632,0.7039139821145632
ALISO VIEJO,Dissolved,"Silver, Total",ug/L,0.7039139821145632,0.7039139821145632
ALISO VIEJO,Total,"Thallium, Total",ug/L,0.7039139821145632,0.7039139821145632
ALISO VIEJO,Dissolved,"Thallium, Total",ug/L,0.7039139821145632,0.7039139821145632
ALISO VIEJO,Total,Total Organic Carbon (TOC),mg/L,60096.656223030834,60096.656223030834
ALISO VIEJO,Total,"Zinc, Total",ug/L,169.27455284183543,169.27455284183543
ALISO VIEJO,Dissolved,"Zinc, Total",ug/L,169.27455284183543,169.27455284183543
ALISO VIEJO,Total,"Ammonia, as Nitrogen",mg/L,5877.681750656602,5877.681750656602
ALISO VIEJO,Total,Nitrate + Nitrite as N,mg/L,40769.817951597855,40769.817951597855
ALISO VIEJO,Total,"Nitrogen, Total Kjeldahl",mg/L,15963.204861064705,15963.204861064705
ALISO VIEJO,Total,Orthophosphate as P,mg/L,1641.439417043397,1641.439417043397
ALISO VIEJO,Total,pH,NA,NA,NA
ALISO VIEJO,Total,Phosphorus as PO4,mg/L,6929.15326144023,6929.15326144023
ALISO VIEJO,Total,Sulfate,mg/L,4276277.441345971,4276277.441345971
ALISO VIEJO,Total,Total Dissolved Solids,mg/L,11451800.5965263,11451800.5965263
ALISO VIEJO,Total,VSS,mg/L,19929.56461861857,19929.56461861857
ALISO VIEJO,Total,TSS,mg/L,18717.712706228158,18717.712706228158
ALISO VIEJO,Total,E. coli,CFU/100 mL,146851999465243.75,146851999465243.75
